Seq,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance,song,Label
1,61,#ivo,8,5.7986584991506,4.6060445177196,#ivo,8,5.7986584991506,4.6060445177196,,"",
1,62,I,5,1.93081852001844,3.8305125672195,I,5,1.93081852001844,3.8305125672195,,"",
1,63,I,6,4.4230143023969,4.38415764969014,I,6,4.4230143023969,4.38415764969014,,"",
1,64,IV,5,1.94219507391082,4.66041423196676,IV,5,1.94219507391082,4.66041423196676,,"",
1,65,#ivo,4,5.85420115745702,4.97805667481855,#ivo,4,5.85420115745702,4.97805667481855,,"",
1,66,I,4,1.74381996397228,3.52520450506312,V,4,1.74529511240437,3.52520450506312,0.0014751484320894,ElvisPresley_IfICanDream_1968,3
1,67,I,5,4.17382523536376,4.85606672146261,I,5,3.07522237716831,4.57346852278967,,"",
1,68,IV,5,1.94219507391082,4.66041423196676,IV,5,1.7969672937744,4.4653674112682,,"",
1,69,#ivo,4,5.85420115745702,4.97805667481855,#ivo,4,6.42290918915871,3.44160543695478,,"",
1,70,V,4,1.74529511240437,3.52520450506312,V,4,2.05726619375306,3.6602364399977,,"",
1,71,III,5,6.56562385792354,4.57346852278967,III,5,6.6149924239139,4.45085468749193,,"",
,,,,,,,,,,,,
2,65,#ivo,4,5.85420115745702,4.97805667481855,#ivo,4,5.85420115745702,4.97805667481855,,"",
2,66,I,4,1.74381996397228,3.52520450506312,I,4,1.74381996397228,3.52520450506312,,"",
2,67,I,5,4.17382523536376,4.85606672146261,I,5,4.17382523536376,4.85606672146261,,"",
2,68,IV,5,1.94219507391082,4.66041423196676,IV,5,1.94219507391082,4.66041423196676,,"",
2,69,#ivo,4,5.85420115745702,4.97805667481855,#ivo,4,5.85420115745702,4.97805667481855,,"",
2,70,V,4,1.74529511240437,3.52520450506312,I,4,1.74381996397228,3.52520450506312,0.0014751484320894,ElvisPresley_IfICanDream_1968,3
2,71,III,5,6.56562385792354,4.57346852278967,III,5,6.33885459494923,4.85606672146261,,"",
2,72,vi,2,2.43005147274804,4.77743530273115,vi,2,3.329213995793,4.97378822166393,,"",
2,73,I,3,4.70398451712114,4.97304426986763,I,3,3.15239702472867,5.04476993302056,,"",
2,74,II,3,5.18399807380742,4.95718236223111,II,4,5.84364842374686,4.00435039995582,,"",
2,75,IV,3,4.41967872274959,4.59337078529834,IV,3,4.41967872274959,4.59337078529834,,"",
,,,,,,,,,,,,
3,85,V,7,1.23461492829003,3.47230310795326,V,7,1.23461492829003,3.47230310795326,,"",
3,86,I,8,2.66389587595012,4.76999579032417,I,8,2.66389587595012,4.76999579032417,,"",
3,87,I,9,3.04885737960647,4.62294399121256,I,9,3.04885737960647,4.62294399121256,,"",
3,88,IV,9,3.69159160253988,2.72481852457878,IV,9,3.69159160253988,2.72481852457878,,"",
3,89,#ivo,9,6.36292192232429,3.63259270633449,#ivo,9,6.36292192232429,3.63259270633449,,"",
3,90,I,5,1.74381996397228,3.52520450506312,V,5,1.74529511240437,3.52520450506312,0.0014751484320894,ElvisPresley_IfICanDream_1968,3
3,91,vi,6,2.53250928423263,4.87618003315256,vi,6,6.69671504760344,3.74371437914735,,"",
3,92,I,5,4.90718597396939,2.66815860547354,I,2,4.69225796764901,5.32418688673387,,"",
3,93,vi,4,1.39943091276202,4.01466529524796,vi,3,4.03796020367729,5.0746956478773,,"",
3,94,IV,5,4.28990906611022,4.02962553551093,IV,4,2.91866633545224,4.71000213408906,,"",
3,95,ii,5,4.55916325742047,4.75985171505921,ii,5,4.84725653649102,4.21324928297579,,"",
,,,,,,,,,,,,
4,55,V,7,4.31835519774713,3.9421205391728,V,7,4.31835519774713,3.9421205391728,,"",
4,56,I,6,1.80821459897962,4.3991669888201,I,6,1.80821459897962,4.3991669888201,,"",
4,57,I,7,1.62367101803384,3.97743901201568,I,7,1.62367101803384,3.97743901201568,,"",
4,58,IV,7,1.7861503882853,4.44808137120202,IV,7,1.7861503882853,4.44808137120202,,"",
4,59,#ivo,7,5.84772891921103,4.28985549113874,#ivo,7,5.84772891921103,4.28985549113874,,"",
4,60,I,5,1.74381996397228,3.52520450506312,V,5,1.74529511240437,3.52520450506312,0.0014751484320894,Ocean_PutYourHandInTheHand_1971,3
4,61,vi,6,2.99190796961459,4.90941513075879,vi,6,6.64477994762767,3.94547968801801,,"",
4,62,ii,5,3.75230262840995,4.42565364861392,ii,2,4.66566959259027,5.32418688673387,,"",
4,63,IV,4,4.24435338502678,4.2333212635873,IV,3,3.39502085748315,5.02252397898405,,"",
4,64,I,4,3.52031452480578,4.52333424023896,I,4,2.5251919664383,4.51269686929027,,"",
4,65,IV,4,4.86545266259612,4.80418810513798,IV,5,4.68692645895349,5.0577602166767,,"",
,,,,,,,,,,,,
5,57,IV,6,4.09681025242648,4.91319340081567,IV,6,4.09681025242648,4.91319340081567,,"",
5,58,I,6,2.63221129332479,4.650081596549,I,6,2.63221129332479,4.650081596549,,"",
5,59,I,7,3.66723845936313,4.68857112660736,I,7,3.66723845936313,4.68857112660736,,"",
5,60,IV,7,2.36347197966053,4.67888300842846,IV,7,2.36347197966053,4.67888300842846,,"",
5,61,#ivo,8,5.7986584991506,4.6060445177196,#ivo,8,5.7986584991506,4.6060445177196,,"",
5,62,I,5,1.93081852001844,3.8305125672195,V,5,1.93280078886683,3.8305125672195,0.0019822688483917,ElvisPresley_IfICanDream_1968,3
5,63,I,6,4.4230143023969,4.38415764969014,I,6,3.3488832391,4.09226305433516,,"",
5,64,IV,5,1.94219507391082,4.66041423196676,IV,5,1.7969672937744,4.4653674112682,,"",
5,65,#ivo,4,5.85420115745702,4.97805667481855,#ivo,4,6.42290918915871,3.44160543695478,,"",
5,66,I,4,1.74381996397228,3.52520450506312,I,4,1.62924491920071,3.6602364399977,,"",
5,67,I,5,4.17382523536376,4.85606672146261,I,5,4.34463811173245,4.41003059087504,,"",
,,,,,,,,,,,,
6,3,IV,2,3.13711764555501,4.60784566687696,IV,2,3.13711764555501,4.60784566687696,,"",
6,4,I,3,2.64180522877056,4.77803744218645,I,3,2.64180522877056,4.77803744218645,,"",
6,5,I,4,3.10110259291439,4.96715253804474,I,4,3.10110259291439,4.96715253804474,,"",
6,6,IV,5,4.56029950611029,4.13452540747418,IV,5,4.56029950611029,4.13452540747418,,"",
6,7,#ivo,5,5.47947829762149,4.84230778965763,#ivo,5,5.47947829762149,4.84230778965763,,"",
6,8,I,5,1.93081852001844,3.8305125672195,V,5,1.93280078886683,3.8305125672195,0.0019822688483917,RayCharles_TheRightTime_1959,3
6,9,V,6,4.26673639248514,4.83233481150579,V,6,3.28798405003032,4.29549189803707,,"",
6,10,I,6,3.28400705607258,4.59497049615873,I,5,1.35491924773258,4.12497242705381,,"",
6,11,I,6,3.22395733281081,5.20791411018094,I,7,2.53472212252832,4.65855140294213,,"",
6,12,I,5,1.20429195310158,3.89361036250513,I,5,2.41612364813605,4.98258780765828,,"",
6,13,I,8,2.10033011752125,4.42888296753242,I,6,1.86251995409807,4.5528317149739,,"",
,,,,,,,,,,,,
7,52,V,7,0.151596649410682,0.926337201662917,V,7,0.151596649410682,0.926337201662917,,"",
7,53,V,10,1.13120493950969,3.27601477521119,V,10,1.13120493950969,3.27601477521119,,"",
7,54,I,10,3.03235658206786,3.53080273606044,I,10,3.03235658206786,3.53080273606044,,"",
7,55,I,10,2.02744951400262,4.4602985643102,I,10,2.02744951400262,4.4602985643102,,"",
7,56,I,9,0.859647976188795,3.13138485197077,I,9,0.859647976188795,3.13138485197077,,"",
7,57,I,10,1.93424817012298,3.81055075344048,V,10,1.93191274778773,3.81055075344048,0.00233542233524831,ElvisPresley_Judy_1967,3
7,58,I,10,1.51277924156403,3.82394590055437,I,10,3.33251246963479,2.83669535068731,,"",
7,59,I,10,0.944775077229531,3.07823225317816,I,7,0.899513829618478,3.13611424159735,,"",
7,60,IV,10,3.19287426063401,4.24227115151005,IV,9,3.64374610453215,4.13616647822661,,"",
7,61,IV,10,2.45504992843362,4.20175282840811,IV,8,2.57430974683475,4.56096249352038,,"",
7,62,V,10,5.13547124802196,2.54181470622894,V,9,2.71618977280664,4.60802549386816,,"",
,,,,,,,,,,,,
8,20,I,10,0.601884197043422,2.47680465021549,I,10,0.601884197043422,2.47680465021549,,"",
8,21,IV,10,0.341195998314764,1.69379540455931,IV,10,0.341195998314764,1.69379540455931,,"",
8,22,I,10,0.601884197043422,2.47680465021549,I,10,0.601884197043422,2.47680465021549,,"",
8,23,IV,10,0.341195998314764,1.69379540455931,IV,10,0.341195998314764,1.69379540455931,,"",
8,24,V,10,4.27538143918594,2.47680465021549,V,10,4.27538143918594,2.47680465021549,,"",
8,25,I,10,1.9822004117796,3.63253215310825,V,10,1.98621137471485,3.63253215310825,0.00401096293525027,TheHollies_CarrieAnne_1967.varms,3
8,26,IV,10,2.03638450869471,4.35740334826635,IV,10,3.20321967734887,3.52832014221098,,"",
8,27,V,10,1.54922911581297,3.59073943170568,V,7,2.96681377117189,3.9623635284055,,"",
8,28,I,10,1.50968289638033,3.75911263958254,I,7,2.33277996001102,3.91832192855441,,"",
8,29,IV,8,1.15060971525124,3.80335543838047,IV,7,3.88514544517521,4.8824653169202,,"",
8,30,V,10,1.8134539056749,3.73742658071022,V,7,2.91767688654162,3.23531088964147,,"",
,,,,,,,,,,,,
9,169,-III,5,5.62476322429227,4.44883775553459,-III,5,5.62476322429227,4.44883775553459,,"",
9,170,-VII,3,3.68243750122701,5.14875811674521,-VII,3,3.68243750122701,5.14875811674521,,"",
9,171,I,4,4.15286090526914,4.46951786935386,I,4,4.15286090526914,4.46951786935386,,"",
9,172,-III,4,2.8066802296747,4.61957880699843,-III,4,2.8066802296747,4.61957880699843,,"",
9,173,-VII,4,0.32568885369701,1.77012702573158,-VII,4,0.32568885369701,1.77012702573158,,"",
9,174,I,6,2.87585811202684,3.78276197959627,-III,6,2.88624219788044,3.78276197959627,0.0103840858535995,Heart_MagicMan_1976.varms,3
9,175,-VII,6,3.54305063122326,4.25401683719485,-VII,4,0.429266015625978,2.11867104545506,,"",
