Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,41,ii,4,4.51286640969767,4.67830015052595,ii,4,4.51286640969767,4.67830015052595,
1,42,V,4,1.13190805449967,3.7041009352433,V,4,1.13190805449967,3.7041009352433,
1,43,I,5,3.24415312045845,4.86542924184792,I,5,3.24415312045845,4.86542924184792,
1,44,I,5,3.05088159704409,5.07076683354757,I,5,3.05088159704409,5.07076683354757,
1,45,I,6,2.85110158207337,4.82874279618534,I,6,2.85110158207337,4.82874279618534,
1,46,V,7,3.87535813879573,4.82339216401087,vi,7,3.88029976837129,4.82339216401087,0.00494162957556155
1,47,V,7,3.5270301873363,4.0481888089889,V,7,4.50917653080723,4.30325149759363,
1,48,V,6,2.58808932920372,4.65036550927698,V,6,2.84678583236522,4.11966879760975,
1,49,V,7,1.26306038549447,3.65921223402801,V,6,3.22523978862822,4.5765032367915,
1,50,I,8,1.6656748712142,4.17310480679576,I,7,4.34150437582821,4.6904915208989,
1,51,I,9,1.45074599172522,3.76396864731679,I,4,3.54858552079793,5.22345386718974,
,,,,,,,,,,
2,29,ii,5,1.47194181594228,4.01412271063117,ii,5,1.47194181594228,4.01412271063117,
2,30,I,6,2.03688097784172,4.3301519258983,I,6,2.03688097784172,4.3301519258983,
2,31,I,7,1.69353215913009,4.26572314091773,I,7,1.69353215913009,4.26572314091773,
2,32,vi,8,3.72563629366194,4.57765933664584,vi,8,3.72563629366194,4.57765933664584,
2,33,IV,6,5.05901845497126,3.61001685057776,IV,6,5.05901845497126,3.61001685057776,
2,34,vi,4,4.01885606865579,4.91539640884481,ii,4,4.03851470405944,4.91539640884481,0.0196586354036521
2,35,IV,5,3.23155250927997,3.73399209930406,IV,5,2.85655558394385,4.19777003909593,
2,36,V,5,3.86744846297352,4.46454650857494,V,4,3.62609969293031,4.44563804891428,
2,37,vi,5,4.82082530447881,4.33134804045218,vi,4,5.18713757967057,4.18960702641977,
2,38,IV,4,3.24042077346342,4.69143957364844,IV,4,4.07876099874785,4.43511852323259,
2,39,ii,5,5.17863041463441,3.98525740007834,ii,4,4.66544392972444,4.87549974460592,
,,,,,,,,,,
3,41,ii,4,4.51286640969767,4.67830015052595,ii,4,4.51286640969767,4.67830015052595,
3,42,V,4,1.13190805449967,3.7041009352433,V,4,1.13190805449967,3.7041009352433,
3,43,I,5,3.24415312045845,4.86542924184792,I,5,3.24415312045845,4.86542924184792,
3,44,I,5,3.05088159704409,5.07076683354757,I,5,3.05088159704409,5.07076683354757,
3,45,I,6,2.85110158207337,4.82874279618534,I,6,2.85110158207337,4.82874279618534,
3,46,V,7,3.87535813879573,4.82339216401087,ii,7,3.85382326406084,4.82339216401087,0.0215348747348889
3,47,V,7,3.5270301873363,4.0481888089889,V,7,1.22320021712161,3.6225363626999,
3,48,V,6,2.58808932920372,4.65036550927698,V,8,4.34193024132761,3.4240385503272,
