Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,34,vi,4,2.85152556728432,4.79231715975228,vi,4,2.85152556728432,4.79231715975228,
1,35,IV,5,3.76321257220575,4.50035679671856,IV,5,3.76321257220575,4.50035679671856,
1,36,I,5,2.09858336339127,4.58014773470223,I,5,2.09858336339127,4.58014773470223,
1,37,IV,5,4.90703844883069,2.62525616868463,IV,5,4.90703844883069,2.62525616868463,
1,38,I,5,1.86067062314843,4.58898290444509,I,5,1.86067062314843,4.58898290444509,
1,39,II,6,6.17423428677605,4.03979410221662,III,6,6.17228398806462,4.03979410221662,0.00195029871142793
1,40,V,5,1.45958877408002,3.91250303986649,V,5,5.03023323666729,4.48691248612397,
1,41,I,6,1.44861081427997,4.01304252686075,I,3,4.06317837456051,4.83210263742445,
1,42,ii,7,5.95192592710514,4.9036386039169,ii,3,5.56423952104097,4.95651927977028,
1,43,I,3,3.6316305209112,5.09196433781156,I,3,3.6316305209112,5.09196433781156,
1,44,IV,4,3.11592367987735,5.13305756514312,IV,4,3.11592367987735,5.13305756514312,
,,,,,,,,,,
2,69,vi,4,2.85152556728432,4.79231715975228,vi,4,2.85152556728432,4.79231715975228,
2,70,IV,5,3.76321257220575,4.50035679671856,IV,5,3.76321257220575,4.50035679671856,
2,71,I,5,2.09858336339127,4.58014773470223,I,5,2.09858336339127,4.58014773470223,
2,72,IV,5,4.90703844883069,2.62525616868463,IV,5,4.90703844883069,2.62525616868463,
2,73,I,5,1.86067062314843,4.58898290444509,I,5,1.86067062314843,4.58898290444509,
2,74,II,6,6.17423428677605,4.03979410221662,III,6,6.17228398806462,4.03979410221662,0.00195029871142793
2,75,V,5,1.45958877408002,3.91250303986649,V,5,5.03023323666729,4.48691248612397,
2,76,I,6,1.44861081427997,4.01304252686075,I,3,4.06317837456051,4.83210263742445,
