Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,3,V,2,3.96088151639943,4.79670005186907,V,2,3.96088151639943,4.79670005186907,
1,4,I,3,2.06584501578179,4.4546037197852,I,3,2.06584501578179,4.4546037197852,
1,5,IV,4,3.1955920555094,4.37926480870406,IV,4,3.1955920555094,4.37926480870406,
1,6,iv,5,3.49975893595699,4.24630101406131,iv,5,3.49975893595699,4.24630101406131,
1,7,I,4,0.730048482389789,3.07148023216863,I,4,0.730048482389789,3.07148023216863,
1,8,V,6,5.30547418800856,3.10202756868641,I,6,5.30944964834396,3.10202756868641,0.0039754603353952
1,9,V,5,4.23989059555823,4.79036174761127,V,5,3.63586248796376,5.10470238774582,
1,10,I,4,4.0221325753292,4.90034720978588,I,6,2.86873751771361,4.88426905292646,
1,11,V,4,4.01265380417053,5.15379872212697,V,5,1.72359517690997,4.50780983058142,
1,12,I,5,3.13491168451083,4.97454142815806,I,6,1.28542268033588,3.8934805521921,
1,13,IV,6,3.1475887333336,4.84851279392011,IV,7,3.58130821660856,3.66037415338061,
,,,,,,,,,,
2,11,V,4,4.01265380417053,5.15379872212697,V,4,4.01265380417053,5.15379872212697,
2,12,I,5,3.13491168451083,4.97454142815806,I,5,3.13491168451083,4.97454142815806,
2,13,IV,6,3.1475887333336,4.84851279392011,IV,6,3.1475887333336,4.84851279392011,
2,14,iv,7,4.52064599453303,3.96889022741401,iv,7,4.52064599453303,3.96889022741401,
2,15,I,4,0.730048482389789,3.07148023216863,I,4,0.730048482389789,3.07148023216863,
2,16,V,6,5.30547418800856,3.10202756868641,I,6,5.30944964834396,3.10202756868641,0.0039754603353952
2,17,V,5,4.23989059555823,4.79036174761127,V,5,3.63586248796376,5.10470238774582,
2,18,I,4,4.0221325753292,4.90034720978588,I,6,2.86873751771361,4.88426905292646,
2,19,III,4,5.71976328348932,5.15379872212697,III,5,6.20732146265606,4.50780983058142,
2,20,vi,4,1.84174124251188,3.79202999634444,vi,4,3.00730433947416,3.72043407342205,
2,21,I,5,2.62847672626948,4.77175258604589,I,4,1.96354658347417,4.32780041423269,
,,,,,,,,,,
3,41,V,4,4.01265380417053,5.15379872212697,V,4,4.01265380417053,5.15379872212697,
3,42,I,5,3.13491168451083,4.97454142815806,I,5,3.13491168451083,4.97454142815806,
3,43,IV,6,3.1475887333336,4.84851279392011,IV,6,3.1475887333336,4.84851279392011,
3,44,iv,7,4.52064599453303,3.96889022741401,iv,7,4.52064599453303,3.96889022741401,
3,45,I,4,0.730048482389789,3.07148023216863,I,4,0.730048482389789,3.07148023216863,
3,46,V,6,5.30547418800856,3.10202756868641,I,6,5.30944964834396,3.10202756868641,0.0039754603353952
3,47,V,5,4.23989059555823,4.79036174761127,V,5,3.63586248796376,5.10470238774582,
3,48,V,4,4.09082907506737,4.90034720978588,V,6,2.78413184122761,4.88426905292646,
3,49,V,4,2.98111708904373,4.89932533798138,V,6,3.08828570507067,4.50105155201027,
3,50,I,5,3.38231680882136,5.02648751909815,I,6,2.94997809853447,4.02390874758757,
3,51,III,6,5.90993081480426,4.78137977457701,III,6,5.89157260386681,4.68894630305054,
,,,,,,,,,,
4,101,V,4,4.01265380417053,5.15379872212697,V,4,4.01265380417053,5.15379872212697,
4,102,I,5,3.13491168451083,4.97454142815806,I,5,3.13491168451083,4.97454142815806,
4,103,IV,6,3.1475887333336,4.84851279392011,IV,6,3.1475887333336,4.84851279392011,
4,104,iv,7,4.52064599453303,3.96889022741401,iv,7,4.52064599453303,3.96889022741401,
4,105,I,4,0.730048482389789,3.07148023216863,I,4,0.730048482389789,3.07148023216863,
4,106,V,6,5.30547418800856,3.10202756868641,I,6,5.30944964834396,3.10202756868641,0.0039754603353952
4,107,V,5,4.23989059555823,4.79036174761127,V,5,3.63586248796376,5.10470238774582,
4,108,r,4,3.15213906120611,4.90034720978588,r,6,3.27297645707621,4.88426905292646,
