Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,5,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
1,6,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
1,7,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
1,8,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
1,9,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
1,10,v,3,4.79394842985687,4.78113330045436,IV,3,4.77578204030713,4.78113330045436,0.0181663895497461
1,11,iv,3,3.35570314635149,4.84386257883438,iv,3,5.38931102410625,4.8307191843998,
1,12,i,4,4.89724304193858,5.1393051441483,i,3,3.7769115679202,5.161018556024,
1,13,v,3,5.31300862230018,5.04470124337185,v,4,5.86647239132338,4.1047262863751,
1,14,-VII,3,6.01748482414773,4.56948728059065,-VII,3,6.01748482414773,4.56948728059065,
1,15,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
,,,,,,,,,,
2,7,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
2,8,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
2,9,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
2,10,v,3,4.79394842985687,4.78113330045436,v,3,4.79394842985687,4.78113330045436,
2,11,iv,3,3.35570314635149,4.84386257883438,iv,3,3.35570314635149,4.84386257883438,
2,12,i,4,4.89724304193858,5.1393051441483,V,4,4.94111706423191,5.1393051441483,0.0438740222933252
2,13,v,3,5.31300862230018,5.04470124337185,v,3,6.16973904067005,5.04767481953666,
2,14,-VII,3,6.01748482414773,4.56948728059065,-VII,2,5.59735893066133,5.12397135112786,
2,15,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
2,16,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
2,17,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
,,,,,,,,,,
3,21,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
3,22,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
3,23,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
3,24,v,3,4.79394842985687,4.78113330045436,v,3,4.79394842985687,4.78113330045436,
3,25,iv,3,3.35570314635149,4.84386257883438,iv,3,3.35570314635149,4.84386257883438,
3,26,i,4,4.89724304193858,5.1393051441483,V,4,4.94111706423191,5.1393051441483,0.0438740222933252
3,27,v,3,5.31300862230018,5.04470124337185,v,3,6.16973904067005,5.04767481953666,
3,28,-VII,3,6.01748482414773,4.56948728059065,-VII,2,5.59735893066133,5.12397135112786,
3,29,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
3,30,r,3,3.25256093243937,4.78113330045436,r,3,3.25256093243937,4.78113330045436,
3,31,r,3,1.10925307126662,3.08041445158367,r,3,1.10925307126662,3.08041445158367,
,,,,,,,,,,
4,5,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
4,6,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
4,7,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
4,8,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
4,9,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
4,10,v,3,4.79394842985687,4.78113330045436,-III,3,4.74375650493984,4.78113330045436,0.0501919249170291
4,11,iv,3,3.35570314635149,4.84386257883438,iv,3,4.89412044693147,5.12133909776672,
4,12,i,4,4.89724304193858,5.1393051441483,i,3,4.18368560443578,5.22019587939999,
4,13,v,3,5.31300862230018,5.04470124337185,v,4,4.46282311695458,4.6145273426356,
4,14,-VII,3,6.01748482414773,4.56948728059065,-VII,3,6.32348255820929,3.99327864295582,
4,15,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
,,,,,,,,,,
5,6,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
5,7,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
5,8,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
5,9,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
5,10,v,3,4.79394842985687,4.78113330045436,v,3,4.79394842985687,4.78113330045436,
5,11,iv,3,3.35570314635149,4.84386257883438,i,3,3.41288209250563,4.84386257883438,0.057178946154143
5,12,i,4,4.89724304193858,5.1393051441483,i,4,2.21725846116316,4.28216288024627,
5,13,v,3,5.31300862230018,5.04470124337185,v,5,5.73239318931292,4.21176931744412,
5,14,-VII,3,6.01748482414773,4.56948728059065,-VII,3,5.99801385934161,4.79759674970001,
5,15,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
5,16,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
,,,,,,,,,,
6,20,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
6,21,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
6,22,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
6,23,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
6,24,v,3,4.79394842985687,4.78113330045436,v,3,4.79394842985687,4.78113330045436,
6,25,iv,3,3.35570314635149,4.84386257883438,i,3,3.41288209250563,4.84386257883438,0.057178946154143
6,26,i,4,4.89724304193858,5.1393051441483,i,4,2.21725846116316,4.28216288024627,
6,27,v,3,5.31300862230018,5.04470124337185,v,5,5.73239318931292,4.21176931744412,
6,28,-VII,3,6.01748482414773,4.56948728059065,-VII,3,5.99801385934161,4.79759674970001,
6,29,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
6,30,r,3,3.25256093243937,4.78113330045436,r,3,3.25256093243937,4.78113330045436,
,,,,,,,,,,
7,8,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
7,9,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
7,10,v,3,4.79394842985687,4.78113330045436,v,3,4.79394842985687,4.78113330045436,
7,11,iv,3,3.35570314635149,4.84386257883438,iv,3,3.35570314635149,4.84386257883438,
7,12,i,4,4.89724304193858,5.1393051441483,i,4,4.89724304193858,5.1393051441483,
7,13,v,3,5.31300862230018,5.04470124337185,I,3,5.37173580491455,5.04470124337185,0.0587271826143629
7,14,-VII,3,6.01748482414773,4.56948728059065,-VII,3,4.85089802904791,4.96330537100751,
7,15,i,2,4.49511562780562,5.34432070279144,i,3,5.8041455766779,4.31321987988565,
7,16,i,3,2.68237451357196,4.78113330045436,i,3,2.67043107234988,4.77698354853993,
7,17,v,4,4.88402467319801,4.88612155090994,v,4,4.91535180451919,4.78113229161555,
7,18,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
,,,,,,,,,,
8,22,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
8,23,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
8,24,v,3,4.79394842985687,4.78113330045436,v,3,4.79394842985687,4.78113330045436,
8,25,iv,3,3.35570314635149,4.84386257883438,iv,3,3.35570314635149,4.84386257883438,
8,26,i,4,4.89724304193858,5.1393051441483,i,4,4.89724304193858,5.1393051441483,
8,27,v,3,5.31300862230018,5.04470124337185,I,3,5.37173580491455,5.04470124337185,0.0587271826143629
8,28,-VII,3,6.01748482414773,4.56948728059065,-VII,3,4.85089802904791,4.96330537100751,
8,29,i,2,4.49511562780562,5.34432070279144,i,3,5.8041455766779,4.31321987988565,
8,30,r,3,3.25256093243937,4.78113330045436,r,3,3.25799895840476,4.77698354853993,
8,31,r,3,1.10925307126662,3.08041445158367,r,3,1.10925307126662,3.08041445158367,
8,32,r,4,1.20515060029513,2.97325377644574,r,4,1.20515060029513,2.97325377644574,
,,,,,,,,,,
9,4,-VII,3,5.83034342328759,4.95072747828959,-VII,3,5.83034342328759,4.95072747828959,
9,5,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
9,6,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
9,7,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
9,8,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
9,9,i,2,4.49511562780562,5.34432070279144,-III,2,4.56332099721456,5.34432070279144,0.0682053694089388
9,10,v,3,4.79394842985687,4.78113330045436,v,3,5.32233578543098,4.46114073927851,
9,11,iv,3,3.35570314635149,4.84386257883438,iv,3,5.21885040007418,4.92717981000916,
9,12,i,4,4.89724304193858,5.1393051441483,i,3,4.91591242998704,5.02529327125434,
9,13,v,3,5.31300862230018,5.04470124337185,v,3,5.31300862230018,5.04470124337185,
9,14,-VII,3,6.01748482414773,4.56948728059065,-VII,3,6.01748482414773,4.56948728059065,
,,,,,,,,,,
10,10,v,3,4.79394842985687,4.78113330045436,v,3,4.79394842985687,4.78113330045436,
10,11,iv,3,3.35570314635149,4.84386257883438,iv,3,3.35570314635149,4.84386257883438,
10,12,i,4,4.89724304193858,5.1393051441483,i,4,4.89724304193858,5.1393051441483,
10,13,v,3,5.31300862230018,5.04470124337185,v,3,5.31300862230018,5.04470124337185,
10,14,-VII,3,6.01748482414773,4.56948728059065,-VII,3,6.01748482414773,4.56948728059065,
10,15,i,2,4.49511562780562,5.34432070279144,-III,2,4.56332099721456,5.34432070279144,0.0682053694089388
10,16,i,3,2.68237451357196,4.78113330045436,i,3,5.0563706671485,4.46114073927851,
10,17,v,4,4.88402467319801,4.88612155090994,v,3,5.64047786663881,4.95413184693057,
10,18,-VII,4,6.36587437840469,4.30555533415729,-VII,2,5.62861315444044,5.13429235032051,
10,19,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
10,20,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
,,,,,,,,,,
11,14,-VII,3,6.01748482414773,4.56948728059065,-VII,3,6.01748482414773,4.56948728059065,
11,15,i,2,4.49511562780562,5.34432070279144,i,2,4.49511562780562,5.34432070279144,
11,16,i,3,2.68237451357196,4.78113330045436,i,3,2.68237451357196,4.78113330045436,
11,17,v,4,4.88402467319801,4.88612155090994,v,4,4.88402467319801,4.88612155090994,
11,18,-VII,4,6.36587437840469,4.30555533415729,-VII,4,6.36587437840469,4.30555533415729,
11,19,i,2,4.49511562780562,5.34432070279144,-III,2,4.56332099721456,5.34432070279144,0.0682053694089388
