Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,25,ii,6,5.32316589181131,4.46236380817998,ii,6,5.32316589181131,4.46236380817998,
1,26,iii,4,5.46079949490337,3.82604134760249,iii,4,5.46079949490337,3.82604134760249,
1,27,vi,3,3.04829863091687,4.35392169798047,vi,3,3.04829863091687,4.35392169798047,
1,28,IV,4,3.84117115970372,4.48871070650599,IV,4,3.84117115970372,4.48871070650599,
1,29,I,4,4.19801198907067,4.61593625841785,I,4,4.19801198907067,4.61593625841785,
1,30,ii,4,4.93470060844249,4.7115444881241,vi,4,4.92234541863202,4.7115444881241,0.0123551898104708
1,31,I,4,2.60346068668662,4.65283310976944,I,4,4.37126907865977,4.52878385705284,
1,32,IV,5,2.00731479327911,4.59394582881792,IV,4,2.56754930732713,4.52373383804229,
1,33,I,6,3.01163306004023,4.39645634317954,I,5,1.92728678081037,4.47462548665814,
1,34,ii,6,2.20203945184495,4.52631085737055,ii,6,4.25203621827255,4.72949194802997,
1,35,ii,7,4.40504479172991,4.63463752340586,ii,5,4.45633773183783,4.61881451435226,
,,,,,,,,,,
2,26,iii,4,5.46079949490337,3.82604134760249,iii,4,5.46079949490337,3.82604134760249,
2,27,vi,3,3.04829863091687,4.35392169798047,vi,3,3.04829863091687,4.35392169798047,
2,28,IV,4,3.84117115970372,4.48871070650599,IV,4,3.84117115970372,4.48871070650599,
2,29,I,4,4.19801198907067,4.61593625841785,I,4,4.19801198907067,4.61593625841785,
2,30,ii,4,4.93470060844249,4.7115444881241,ii,4,4.93470060844249,4.7115444881241,
2,31,I,4,2.60346068668662,4.65283310976944,V,4,2.56620003743789,4.65283310976944,0.0372606492487284
2,32,IV,5,2.00731479327911,4.59394582881792,IV,5,3.97671842532682,4.44893388437864,
2,33,I,6,3.01163306004023,4.39645634317954,I,5,1.90905218493296,3.92564640091756,
2,34,ii,6,2.20203945184495,4.52631085737055,ii,6,2.60149300649829,4.50579013673205,
2,35,ii,7,4.40504479172991,4.63463752340586,ii,5,4.10756427872352,3.67258089101797,
2,36,IV,5,4.15742794164375,4.48299683554562,IV,5,4.19236685362747,4.33216651950289,
,,,,,,,,,,
3,24,IV,5,2.2423374873655,4.56230142817596,IV,5,2.2423374873655,4.56230142817596,
3,25,ii,6,5.32316589181131,4.46236380817998,ii,6,5.32316589181131,4.46236380817998,
3,26,iii,4,5.46079949490337,3.82604134760249,iii,4,5.46079949490337,3.82604134760249,
3,27,vi,3,3.04829863091687,4.35392169798047,vi,3,3.04829863091687,4.35392169798047,
3,28,IV,4,3.84117115970372,4.48871070650599,IV,4,3.84117115970372,4.48871070650599,
3,29,I,4,4.19801198907067,4.61593625841785,IV,4,4.13039731700825,4.61593625841785,0.0676146720624242
3,30,ii,4,4.93470060844249,4.7115444881241,ii,4,5.33104249878666,4.35033975186724,
3,31,I,4,2.60346068668662,4.65283310976944,I,4,3.59781865774576,4.58504134978581,
3,32,IV,5,2.00731479327911,4.59394582881792,IV,4,2.34502023489649,4.77579510539346,
3,33,I,6,3.01163306004023,4.39645634317954,I,5,2.01245297740646,4.43374301479821,
3,34,ii,6,2.20203945184495,4.52631085737055,ii,6,1.43905615801625,4.10528470011876,
,,,,,,,,,,
4,21,V,9,4.66191072243867,4.87065974891336,V,9,4.66191072243867,4.87065974891336,
4,22,vi,6,3.31979237920862,4.76315362621332,vi,6,3.31979237920862,4.76315362621332,
4,23,iii,7,3.9197958067412,4.29233586413617,iii,7,3.9197958067412,4.29233586413617,
4,24,IV,5,2.2423374873655,4.56230142817596,IV,5,2.2423374873655,4.56230142817596,
4,25,ii,6,5.32316589181131,4.46236380817998,ii,6,5.32316589181131,4.46236380817998,
4,26,iii,4,5.46079949490337,3.82604134760249,vi,4,5.52932693618115,3.82604134760249,0.068527441277781
4,27,vi,3,3.04829863091687,4.35392169798047,vi,3,4.81041253629776,5.03582938948022,
4,28,IV,4,3.84117115970372,4.48871070650599,IV,3,3.98417160881448,5.23198665654646,
4,29,I,4,4.19801198907067,4.61593625841785,I,4,4.43925708668219,4.64185128457632,
4,30,ii,4,4.93470060844249,4.7115444881241,ii,4,4.83350984148389,4.89507994131813,
4,31,I,4,2.60346068668662,4.65283310976944,I,4,2.60346068668662,4.65283310976944,
,,,,,,,,,,
5,23,iii,7,3.9197958067412,4.29233586413617,iii,7,3.9197958067412,4.29233586413617,
5,24,IV,5,2.2423374873655,4.56230142817596,IV,5,2.2423374873655,4.56230142817596,
5,25,ii,6,5.32316589181131,4.46236380817998,ii,6,5.32316589181131,4.46236380817998,
5,26,iii,4,5.46079949490337,3.82604134760249,iii,4,5.46079949490337,3.82604134760249,
5,27,vi,3,3.04829863091687,4.35392169798047,vi,3,3.04829863091687,4.35392169798047,
5,28,IV,4,3.84117115970372,4.48871070650599,vi,4,3.76886803581498,4.48871070650599,0.0723031238887408
5,29,I,4,4.19801198907067,4.61593625841785,I,4,4.79119770310331,4.89585727078956,
5,30,ii,4,4.93470060844249,4.7115444881241,ii,4,4.69549992115807,4.43381039550117,
5,31,I,4,2.60346068668662,4.65283310976944,I,4,1.93010073386344,4.5571752971991,
5,32,IV,5,2.00731479327911,4.59394582881792,IV,4,4.54636930179515,4.72497025386104,
