Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,4,I,3,1.94304799208725,4.72500879444501,I,3,1.94304799208725,4.72500879444501,
1,5,io,4,7.51308883168148,4.27420465354856,io,4,7.51308883168148,4.27420465354856,
1,6,V,2,6.21458599496511,4.86161020680717,V,2,6.21458599496511,4.86161020680717,
1,7,I,1,4.87778507525985,5.46986469559909,I,1,4.87778507525985,5.46986469559909,
1,8,V,2,4.91551670711664,5.45566772727408,V,2,4.91551670711664,5.45566772727408,
1,9,V,3,4.08102199060471,5.22022890564084,IV,3,4.09154526110223,5.22022890564084,0.0105232704975275
1,10,I,4,3.09234574370047,5.01128113020288,I,4,3.31713402431507,4.93584118757389,
1,11,I,5,3.06984778628573,4.88764527737316,I,5,3.44466812784726,4.79269023743594,
1,12,I,6,3.62081848891659,4.99555854328191,I,5,2.98106098803521,4.95525046086574,
1,13,I,6,2.30475990512209,4.6901267836273,I,6,2.14662977405537,4.36076664425533,
1,14,I,7,2.55811274482645,4.61571983815167,I,7,1.15027864480806,3.78046333690523,
,,,,,,,,,,
2,58,V,2,6.21458599496511,4.86161020680717,V,2,6.21458599496511,4.86161020680717,
2,59,I,1,4.87778507525985,5.46986469559909,I,1,4.87778507525985,5.46986469559909,
2,60,I,2,4.507145756683,5.45566772727408,I,2,4.507145756683,5.45566772727408,
2,61,IV,3,4.43161519316466,5.34631273753333,IV,3,4.43161519316466,5.34631273753333,
2,62,IV,4,3.7026815257193,5.18741200253266,IV,4,3.7026815257193,5.18741200253266,
2,63,IV,5,3.77250217903983,5.03887127343765,V,5,3.76051759894964,5.03887127343765,0.0119845800901968
2,64,IV,6,2.1077863300058,4.06179685721867,IV,6,4.29021173374081,3.6276196213932,
2,65,I,7,2.47623782459169,4.52928003774137,I,5,0.61368940707976,2.59476127194383,
2,66,I,8,2.208030244649,4.54553054732426,I,7,3.08342083283589,4.89269428537275,
2,67,I,9,3.29845092924115,4.64472699867759,I,8,2.65854446290272,4.75612351116953,
2,68,I,9,2.00678736042571,4.49872847704977,I,7,2.40173107917902,4.32143898952953,
,,,,,,,,,,
3,26,V,10,2.96270743934517,4.55167205056279,V,10,2.96270743934517,4.55167205056279,
3,27,V,10,1.51540910483028,3.57501093972194,V,10,1.51540910483028,3.57501093972194,
3,28,IV,9,0.703674856179997,2.74204302572322,IV,9,0.703674856179997,2.74204302572322,
3,29,IV,10,1.47971231614108,3.30487318248482,IV,10,1.47971231614108,3.30487318248482,
3,30,I,10,0.923598115233841,3.10902491584579,I,10,0.923598115233841,3.10902491584579,
3,31,io,9,9.71954191648734,1.98516690992613,vio,9,9.69009267453427,1.98516690992613,0.0294492419530687
3,32,V,2,6.21458599496511,4.86161020680717,V,2,4.87935138861558,4.55961086264368,
3,33,I,1,4.87778507525985,5.46986469559909,I,2,5.10426562814095,5.15267957829579,
3,34,V,2,4.91551670711664,5.45566772727408,V,2,4.91551670711664,5.45566772727408,
3,35,V,3,4.08102199060471,5.22022890564084,V,3,4.08102199060471,5.22022890564084,
3,36,I,4,3.09234574370047,5.01128113020288,I,4,3.09234574370047,5.01128113020288,
,,,,,,,,,,
4,52,V,10,2.96270743934517,4.55167205056279,V,10,2.96270743934517,4.55167205056279,
4,53,V,10,1.51540910483028,3.57501093972194,V,10,1.51540910483028,3.57501093972194,
4,54,IV,9,0.703674856179997,2.74204302572322,IV,9,0.703674856179997,2.74204302572322,
4,55,IV,10,1.47971231614108,3.30487318248482,IV,10,1.47971231614108,3.30487318248482,
4,56,I,10,0.923598115233841,3.10902491584579,I,10,0.923598115233841,3.10902491584579,
4,57,io,9,9.71954191648734,1.98516690992613,vio,9,9.69009267453427,1.98516690992613,0.0294492419530687
4,58,V,2,6.21458599496511,4.86161020680717,V,2,4.87935138861558,4.55961086264368,
4,59,I,1,4.87778507525985,5.46986469559909,I,2,5.10426562814095,5.15267957829579,
4,60,I,2,4.507145756683,5.45566772727408,I,2,4.507145756683,5.45566772727408,
4,61,IV,3,4.43161519316466,5.34631273753333,IV,3,4.43161519316466,5.34631273753333,
4,62,IV,4,3.7026815257193,5.18741200253266,IV,4,3.7026815257193,5.18741200253266,
,,,,,,,,,,
5,26,V,10,2.96270743934517,4.55167205056279,V,10,2.96270743934517,4.55167205056279,
5,27,V,10,1.51540910483028,3.57501093972194,V,10,1.51540910483028,3.57501093972194,
5,28,IV,9,0.703674856179997,2.74204302572322,IV,9,0.703674856179997,2.74204302572322,
5,29,IV,10,1.47971231614108,3.30487318248482,IV,10,1.47971231614108,3.30487318248482,
5,30,I,10,0.923598115233841,3.10902491584579,I,10,0.923598115233841,3.10902491584579,
