Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,8,vi,2,3.30667451151413,5.18366599559588,vi,2,3.30667451151413,5.18366599559588,
1,9,I,3,3.77664866455021,5.09478130205421,I,3,3.77664866455021,5.09478130205421,
1,10,V,4,4.78943270595726,4.5607016039404,V,4,4.78943270595726,4.5607016039404,
1,11,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
1,12,vi,4,4.44816853544588,5.21107501195129,vi,4,4.44816853544588,5.21107501195129,
1,13,III,5,6.18344625605472,4.63167836495969,v,5,6.14669053673086,4.63167836495969,0.0367557193238568
1,14,vi,3,1.47526698597291,4.29837875074113,vi,3,5.24186600523318,4.64689055202012,
1,15,I,4,4.34096903665636,4.16153092136458,I,3,5.68760021719644,4.66503558511322,
1,16,V,4,4.78943270595726,4.5607016039404,V,2,4.2533736340653,5.23039242571779,
1,17,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
1,18,I,4,3.77520246207114,5.21107501195129,I,4,3.77520246207114,5.21107501195129,
,,,,,,,,,,
2,70,vi,4,4.03742608055439,3.0437697947545,vi,4,4.03742608055439,3.0437697947545,
2,71,I,4,4.08622695760022,4.60612265696829,I,4,4.08622695760022,4.60612265696829,
2,72,V,4,4.78943270595726,4.5607016039404,V,4,4.78943270595726,4.5607016039404,
2,73,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
2,74,vi,4,4.44816853544588,5.21107501195129,vi,4,4.44816853544588,5.21107501195129,
2,75,III,5,6.18344625605472,4.63167836495969,v,5,6.14669053673086,4.63167836495969,0.0367557193238568
2,76,vi,3,1.47526698597291,4.29837875074113,vi,3,5.24186600523318,4.64689055202012,
2,77,I,4,4.34096903665636,4.16153092136458,I,3,5.68760021719644,4.66503558511322,
2,78,V,4,4.78943270595726,4.5607016039404,V,2,4.2533736340653,5.23039242571779,
2,79,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
2,80,V,4,3.61063845174625,5.21107501195129,V,4,3.61063845174625,5.21107501195129,
,,,,,,,,,,
3,112,vi,3,1.18380406586543,3.92360926484805,vi,3,1.18380406586543,3.92360926484805,
3,113,I,4,4.55740904976301,3.75970867891277,I,4,4.55740904976301,3.75970867891277,
3,114,V,4,4.78943270595726,4.5607016039404,V,4,4.78943270595726,4.5607016039404,
3,115,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
3,116,vi,4,4.44816853544588,5.21107501195129,vi,4,4.44816853544588,5.21107501195129,
3,117,III,5,6.18344625605472,4.63167836495969,v,5,6.14669053673086,4.63167836495969,0.0367557193238568
3,118,vi,3,1.47526698597291,4.29837875074113,vi,3,5.24186600523318,4.64689055202012,
3,119,I,4,4.34096903665636,4.16153092136458,I,3,5.68760021719644,4.66503558511322,
3,120,V,4,4.78943270595726,4.5607016039404,V,2,4.2533736340653,5.23039242571779,
3,121,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
3,122,vi,4,4.44816853544588,5.21107501195129,vi,4,4.44816853544588,5.21107501195129,
,,,,,,,,,,
4,198,vi,3,1.47526698597291,4.29837875074113,vi,3,1.47526698597291,4.29837875074113,
4,199,I,4,4.34096903665636,4.16153092136458,I,4,4.34096903665636,4.16153092136458,
4,200,V,4,4.78943270595726,4.5607016039404,V,4,4.78943270595726,4.5607016039404,
4,201,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
4,202,vi,4,4.44816853544588,5.21107501195129,vi,4,4.44816853544588,5.21107501195129,
4,203,III,5,6.18344625605472,4.63167836495969,v,5,6.14669053673086,4.63167836495969,0.0367557193238568
4,204,vi,3,1.47526698597291,4.29837875074113,vi,3,5.24186600523318,4.64689055202012,
4,205,I,4,4.34096903665636,4.16153092136458,I,3,5.68760021719644,4.66503558511322,
4,206,V,4,4.78943270595726,4.5607016039404,V,2,4.2533736340653,5.23039242571779,
4,207,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
4,208,r,4,3.08460005763202,5.21107501195129,r,4,3.08460005763202,5.21107501195129,
,,,,,,,,,,
5,57,V,4,4.78943270595726,4.5607016039404,V,4,4.78943270595726,4.5607016039404,
5,58,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
5,59,I,4,3.77520246207114,5.21107501195129,I,4,3.77520246207114,5.21107501195129,
5,60,IV,5,4.1262617737272,4.84311932842473,IV,5,4.1262617737272,4.84311932842473,
5,61,I,5,3.43336675549383,4.9200594640131,I,5,3.43336675549383,4.9200594640131,
5,62,IV,6,2.54973082005631,4.38221620827722,I,6,2.61407314790135,4.38221620827722,0.0643423278450306
5,63,I,7,1.14098372397643,3.59892948488726,I,7,2.81875699215061,4.85936585137318,
5,64,IV,8,2.65042990530482,3.87821665316649,IV,8,2.88562682623118,4.34583594354621,
5,65,I,8,1.45967465461749,4.08639932174337,I,8,1.8244019033635,4.37305559251283,
5,66,V,9,3.00929503287212,4.55600831709127,V,9,3.92225865343661,4.40943782402233,
5,67,V,9,1.30050714194076,3.73783858544863,V,7,3.32283188531736,4.28559935659063,
,,,,,,,,,,
6,43,I,10,1.25305566330822,3.71788661804831,I,10,1.25305566330822,3.71788661804831,
6,44,IV,9,0.518211044959287,2.31540767033304,IV,9,0.518211044959287,2.31540767033304,
6,45,I,10,0.652165313623568,2.65524755192638,I,10,0.652165313623568,2.65524755192638,
6,46,I,9,4.86303228107396,2.55640893819459,I,9,4.86303228107396,2.55640893819459,
6,47,vi,9,5.02456584702334,4.3193674834462,vi,9,5.02456584702334,4.3193674834462,
6,48,III,6,6.14443810973374,4.57666917029288,iv,6,6.22785082493086,4.57666917029288,0.0834127151971167
6,49,vi,3,1.18380406586543,3.92360926484805,vi,3,6.8032198022726,4.03903995100931,
6,50,I,4,4.55740904976301,3.75970867891277,I,2,5.30897081009889,5.26163704822232,
6,51,V,4,4.78943270595726,4.5607016039404,V,2,4.2533736340653,5.23039242571779,
6,52,I,3,3.0378614786657,5.06001415105232,I,3,3.0378614786657,5.06001415105232,
6,53,vi,4,4.44816853544588,5.21107501195129,vi,4,4.44816853544588,5.21107501195129,
,,,,,,,,,,
