Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,19,I,8,2.747401817183,4.30611173651263,I,8,2.747401817183,4.30611173651263,
1,20,IV,8,1.64985650955848,4.22894921529876,IV,8,1.64985650955848,4.22894921529876,
1,21,I,8,2.63225378715508,3.39443334510568,I,8,2.63225378715508,3.39443334510568,
1,22,-VI,7,7.95152233021108,1.87260077445759,-VI,7,7.95152233021108,1.87260077445759,
1,23,I,4,6.42814925034864,2.6448240083567,I,4,6.42814925034864,2.6448240083567,
1,24,vi,3,4.53894513388439,5.28031595436809,-VII,3,4.53992042717361,5.28031595436809,0.000975293289226187
1,25,IV,3,4.55520833399308,4.88320062428155,IV,3,4.55844273103727,3.45860487855304,
1,26,V,3,3.47242794234335,5.13985794382752,V,3,4.07342100666748,5.14620260264546,
1,27,IV,4,3.46496443245663,4.59927142943227,IV,4,3.23443300931768,4.58495793987058,
1,28,V,5,2.23595885235487,3.97720306056603,V,5,3.08451441520614,4.31690474893755,
1,29,I,6,2.63785500186311,4.74671375130179,I,5,3.58324734523187,4.31739869247701,
,,,,,,,,,,
2,11,IV,4,3.45771883540259,4.98042661608142,IV,4,3.45771883540259,4.98042661608142,
2,12,V,5,2.45423746857384,4.54457527099606,V,5,2.45423746857384,4.54457527099606,
2,13,IV,6,4.36020698306771,4.43586451537758,IV,6,4.36020698306771,4.43586451537758,
2,14,V,6,2.42958695124375,4.38507391794019,V,6,2.42958695124375,4.38507391794019,
2,15,I,7,1.74956985360189,4.31925639516479,I,7,1.74956985360189,4.31925639516479,
2,16,IV,6,3.70576767832416,4.82516007977976,I,6,3.69651564780742,4.82516007977976,0.00925203051674028
2,17,V,6,1.87527998954853,3.58989985993588,V,6,4.43276291943704,4.84986645400589,
2,18,IV,7,2.98323184343027,4.60930623735075,IV,6,2.34406009797237,4.63987023022189,
2,19,I,8,2.747401817183,4.30611173651263,I,6,3.69138508703355,2.96445632846847,
2,20,IV,8,1.64985650955848,4.22894921529876,IV,6,3.98546266764128,4.01609552848346,
2,21,I,8,2.63225378715508,3.39443334510568,I,6,2.55324243062393,4.57269848931077,
,,,,,,,,,,
3,20,IV,8,1.64985650955848,4.22894921529876,IV,8,1.64985650955848,4.22894921529876,
3,21,I,8,2.63225378715508,3.39443334510568,I,8,2.63225378715508,3.39443334510568,
3,22,-VI,7,7.95152233021108,1.87260077445759,-VI,7,7.95152233021108,1.87260077445759,
3,23,I,4,6.42814925034864,2.6448240083567,I,4,6.42814925034864,2.6448240083567,
3,24,vi,3,4.53894513388439,5.28031595436809,vi,3,4.53894513388439,5.28031595436809,
3,25,IV,3,4.55520833399308,4.88320062428155,ii,3,4.53630925353562,4.88320062428155,0.0188990804574622
3,26,V,3,3.47242794234335,5.13985794382752,V,3,2.41902701889391,4.791260633468,
3,27,IV,4,3.46496443245663,4.59927142943227,IV,4,4.1426228711872,5.03604528576494,
3,28,V,5,2.23595885235487,3.97720306056603,V,5,3.24452899030207,3.47449249664194,
3,29,I,6,2.63785500186311,4.74671375130179,I,5,3.39316145702819,4.41599068557886,
3,30,IV,6,3.70576767832416,4.82516007977976,IV,5,3.1843260372342,5.01297819507502,
,,,,,,,,,,
4,18,IV,7,2.98323184343027,4.60930623735075,IV,7,2.98323184343027,4.60930623735075,
4,19,I,8,2.747401817183,4.30611173651263,I,8,2.747401817183,4.30611173651263,
4,20,IV,8,1.64985650955848,4.22894921529876,IV,8,1.64985650955848,4.22894921529876,
4,21,I,8,2.63225378715508,3.39443334510568,I,8,2.63225378715508,3.39443334510568,
4,22,-VI,7,7.95152233021108,1.87260077445759,-VI,7,7.95152233021108,1.87260077445759,
4,23,I,4,6.42814925034864,2.6448240083567,IV,4,6.46881076120186,2.6448240083567,0.0406615108532238
4,24,vi,3,4.53894513388439,5.28031595436809,vi,3,6.05064288325908,4.82136599945296,
4,25,IV,3,4.55520833399308,4.88320062428155,IV,2,4.15488731135651,5.27555128161234,
4,26,V,3,3.47242794234335,5.13985794382752,V,3,3.7428580393024,5.11316668994429,
4,27,IV,4,3.46496443245663,4.59927142943227,IV,4,4.40465886512996,4.88570695827731,
4,28,V,5,2.23595885235487,3.97720306056603,V,4,2.92671889314274,4.69677295596224,
,,,,,,,,,,
5,11,IV,4,3.45771883540259,4.98042661608142,IV,4,3.45771883540259,4.98042661608142,
5,12,V,5,2.45423746857384,4.54457527099606,V,5,2.45423746857384,4.54457527099606,
5,13,IV,6,4.36020698306771,4.43586451537758,IV,6,4.36020698306771,4.43586451537758,
5,14,V,6,2.42958695124375,4.38507391794019,V,6,2.42958695124375,4.38507391794019,
5,15,I,7,1.74956985360189,4.31925639516479,I,7,1.74956985360189,4.31925639516479,
5,16,IV,6,3.70576767832416,4.82516007977976,V,6,3.75876553539036,4.82516007977976,0.0529978570661953
5,17,V,6,1.87527998954853,3.58989985993588,V,6,4.60136323142096,4.15543906147541,
5,18,IV,7,2.98323184343027,4.60930623735075,IV,5,4.24437955110163,4.29562573385546,
5,19,I,8,2.747401817183,4.30611173651263,I,5,2.58300231432307,3.79022793850428,
5,20,IV,8,1.64985650955848,4.22894921529876,IV,5,3.02328039042591,4.64164716354673,
5,21,I,8,2.63225378715508,3.39443334510568,I,6,2.49779637888242,4.53825217650749,
,,,,,,,,,,
6,13,IV,6,4.36020698306771,4.43586451537758,IV,6,4.36020698306771,4.43586451537758,
6,14,V,6,2.42958695124375,4.38507391794019,V,6,2.42958695124375,4.38507391794019,
6,15,I,7,1.74956985360189,4.31925639516479,I,7,1.74956985360189,4.31925639516479,
6,16,IV,6,3.70576767832416,4.82516007977976,IV,6,3.70576767832416,4.82516007977976,
6,17,V,6,1.87527998954853,3.58989985993588,V,6,1.87527998954853,3.58989985993588,
6,18,IV,7,2.98323184343027,4.60930623735075,V,7,3.06375301674268,4.60930623735075,0.0805211733124018
6,19,I,8,2.747401817183,4.30611173651263,I,8,1.89402774559705,4.11446767471209,
6,20,IV,8,1.64985650955848,4.22894921529876,IV,9,2.09967621235045,4.20565547347359,
6,21,I,8,2.63225378715508,3.39443334510568,I,7,4.63707835378106,0.942232012013112,
6,22,-VI,7,7.95152233021108,1.87260077445759,-VI,7,6.20077499697195,4.77652892961527,
6,23,I,4,6.42814925034864,2.6448240083567,I,4,5.48725816879365,4.2044318576362,
,,,,,,,,,,
7,41,IV,4,3.46496443245663,4.59927142943227,IV,4,3.46496443245663,4.59927142943227,
7,42,V,5,2.23595885235487,3.97720306056603,V,5,2.23595885235487,3.97720306056603,
7,43,I,6,2.63785500186311,4.74671375130179,I,6,2.63785500186311,4.74671375130179,
7,44,IV,6,3.70576767832416,4.82516007977976,IV,6,3.70576767832416,4.82516007977976,
7,45,V,6,1.87527998954853,3.58989985993588,V,6,1.87527998954853,3.58989985993588,
7,46,IV,7,2.98323184343027,4.60930623735075,V,7,3.06375301674268,4.60930623735075,0.0805211733124018
7,47,I,8,2.747401817183,4.30611173651263,I,8,1.89402774559705,4.11446767471209,
7,48,IV,8,1.64985650955848,4.22894921529876,IV,9,2.09967621235045,4.20565547347359,
7,49,I,8,2.63225378715508,3.39443334510568,I,7,4.63707835378106,0.942232012013112,
7,50,IV,7,0.377228885758448,1.87260077445759,IV,7,2.80719119804106,4.77652892961527,
7,51,I,9,1.54566946256237,4.13776701624991,I,7,0.585882425615921,2.58207242992948,
,,,,,,,,,,
8,18,IV,7,2.98323184343027,4.60930623735075,IV,7,2.98323184343027,4.60930623735075,
8,19,I,8,2.747401817183,4.30611173651263,I,8,2.747401817183,4.30611173651263,
8,20,IV,8,1.64985650955848,4.22894921529876,IV,8,1.64985650955848,4.22894921529876,
8,21,I,8,2.63225378715508,3.39443334510568,I,8,2.63225378715508,3.39443334510568,
