Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,30,IV,6,4.21377204798262,4.28162921007399,IV,6,4.21377204798262,4.28162921007399,
1,31,r,6,3.2979395911667,4.13587912479897,r,6,3.2979395911667,4.13587912479897,
1,32,r,4,1.93222977519163,2.91155688004173,r,4,1.93222977519163,2.91155688004173,
1,33,I,4,1.30770677980638,3.04578669097442,I,4,1.30770677980638,3.04578669097442,
1,34,I,5,2.1417387616531,4.16520480958011,I,5,2.1417387616531,4.16520480958011,
1,35,II,5,6.24150010599446,4.20178366611534,iii,5,6.23738315324625,4.20178366611534,0.00411695274820456
1,36,II,4,1.41623263362085,3.98656449195706,II,4,5.89314251005769,4.58926400940304,
1,37,-VII,5,6.22492495693706,4.53058575499058,-VII,3,1.95143073189096,4.68055781258581,
1,38,IV,2,4.45060405192018,5.27712211980215,IV,4,4.75252992390571,4.90703567897148,
1,39,I,3,2.22031344353252,4.92003614290261,I,3,2.22031344353252,4.92003614290261,
1,40,I,4,2.25217323666161,4.91580553146164,I,4,2.25217323666161,4.91580553146164,
,,,,,,,,,,
2,78,r,6,1.88241488127823,3.57469272177495,r,6,1.88241488127823,3.57469272177495,
2,79,r,5,2.12787562863185,2.76897068672844,r,5,2.12787562863185,2.76897068672844,
2,80,r,5,1.1884617310727,3.03501905911059,r,5,1.1884617310727,3.03501905911059,
2,81,I,6,2.26004835991183,3.25511384241442,I,6,2.26004835991183,3.25511384241442,
2,82,I,5,2.07511307449459,4.54432169110347,I,5,2.07511307449459,4.54432169110347,
2,83,II,6,6.34296184765434,4.29770168909558,iii,6,6.33884489490614,4.29770168909558,0.00411695274820456
2,84,II,4,1.41623263362085,3.98656449195706,II,4,5.89314251005769,4.58926400940304,
2,85,-VII,5,6.22492495693706,4.53058575499058,-VII,3,1.95143073189096,4.68055781258581,
2,86,IV,2,4.45060405192018,5.27712211980215,IV,4,4.75252992390571,4.90703567897148,
2,87,I,3,2.22031344353252,4.92003614290261,I,3,2.22031344353252,4.92003614290261,
2,88,I,4,2.25217323666161,4.91580553146164,I,4,2.25217323666161,4.91580553146164,
,,,,,,,,,,
3,103,I,3,2.22031344353252,4.92003614290261,I,3,2.22031344353252,4.92003614290261,
3,104,I,4,2.25217323666161,4.91580553146164,I,4,2.25217323666161,4.91580553146164,
3,105,V,5,4.4090068206833,4.72976235396037,V,5,4.4090068206833,4.72976235396037,
3,106,I,5,3.57060421518325,4.71839873947544,I,5,3.57060421518325,4.71839873947544,
