Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,35,IV,3,4.87361020329014,3.48774148663833,IV,3,4.87361020329014,3.48774148663833,
1,36,I,3,1.75915358489802,4.49692098613323,I,3,1.75915358489802,4.49692098613323,
1,37,I,4,2.00992577038301,4.74612450733169,I,4,2.00992577038301,4.74612450733169,
1,38,I,5,1.77156537128299,4.59287924258747,I,5,1.77156537128299,4.59287924258747,
1,39,I,6,2.6954272577358,4.563552321197,I,6,2.6954272577358,4.563552321197,
1,40,i,6,5.35165595003927,4.76238787288319,VI,6,5.39379450375998,4.76238787288319,0.0421385537207026
1,41,i,6,1.3962080168629,3.93187992029719,i,6,7.02238314119863,4.12847674665485,
1,42,i,7,4.60610324098173,4.41224976049523,i,2,1.57302905994944,4.52233799676154,
1,43,i,4,2.24110644241199,4.86716357127462,i,3,1.51162470976361,4.387668268631,
1,44,i,5,2.59730993121381,4.81564366797707,i,4,1.72442275092919,4.53092754369029,
1,45,i,6,2.08086419279331,4.6375573385776,i,5,1.61770965423891,4.36005994103043,
,,,,,,,,,,
2,65,-III,6,3.24859860013572,3.95499480618108,-III,6,3.24859860013572,3.95499480618108,
2,66,r,5,3.25461700537448,4.83705667865654,r,5,3.25461700537448,4.83705667865654,
2,67,IV,3,6.88412013188581,1.94190524589339,IV,3,6.88412013188581,1.94190524589339,
2,68,r,2,3.1799733855966,5.12600748330798,r,2,3.1799733855966,5.12600748330798,
2,69,IV,3,4.87361020329014,3.48774148663833,IV,3,4.87361020329014,3.48774148663833,
2,70,i,3,6.1810991879106,4.49692098613323,-VII,3,6.13369508631863,4.49692098613323,0.0474041015919724
2,71,i,2,3.80143228467229,5.36233906030814,i,2,4.63595533300684,5.3602968838289,
2,72,i,3,2.83933299490596,5.01740269836415,i,3,3.50554706400378,4.99265879699022,
2,73,i,4,2.09809572813487,4.63700879693304,i,4,3.8576836972935,5.02249838014551,
2,74,i,5,2.50434122548546,4.81894860679384,i,4,2.66893809334808,4.91265561714047,
2,75,i,6,0.933101044623981,3.39871835757833,i,5,2.60553088403327,4.76506247562801,
,,,,,,,,,,
3,35,IV,3,4.87361020329014,3.48774148663833,IV,3,4.87361020329014,3.48774148663833,
3,36,I,3,1.75915358489802,4.49692098613323,I,3,1.75915358489802,4.49692098613323,
3,37,I,4,2.00992577038301,4.74612450733169,I,4,2.00992577038301,4.74612450733169,
3,38,I,5,1.77156537128299,4.59287924258747,I,5,1.77156537128299,4.59287924258747,
3,39,I,6,2.6954272577358,4.563552321197,I,6,2.6954272577358,4.563552321197,
3,40,i,6,5.35165595003927,4.76238787288319,-VI,6,5.41175705243643,4.76238787288319,0.0601011023971596
3,41,i,6,1.3962080168629,3.93187992029719,i,6,6.33433583130022,4.34239038665181,
