Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,6,-VII,5,4.28000223916186,4.67316202799447,-VII,5,4.28000223916186,4.67316202799447,
1,7,i,5,4.07333121229939,3.61214104254999,i,5,4.07333121229939,3.61214104254999,
1,8,iv,4,3.51315425030701,4.66286378101381,iv,4,3.51315425030701,4.66286378101381,
1,9,-VII,4,1.88597251119272,4.54015485971381,-VII,4,1.88597251119272,4.54015485971381,
1,10,-VII,5,5.71686350734517,3.36408359317622,-VII,5,5.71686350734517,3.36408359317622,
1,11,i,3,3.89740637698631,5.17620908913062,-III,3,3.8922384948074,5.17620908913062,0.0051678821789154
1,12,i,4,2.58008696289057,4.6428628798732,i,4,4.6226003533807,4.28080353443308,
1,13,i,5,2.5861767251232,4.66404488475004,i,4,3.28142727467021,3.88173515287896,
1,14,iv,6,3.59369287696901,3.84538600476447,iv,4,4.53436791477234,4.60726650122178,
1,15,-VII,5,4.32482049481807,4.50084519732915,-VII,4,4.64825984554357,4.50269853382681,
1,16,i,5,4.07333121229939,3.61214104254999,i,4,3.71837817996871,4.21488713084634,
,,,,,,,,,,
2,15,-VII,5,4.32482049481807,4.50084519732915,-VII,5,4.32482049481807,4.50084519732915,
2,16,i,5,4.07333121229939,3.61214104254999,i,5,4.07333121229939,3.61214104254999,
2,17,iv,4,3.51315425030701,4.66286378101381,iv,4,3.51315425030701,4.66286378101381,
2,18,-VII,4,1.88597251119272,4.54015485971381,-VII,4,1.88597251119272,4.54015485971381,
2,19,-VII,5,5.71686350734517,3.36408359317622,-VII,5,5.71686350734517,3.36408359317622,
2,20,i,3,3.89740637698631,5.17620908913062,-III,3,3.8922384948074,5.17620908913062,0.0051678821789154
2,21,i,4,2.58008696289057,4.6428628798732,i,4,4.6226003533807,4.28080353443308,
2,22,iv,5,2.8327806350173,4.66404488475004,iv,4,3.9284759821185,3.88173515287896,
2,23,v,5,4.630907556677,3.21321826599418,v,4,3.98572946268174,4.90224370608226,
2,24,i,5,3.19645549556006,3.29810819505058,i,4,3.34617611447774,4.31247590639089,
2,25,-VI,5,2.56038234134246,4.09438654162736,-VI,4,3.32021194384512,4.43097493115915,
,,,,,,,,,,
3,32,-VI,3,3.41883542041848,4.8142013972976,-VI,3,3.41883542041848,4.8142013972976,
3,33,v,4,5.91092398589978,4.22938755230411,v,4,5.91092398589978,4.22938755230411,
3,34,I,3,4.83713437926846,4.87112940074004,I,3,4.83713437926846,4.87112940074004,
3,35,I,3,4.13784145930012,4.95589041935637,I,3,4.13784145930012,4.95589041935637,
3,36,i,3,5.27305477697567,5.36685930106403,i,3,5.27305477697567,5.36685930106403,
3,37,iv,4,4.6915402007824,4.5843055421267,I,4,4.69779241009474,4.5843055421267,0.00625220931233894
3,38,-VII,4,4.96570466529452,4.60852895522705,-VII,4,3.51310273909096,5.1772519268598,
3,39,i,3,3.24656150636429,4.81818960489216,i,4,6.21278944155657,3.65039112046685,
3,40,iv,4,3.51315425030701,4.66286378101381,iv,3,2.75331926450577,4.75584616519626,
3,41,-VII,4,1.88597251119272,4.54015485971381,-VII,4,3.72949513018419,4.53526721125356,
3,42,-VII,5,5.71686350734517,3.36408359317622,-VII,4,5.37033591994687,3.93099124429124,
,,,,,,,,,,
4,31,i,5,4.62855373363031,4.58964750811039,i,5,4.62855373363031,4.58964750811039,
4,32,-VI,3,3.41883542041848,4.8142013972976,-VI,3,3.41883542041848,4.8142013972976,
4,33,v,4,5.91092398589978,4.22938755230411,v,4,5.91092398589978,4.22938755230411,
4,34,I,3,4.83713437926846,4.87112940074004,I,3,4.83713437926846,4.87112940074004,
4,35,I,3,4.13784145930012,4.95589041935637,I,3,4.13784145930012,4.95589041935637,
4,36,i,3,5.27305477697567,5.36685930106403,-III,3,5.28646094025558,5.36685930106403,0.0134061632799103
4,37,iv,4,4.6915402007824,4.5843055421267,iv,4,5.24206847104454,4.84437106972668,
4,38,-VII,4,4.96570466529452,4.60852895522705,-VII,4,5.03368276193396,4.66647147808908,
4,39,i,3,3.24656150636429,4.81818960489216,i,3,3.13729994001902,4.72877061431716,
4,40,iv,4,3.51315425030701,4.66286378101381,iv,4,4.38282743268715,4.3082835487724,
4,41,-VII,4,1.88597251119272,4.54015485971381,-VII,4,1.88597251119272,4.54015485971381,
,,,,,,,,,,
5,71,-VII,3,3.74808534733265,5.13975751883955,-VII,3,3.74808534733265,5.13975751883955,
5,72,i,4,2.98338185238629,4.75658137623409,i,4,2.98338185238629,4.75658137623409,
5,73,i,5,2.06562397845846,4.50483319228333,i,5,2.06562397845846,4.50483319228333,
5,74,-VI,5,4.91424798854113,4.59290640713985,-VI,5,4.91424798854113,4.59290640713985,
5,75,-VII,4,3.05262014782648,4.54912809925061,-VII,4,3.05262014782648,4.54912809925061,
5,76,-III,5,3.80595888623578,4.33089118364922,-VI,5,3.83159769658353,4.33089118364922,0.0256388103477496
5,77,-VII,5,4.06369109956579,4.72246375822536,-VII,4,0.607885176715401,2.67133518039778,
5,78,i,4,2.98338185238629,4.75658137623409,i,6,2.681809461918,4.29309354050112,
5,79,i,5,2.06562397845846,4.50483319228333,i,7,1.41788039008419,3.55797971512266,
5,80,-VI,5,4.91424798854113,4.59290640713985,-VI,8,4.20884697004867,4.52500225111512,
5,81,-VII,4,3.05262014782648,4.54912809925061,-VII,6,1.0391886925973,3.10118512884333,
,,,,,,,,,,
6,77,-VII,5,4.06369109956579,4.72246375822536,-VII,5,4.06369109956579,4.72246375822536,
6,78,i,4,2.98338185238629,4.75658137623409,i,4,2.98338185238629,4.75658137623409,
6,79,i,5,2.06562397845846,4.50483319228333,i,5,2.06562397845846,4.50483319228333,
6,80,-VI,5,4.91424798854113,4.59290640713985,-VI,5,4.91424798854113,4.59290640713985,
6,81,-VII,4,3.05262014782648,4.54912809925061,-VII,4,3.05262014782648,4.54912809925061,
6,82,-III,5,3.80595888623578,4.33089118364922,-VI,5,3.83159769658353,4.33089118364922,0.0256388103477496
6,83,-VII,5,4.06369109956579,4.72246375822536,-VII,4,0.607885176715401,2.67133518039778,
6,84,i,4,2.98338185238629,4.75658137623409,i,6,2.681809461918,4.29309354050112,
6,85,i,5,2.06562397845846,4.50483319228333,i,7,1.41788039008419,3.55797971512266,
6,86,-VI,5,4.91424798854113,4.59290640713985,-VI,8,4.20884697004867,4.52500225111512,
6,87,v,4,4.75603925212739,4.54912809925061,v,6,5.79573538306491,3.10118512884333,
,,,,,,,,,,
7,63,i,5,4.62855373363031,4.58964750811039,i,5,4.62855373363031,4.58964750811039,
7,64,-VI,3,3.41883542041848,4.8142013972976,-VI,3,3.41883542041848,4.8142013972976,
7,65,v,4,5.91092398589978,4.22938755230411,v,4,5.91092398589978,4.22938755230411,
7,66,I,3,4.83713437926846,4.87112940074004,I,3,4.83713437926846,4.87112940074004,
7,67,I,3,4.13784145930012,4.95589041935637,I,3,4.13784145930012,4.95589041935637,
7,68,-VI,3,5.63246533888752,5.36685930106403,II,3,5.66054850776559,5.36685930106403,0.0280831688780694
7,69,-VII,3,3.82262611628053,5.12431011329831,-VII,3,5.88020633235588,4.78466515489696,
7,70,-III,4,5.3219466174554,4.13446611762947,-III,2,4.6298223639325,5.2583846359062,
7,71,-VII,3,3.74808534733265,5.13975751883955,-VII,3,4.53222440302251,4.90399175721069,
7,72,i,4,2.98338185238629,4.75658137623409,i,3,3.38887475970796,4.94658133423083,
7,73,i,5,2.06562397845846,4.50483319228333,i,4,3.35582339075965,4.86184580899495,
,,,,,,,,,,
8,32,-VI,3,3.41883542041848,4.8142013972976,-VI,3,3.41883542041848,4.8142013972976,
8,33,v,4,5.91092398589978,4.22938755230411,v,4,5.91092398589978,4.22938755230411,
8,34,I,3,4.83713437926846,4.87112940074004,I,3,4.83713437926846,4.87112940074004,
8,35,I,3,4.13784145930012,4.95589041935637,I,3,4.13784145930012,4.95589041935637,
8,36,i,3,5.27305477697567,5.36685930106403,i,3,5.27305477697567,5.36685930106403,
8,37,iv,4,4.6915402007824,4.5843055421267,-VI,4,4.7317900928865,4.5843055421267,0.0402498921040966
8,38,-VII,4,4.96570466529452,4.60852895522705,-VII,3,4.36096871189607,4.19626645683631,
8,39,i,3,3.24656150636429,4.81818960489216,i,3,3.3546139707147,4.84063922632663,
8,40,iv,4,3.51315425030701,4.66286378101381,iv,4,4.03168251432,4.61444369975141,
8,41,-VII,4,1.88597251119272,4.54015485971381,-VII,5,4.05026968035605,4.02986364657838,
8,42,-VII,5,5.71686350734517,3.36408359317622,-VII,4,5.37033591994687,3.93099124429124,
,,,,,,,,,,
9,33,v,4,5.91092398589978,4.22938755230411,v,4,5.91092398589978,4.22938755230411,
9,34,I,3,4.83713437926846,4.87112940074004,I,3,4.83713437926846,4.87112940074004,
9,35,I,3,4.13784145930012,4.95589041935637,I,3,4.13784145930012,4.95589041935637,
9,36,i,3,5.27305477697567,5.36685930106403,i,3,5.27305477697567,5.36685930106403,
9,37,iv,4,4.6915402007824,4.5843055421267,iv,4,4.6915402007824,4.5843055421267,
9,38,-VII,4,4.96570466529452,4.60852895522705,-III,4,5.0250523316969,4.60852895522705,0.0593476664023838
9,39,i,3,3.24656150636429,4.81818960489216,i,3,4.27026704867681,5.28015755200261,
9,40,iv,4,3.51315425030701,4.66286378101381,iv,4,5.18098908522541,4.71400456055105,
9,41,-VII,4,1.88597251119272,4.54015485971381,-VII,3,4.62182762200305,5.19027412163667,
9,42,-VII,5,5.71686350734517,3.36408359317622,-VII,3,4.72197454490651,4.81818960489216,
