Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,26,ii,9,1.77948100809408,4.27710037121857,ii,9,1.77948100809408,4.27710037121857,
1,27,ii,7,1.47102281440559,3.99536093043448,ii,7,1.47102281440559,3.99536093043448,
1,28,I,7,3.45503836810996,3.93302457531425,I,7,3.45503836810996,3.93302457531425,
1,29,I,6,1.26580294862207,3.99698297300955,I,6,1.26580294862207,3.99698297300955,
1,30,-VI,8,6.60195335689849,4.3709830969877,-VI,8,6.60195335689849,4.3709830969877,
1,31,-VI,3,3.65490080419993,5.12571156141642,-VII,3,3.65260780597159,5.12571156141642,0.00229299822834106
1,32,-VI,4,4.29772524856191,4.41257728910086,-VI,4,3.13965746015127,4.34362553739722,
1,33,-VI,4,2.29123889411376,4.77227942248631,-VI,5,4.5295492715141,4.02927808534683,
1,34,-VI,5,1.9090407376594,4.45763885311352,-VI,4,4.25258888411223,4.81143007820971,
1,35,-VI,6,2.65146251552386,4.26138413688853,-VI,4,2.29123889411376,4.77227942248631,
1,36,-III,6,4.21430325482373,4.44246254051534,-III,5,4.04599728550448,4.45763885311352,
,,,,,,,,,,
2,41,-VI,4,1.42269375489345,4.22396514697004,-VI,4,1.42269375489345,4.22396514697004,
2,42,I,5,4.4230581542299,4.35941047242011,I,5,4.4230581542299,4.35941047242011,
2,43,I,4,3.41074111712838,4.80153244275379,I,4,3.41074111712838,4.80153244275379,
2,44,I,4,3.80781728978551,5.26989160359084,I,4,3.80781728978551,5.26989160359084,
2,45,I,4,5.51958893235849,2.36385072106351,I,4,5.51958893235849,2.36385072106351,
2,46,ii,4,4.55780957774051,5.22842990504033,V,4,4.55374543483776,5.22842990504033,0.0040641429027497
2,47,ii,5,2.9268332097375,4.66879626451583,ii,5,4.46163250123669,4.81728152536592,
2,48,ii,6,2.49124579129777,4.31457478459422,ii,6,3.99268032415499,3.84676896343231,
2,49,ii,7,2.43929679128851,4.63894799569039,ii,4,4.52536130495416,2.60052182006182,
2,50,ii,8,2.89418969006814,4.73001444921465,ii,4,2.88040093264462,4.42448600176781,
2,51,ii,7,1.47102281440559,3.99536093043448,ii,5,2.02844859209123,4.59260258622767,
,,,,,,,,,,
3,27,ii,7,1.47102281440559,3.99536093043448,ii,7,1.47102281440559,3.99536093043448,
3,28,I,7,3.45503836810996,3.93302457531425,I,7,3.45503836810996,3.93302457531425,
3,29,I,6,1.26580294862207,3.99698297300955,I,6,1.26580294862207,3.99698297300955,
