Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,49,-III,6,5.89361272078509,4.05628205330508,-III,6,5.89361272078509,4.05628205330508,
1,50,-III,4,4.37375208421586,4.57716551571478,-III,4,4.37375208421586,4.57716551571478,
1,51,-VI,4,4.29799006838067,4.6790285291774,-VI,4,4.29799006838067,4.6790285291774,
1,52,iv,4,4.78175596863649,4.73910583757476,iv,4,4.78175596863649,4.73910583757476,
1,53,-VII,4,5.29624183206004,4.90538510685881,-VII,4,5.29624183206004,4.90538510685881,
1,54,-III,3,2.96162854977682,4.80441968524554,I,3,2.96171418490719,4.80441968524554,0.000085635130368189
1,55,-VI,4,4.14973531590998,4.952602522349,-VI,4,4.51574812276843,4.28095435501115,
1,56,iv,4,1.40184149063504,4.08644590129216,iv,4,4.66173448470391,4.61747676062892,
1,57,-VII,4,5.78067498727852,3.92218730633089,-VII,4,3.57257432635272,4.77104375346165,
1,58,I,3,2.96171418490719,4.80441968524554,I,4,3.71641133984763,3.56663046732139,
1,59,I,4,2.87677857614326,4.28095435501115,I,4,2.87677857614326,4.28095435501115,
,,,,,,,,,,
2,53,-VII,4,5.29624183206004,4.90538510685881,-VII,4,5.29624183206004,4.90538510685881,
2,54,-III,3,2.96162854977682,4.80441968524554,-III,3,2.96162854977682,4.80441968524554,
2,55,-VI,4,4.14973531590998,4.952602522349,-VI,4,4.14973531590998,4.952602522349,
2,56,iv,4,1.40184149063504,4.08644590129216,iv,4,1.40184149063504,4.08644590129216,
2,57,-VII,4,5.78067498727852,3.92218730633089,-VII,4,5.78067498727852,3.92218730633089,
2,58,I,3,2.96171418490719,4.80441968524554,-III,3,2.96162854977682,4.80441968524554,0.000085635130368189
2,59,I,4,2.87677857614326,4.28095435501115,I,4,2.49107833125967,4.952602522349,
2,60,IV,4,4.44081650422443,5.22353172784749,IV,3,4.93285151040251,4.76216601458613,
2,61,-III,4,5.44311755337381,4.94569387411639,-III,3,5.63189032145165,4.62891357224964,
2,62,I,4,3.49016725240503,4.57716551571478,I,3,4.11014598286631,5.03241929053006,
2,63,I,4,0.654058694383839,2.78178473114968,I,4,1.50811603164147,4.20050935811652,
,,,,,,,,,,
3,116,IV,4,5.22864881092914,4.90792883761237,IV,4,5.22864881092914,4.90792883761237,
3,117,V,3,3.30051999937434,4.99467224957682,V,3,3.30051999937434,4.99467224957682,
3,118,IV,4,3.30465564376033,4.95414318038344,IV,4,3.30465564376033,4.95414318038344,
3,119,V,5,2.23864488090004,4.3891747045051,V,5,2.23864488090004,4.3891747045051,
3,120,-VI,6,5.97522394215966,4.53301335505933,-VI,6,5.97522394215966,4.53301335505933,
3,121,v,4,5.822301933821,4.31457792672264,IV,4,5.80992045630137,4.31457792672264,0.0123814775196376
3,122,IV,3,4.35921844913667,4.57559913352925,IV,3,1.81352125148712,4.6645968858681,
3,123,I,3,4.59371162073657,5.09084033928136,I,4,3.74749872883355,4.64766522723978,
3,124,I,3,4.16978608504526,5.24179889062696,I,4,1.451957830535,4.26309100636321,
3,125,IV,4,4.66820637306611,5.22253635823925,IV,5,3.14250133177339,5.07602705317667,
3,126,-III,4,5.34209936918219,5.17262699801113,-III,6,5.905226251106,4.50152278972147,
,,,,,,,,,,
4,116,IV,4,5.22864881092914,4.90792883761237,IV,4,5.22864881092914,4.90792883761237,
4,117,V,3,3.30051999937434,4.99467224957682,V,3,3.30051999937434,4.99467224957682,
4,118,IV,4,3.30465564376033,4.95414318038344,IV,4,3.30465564376033,4.95414318038344,
4,119,V,5,2.23864488090004,4.3891747045051,V,5,2.23864488090004,4.3891747045051,
4,120,-VI,6,5.97522394215966,4.53301335505933,-VI,6,5.97522394215966,4.53301335505933,
4,121,v,4,5.822301933821,4.31457792672264,-II,4,5.80251113826597,4.31457792672264,0.0197907955550329
4,122,IV,3,4.35921844913667,4.57559913352925,IV,3,6.71798396687919,4.73048084840025,
4,123,I,3,4.59371162073657,5.09084033928136,I,1,4.98217899776754,5.45908398044032,
4,124,I,3,4.16978608504526,5.24179889062696,I,2,4.34378776250668,5.41482190905116,
4,125,IV,4,4.66820637306611,5.22253635823925,IV,3,4.49906366789017,5.36530506255513,
4,126,-III,4,5.34209936918219,5.17262699801113,-III,4,5.34209936918219,5.17262699801113,
,,,,,,,,,,
5,4,IV,3,3.99727426306833,4.75856661576346,IV,3,3.99727426306833,4.75856661576346,
5,5,-III,4,4.9649437121763,4.60537982433193,-III,4,4.9649437121763,4.60537982433193,
5,6,I,5,3.77560145920959,4.07466017872601,I,5,3.77560145920959,4.07466017872601,
5,7,I,4,0.654058694383839,2.78178473114968,I,4,0.654058694383839,2.78178473114968,
5,8,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
5,9,-III,6,5.89361272078509,4.05628205330508,II,6,5.85595516409942,4.05628205330508,0.0376575566856765
5,10,I,4,3.49016725240503,4.57716551571478,I,4,3.36211026751451,4.9197776490917,
5,11,I,4,0.654058694383839,2.78178473114968,I,5,2.559186057534,4.59165593470494,
5,12,IV,6,3.03432585733568,5.02760838148032,IV,5,5.80635841759569,3.29717238802293,
5,13,-III,6,5.89361272078509,4.05628205330508,-III,4,5.34381686798193,4.97922598805257,
5,14,I,4,3.49016725240503,4.57716551571478,I,4,3.49016725240503,4.57716551571478,
,,,,,,,,,,
6,40,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
6,41,-III,6,5.89361272078509,4.05628205330508,-III,6,5.89361272078509,4.05628205330508,
6,42,I,4,3.49016725240503,4.57716551571478,I,4,3.49016725240503,4.57716551571478,
6,43,I,4,0.654058694383839,2.78178473114968,I,4,0.654058694383839,2.78178473114968,
6,44,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
6,45,-III,6,5.89361272078509,4.05628205330508,II,6,5.85595516409942,4.05628205330508,0.0376575566856765
6,46,I,4,3.49016725240503,4.57716551571478,I,4,3.36211026751451,4.9197776490917,
6,47,I,4,0.654058694383839,2.78178473114968,I,5,2.559186057534,4.59165593470494,
6,48,IV,6,3.03432585733568,5.02760838148032,IV,5,5.80635841759569,3.29717238802293,
6,49,-III,6,5.89361272078509,4.05628205330508,-III,4,5.34381686798193,4.97922598805257,
6,50,-III,4,4.37375208421586,4.57716551571478,-III,4,4.37375208421586,4.57716551571478,
,,,,,,,,,,
7,44,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
7,45,-III,6,5.89361272078509,4.05628205330508,-III,6,5.89361272078509,4.05628205330508,
7,46,I,4,3.49016725240503,4.57716551571478,I,4,3.49016725240503,4.57716551571478,
7,47,I,4,0.654058694383839,2.78178473114968,I,4,0.654058694383839,2.78178473114968,
7,48,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
7,49,-III,6,5.89361272078509,4.05628205330508,II,6,5.85595516409942,4.05628205330508,0.0376575566856765
7,50,-III,4,4.37375208421586,4.57716551571478,-III,4,6.17441366387694,4.9197776490917,
7,51,-VI,4,4.29799006838067,4.6790285291774,-VI,2,5.42524382937625,5.27044533760906,
7,52,iv,4,4.78175596863649,4.73910583757476,iv,2,4.64390129298122,5.35245712802485,
7,53,-VII,4,5.29624183206004,4.90538510685881,-VII,3,5.05586571309691,5.24621180306351,
7,54,-III,3,2.96162854977682,4.80441968524554,-III,3,2.96162854977682,4.80441968524554,
,,,,,,,,,,
8,56,iv,4,1.40184149063504,4.08644590129216,iv,4,1.40184149063504,4.08644590129216,
8,57,-VII,4,5.78067498727852,3.92218730633089,-VII,4,5.78067498727852,3.92218730633089,
8,58,I,3,2.96171418490719,4.80441968524554,I,3,2.96171418490719,4.80441968524554,
8,59,I,4,2.87677857614326,4.28095435501115,I,4,2.87677857614326,4.28095435501115,
8,60,IV,4,4.44081650422443,5.22353172784749,IV,4,4.44081650422443,5.22353172784749,
8,61,-III,4,5.44311755337381,4.94569387411639,II,4,5.40545999668813,4.94569387411639,0.0376575566856765
8,62,I,4,3.49016725240503,4.57716551571478,I,4,3.36211026751451,4.9197776490917,
8,63,I,4,0.654058694383839,2.78178473114968,I,5,2.559186057534,4.59165593470494,
8,64,IV,6,3.03432585733568,5.02760838148032,IV,5,5.80635841759569,3.29717238802293,
8,65,-III,6,5.89361272078509,4.05628205330508,-III,4,5.34381686798193,4.97922598805257,
8,66,I,4,3.49016725240503,4.57716551571478,I,4,3.49016725240503,4.57716551571478,
,,,,,,,,,,
9,104,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
9,105,-III,6,5.89361272078509,4.05628205330508,-III,6,5.89361272078509,4.05628205330508,
9,106,I,4,3.49016725240503,4.57716551571478,I,4,3.49016725240503,4.57716551571478,
9,107,I,4,0.654058694383839,2.78178473114968,I,4,0.654058694383839,2.78178473114968,
9,108,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
9,109,-III,6,5.89361272078509,4.05628205330508,II,6,5.85595516409942,4.05628205330508,0.0376575566856765
9,110,I,4,3.49016725240503,4.57716551571478,I,4,3.36211026751451,4.9197776490917,
9,111,I,4,0.654058694383839,2.78178473114968,I,5,2.559186057534,4.59165593470494,
9,112,IV,6,3.03432585733568,5.02760838148032,IV,5,5.80635841759569,3.29717238802293,
9,113,-III,6,5.89361272078509,4.05628205330508,-III,4,5.34381686798193,4.97922598805257,
9,114,IV,4,3.13589998508233,4.57716551571478,IV,4,3.13589998508233,4.57716551571478,
,,,,,,,,,,
10,108,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
10,109,-III,6,5.89361272078509,4.05628205330508,-III,6,5.89361272078509,4.05628205330508,
10,110,I,4,3.49016725240503,4.57716551571478,I,4,3.49016725240503,4.57716551571478,
10,111,I,4,0.654058694383839,2.78178473114968,I,4,0.654058694383839,2.78178473114968,
10,112,IV,6,3.03432585733568,5.02760838148032,IV,6,3.03432585733568,5.02760838148032,
10,113,-III,6,5.89361272078509,4.05628205330508,II,6,5.85595516409942,4.05628205330508,0.0376575566856765
10,114,IV,4,3.13589998508233,4.57716551571478,IV,4,4.01760538714547,4.9197776490917,
10,115,V,5,3.77117754949653,3.52712559966539,V,4,4.92212267897117,4.41377767475911,
10,116,IV,4,5.22864881092914,4.90792883761237,IV,3,4.29730705918147,5.19228095405863,
10,117,V,3,3.30051999937434,4.99467224957682,V,4,3.59828540718399,4.55196410650361,
10,118,IV,4,3.30465564376033,4.95414318038344,IV,4,3.30465564376033,4.95414318038344,
,,,,,,,,,,
11,121,v,4,5.822301933821,4.31457792672264,v,4,5.822301933821,4.31457792672264,
11,122,IV,3,4.35921844913667,4.57559913352925,IV,3,4.35921844913667,4.57559913352925,
11,123,I,3,4.59371162073657,5.09084033928136,I,3,4.59371162073657,5.09084033928136,
11,124,I,3,4.16978608504526,5.24179889062696,I,3,4.16978608504526,5.24179889062696,
