Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,15,I,5,1.78675747165695,4.45903534484107,I,5,1.78675747165695,4.45903534484107,
1,16,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
1,17,v,4,5.56440416069808,5.13175185749118,v,4,5.56440416069808,5.13175185749118,
1,18,IV,4,2.46025559397923,3.94216108603233,IV,4,2.46025559397923,3.94216108603233,
1,19,vi,5,6.41729431939883,4.45903534484107,vi,5,6.41729431939883,4.45903534484107,
1,20,vi,2,4.1511420764056,5.28456062309388,IV,2,4.15372448760831,5.28456062309388,0.00258241120270863
1,21,-VI,3,6.17856956873214,5.21346118051438,-VI,3,5.75821980841125,5.11496277455665,
1,22,-VI,2,5.36169328893398,5.03660806507022,-VI,3,5.19579626293687,4.58184965504637,
1,23,vi,2,5.70436569695031,5.19193459244756,vi,3,3.93337321082666,4.97018395773023,
1,24,vi,3,1.56755568170115,4.11357088867935,vi,3,1.56755568170115,4.11357088867935,
1,25,-VI,3,6.20901403974392,5.02835857714815,-VI,3,6.20901403974392,5.02835857714815,
,,,,,,,,,,
2,96,I,10,1.4107497648498,3.80642923530405,I,10,1.4107497648498,3.80642923530405,
2,97,V,10,2.77238883495228,4.46494945182655,V,10,2.77238883495228,4.46494945182655,
2,98,IV,9,0.846867526544839,2.87868524179611,IV,9,0.846867526544839,2.87868524179611,
2,99,I,10,1.83204076615366,4.12366920339521,I,10,1.83204076615366,4.12366920339521,
2,100,I,10,1.4107497648498,3.80642923530405,I,10,1.4107497648498,3.80642923530405,
2,101,v,10,6.30973548792527,4.46494945182655,VI,10,6.30501008065975,4.46494945182655,0.00472540726551518
2,102,IV,4,2.46025559397923,3.94216108603233,IV,4,4.35174486241353,4.00086714189239,
2,103,I,5,1.78675747165695,4.45903534484107,I,4,5.55340459050382,4.44583355588458,
2,104,I,5,5.68562886771198,2.83826641910744,I,3,4.57413118699273,5.09675359231171,
2,105,v,4,5.56440416069808,5.13175185749118,v,3,5.38668564667516,5.36543954351319,
2,106,IV,4,2.46025559397923,3.94216108603233,IV,4,2.46025559397923,3.94216108603233,
,,,,,,,,,,
3,4,I,3,3.38222511119641,5.28483735607895,I,3,3.38222511119641,5.28483735607895,
3,5,v,4,5.93558346005342,4.93202846720246,v,4,5.93558346005342,4.93202846720246,
3,6,IV,4,1.68239559723749,3.7723721197001,IV,4,1.68239559723749,3.7723721197001,
3,7,I,5,2.41059487325261,4.64142365617425,I,5,2.41059487325261,4.64142365617425,
3,8,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
3,9,v,4,5.56440416069808,5.13175185749118,VI,4,5.55967875343257,5.13175185749118,0.00472540726551607
3,10,IV,4,2.46025559397923,3.94216108603233,IV,4,4.35174486241353,4.00086714189239,
3,11,I,5,1.78675747165695,4.45903534484107,I,4,5.55340459050382,4.44583355588458,
3,12,I,5,5.68562886771198,2.83826641910744,I,3,4.57413118699273,5.09675359231171,
3,13,v,4,5.56440416069808,5.13175185749118,v,3,5.38668564667516,5.36543954351319,
3,14,IV,4,2.46025559397923,3.94216108603233,IV,4,2.46025559397923,3.94216108603233,
,,,,,,,,,,
4,12,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
4,13,v,4,5.56440416069808,5.13175185749118,v,4,5.56440416069808,5.13175185749118,
4,14,IV,4,2.46025559397923,3.94216108603233,IV,4,2.46025559397923,3.94216108603233,
4,15,I,5,1.78675747165695,4.45903534484107,I,5,1.78675747165695,4.45903534484107,
4,16,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
4,17,v,4,5.56440416069808,5.13175185749118,VI,4,5.55967875343257,5.13175185749118,0.00472540726551607
4,18,IV,4,2.46025559397923,3.94216108603233,IV,4,4.35174486241353,4.00086714189239,
4,19,vi,5,6.41729431939883,4.45903534484107,vi,4,5.80933059588818,4.44583355588458,
4,20,vi,2,4.1511420764056,5.28456062309388,vi,3,4.46923054360124,4.76731925664341,
4,21,-VI,3,6.17856956873214,5.21346118051438,-VI,3,6.17856956873214,5.21346118051438,
4,22,-VI,2,5.36169328893398,5.03660806507022,-VI,2,5.36169328893398,5.03660806507022,
,,,,,,,,,,
5,76,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
5,77,v,4,5.56440416069808,5.13175185749118,v,4,5.56440416069808,5.13175185749118,
5,78,IV,4,2.46025559397923,3.94216108603233,IV,4,2.46025559397923,3.94216108603233,
5,79,I,5,1.78675747165695,4.45903534484107,I,5,1.78675747165695,4.45903534484107,
5,80,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
5,81,v,4,5.56440416069808,5.13175185749118,VI,4,5.55967875343257,5.13175185749118,0.00472540726551607
5,82,IV,4,2.46025559397923,3.94216108603233,IV,4,4.35174486241353,4.00086714189239,
5,83,I,5,1.78675747165695,4.45903534484107,I,4,5.55340459050382,4.44583355588458,
5,84,I,5,5.68562886771198,2.83826641910744,I,3,4.57413118699273,5.09675359231171,
5,85,V,4,4.78304913684595,5.13175185749118,V,3,4.60533062282302,5.36543954351319,
5,86,IV,4,3.73428177158187,4.95344240919068,IV,4,3.73428177158187,4.95344240919068,
,,,,,,,,,,
6,108,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
6,109,v,4,5.56440416069808,5.13175185749118,v,4,5.56440416069808,5.13175185749118,
6,110,IV,4,2.46025559397923,3.94216108603233,IV,4,2.46025559397923,3.94216108603233,
6,111,I,5,1.78675747165695,4.45903534484107,I,5,1.78675747165695,4.45903534484107,
6,112,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
6,113,v,4,5.56440416069808,5.13175185749118,VI,4,5.55967875343257,5.13175185749118,0.00472540726551607
6,114,IV,4,2.46025559397923,3.94216108603233,IV,4,4.35174486241353,4.00086714189239,
6,115,r,5,3.858125280292,4.45903534484107,r,4,3.67057049496383,4.44583355588458,
6,116,r,2,1.8789780121879,3.71711259307342,r,2,1.8789780121879,3.71711259307342,
,,,,,,,,,,
7,4,I,3,3.38222511119641,5.28483735607895,I,3,3.38222511119641,5.28483735607895,
7,5,v,4,5.93558346005342,4.93202846720246,v,4,5.93558346005342,4.93202846720246,
7,6,IV,4,1.68239559723749,3.7723721197001,IV,4,1.68239559723749,3.7723721197001,
7,7,I,5,2.41059487325261,4.64142365617425,I,5,2.41059487325261,4.64142365617425,
7,8,I,5,5.68562886771198,2.83826641910744,I,5,5.68562886771198,2.83826641910744,
7,9,v,4,5.56440416069808,5.13175185749118,-III,4,5.5869153106092,5.13175185749118,0.0225111499111144
7,10,IV,4,2.46025559397923,3.94216108603233,IV,4,3.43821514307844,5.04823127892284,
