Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,122,iv,5,4.00802063418601,4.25996405476659,iv,5,4.00802063418601,4.25996405476659,
1,123,-III,5,6.22584532240211,4.45817827857134,-III,5,6.22584532240211,4.45817827857134,
1,124,-VII,2,4.4886088297065,5.37148968397187,-VII,2,4.4886088297065,5.37148968397187,
1,125,-VII,3,4.61706358527403,4.74971826929582,-VII,3,4.61706358527403,4.74971826929582,
1,126,iv,3,4.48449771504262,5.10387263862276,iv,3,4.48449771504262,5.10387263862276,
1,127,-III,4,4.24741679995754,4.63261366843135,-VI,4,4.24741679995754,4.63261366843135,0
1,128,-VII,4,5.05060801643946,4.54185506003589,-VII,3,0.229743947050685,1.3802454185684,
1,129,-VII,3,4.61706358527403,4.74971826929582,-VII,5,3.77964873030505,3.95498255730706,
1,130,iv,3,4.48449771504262,5.10387263862276,iv,5,3.34853341881615,4.69799891764291,
1,131,-III,4,4.24741679995754,4.63261366843135,-III,4,5.18006887814853,3.05239640026972,
1,132,-VII,4,5.05060801643946,4.54185506003589,-VII,4,5.05060801643946,4.54185506003589,
,,,,,,,,,,
2,130,iv,3,4.48449771504262,5.10387263862276,iv,3,4.48449771504262,5.10387263862276,
2,131,-III,4,4.24741679995754,4.63261366843135,-III,4,4.24741679995754,4.63261366843135,
2,132,-VII,4,5.05060801643946,4.54185506003589,-VII,4,5.05060801643946,4.54185506003589,
2,133,-VII,3,4.61706358527403,4.74971826929582,-VII,3,4.61706358527403,4.74971826929582,
2,134,iv,3,4.48449771504262,5.10387263862276,iv,3,4.48449771504262,5.10387263862276,
2,135,-III,4,4.24741679995754,4.63261366843135,-VI,4,4.24741679995754,4.63261366843135,0
2,136,-VII,4,5.05060801643946,4.54185506003589,-VII,3,0.229743947050685,1.3802454185684,
2,137,-VII,3,4.61706358527403,4.74971826929582,-VII,5,3.77964873030505,3.95498255730706,
2,138,i,3,4.25788004484532,5.10387263862276,i,5,2.88315443632902,4.69799891764291,
2,139,i,4,3.00382671789806,4.76434814345849,i,5,1.69030729714702,4.13890996588938,
2,140,IV,5,4.51882612369958,4.70907153670235,IV,6,4.84703531272581,4.11507142156037,
,,,,,,,,,,
3,44,IV,4,3.17356728271591,5.04644114186938,IV,4,3.17356728271591,5.04644114186938,
3,45,IV,5,1.28556205687892,3.71086971613127,IV,5,1.28556205687892,3.71086971613127,
3,46,vi,6,2.73191099610668,4.36780389218432,vi,6,2.73191099610668,4.36780389218432,
3,47,vi,4,0.659677135326798,2.73739196507909,vi,4,0.659677135326798,2.73739196507909,
3,48,IV,8,2.11007718133068,4.47458770106622,IV,8,2.11007718133068,4.47458770106622,
3,49,i,6,7.32778109434475,2.96178974562561,v,6,7.3324451039459,2.96178974562561,0.00466400960115188
3,50,i,2,3.80143228467229,5.36233906030814,i,3,4.5421041591349,4.43741729450489,
3,51,i,3,2.83933299490596,5.01740269836415,i,3,3.33246436209667,5.09101061776644,
3,52,IV,4,3.75225886821431,4.60531573569178,IV,4,4.47855285861487,4.52573181429532,
3,53,IV,5,3.86929005535924,4.71158953619219,IV,4,3.97139298452039,4.79509027959594,
3,54,i,5,2.46696552426636,4.46152661934214,i,4,2.70515152960314,4.74584953437669,
,,,,,,,,,,
4,37,IV,5,1.93670353219143,4.4253101592032,IV,5,1.93670353219143,4.4253101592032,
4,38,i,5,1.69320763286163,4.25996405476659,i,5,1.69320763286163,4.25996405476659,
4,39,i,5,0.341824023051241,1.75669483952127,i,5,0.341824023051241,1.75669483952127,
4,40,IV,7,3.2581826092959,3.72220247042359,IV,7,3.2581826092959,3.72220247042359,
4,41,IV,5,1.93670353219143,4.4253101592032,IV,5,1.93670353219143,4.4253101592032,
4,42,vi,5,5.90594430445379,4.25996405476659,iii,5,5.91455629219944,4.25996405476659,0.00861198774565075
4,43,vi,3,2.00825764675551,4.472294870068,vi,3,3.81392099985958,5.04028709811159,
4,44,IV,4,3.17356728271591,5.04644114186938,IV,4,2.53004260042518,4.59172939341159,
4,45,IV,5,1.28556205687892,3.71086971613127,IV,5,1.56371998374529,3.83849833637256,
4,46,vi,6,2.73191099610668,4.36780389218432,vi,4,5.36823604421582,4.34891961701573,
4,47,vi,4,0.659677135326798,2.73739196507909,vi,4,1.30569233757834,3.87653190994783,
,,,,,,,,,,
5,120,IV,7,3.2581826092959,3.72220247042359,IV,7,3.2581826092959,3.72220247042359,
5,121,IV,5,1.93670353219143,4.4253101592032,IV,5,1.93670353219143,4.4253101592032,
5,122,iv,5,4.00802063418601,4.25996405476659,iv,5,4.00802063418601,4.25996405476659,
5,123,-III,5,6.22584532240211,4.45817827857134,-III,5,6.22584532240211,4.45817827857134,
5,124,-VII,2,4.4886088297065,5.37148968397187,-VII,2,4.4886088297065,5.37148968397187,
5,125,-VII,3,4.61706358527403,4.74971826929582,IV,3,4.64256969429831,4.74971826929582,0.0255061090242759
5,126,iv,3,4.48449771504262,5.10387263862276,iv,3,5.46219925379846,5.01949039804628,
5,127,-III,4,4.24741679995754,4.63261366843135,-III,3,5.90112970412884,4.65726064171351,
5,128,-VII,4,5.05060801643946,4.54185506003589,-VII,2,4.4886088297065,5.37148968397187,
5,129,-VII,3,4.61706358527403,4.74971826929582,-VII,3,4.61706358527403,4.74971826929582,
5,130,iv,3,4.48449771504262,5.10387263862276,iv,3,4.48449771504262,5.10387263862276,
,,,,,,,,,,
6,124,-VII,2,4.4886088297065,5.37148968397187,-VII,2,4.4886088297065,5.37148968397187,
6,125,-VII,3,4.61706358527403,4.74971826929582,-VII,3,4.61706358527403,4.74971826929582,
6,126,iv,3,4.48449771504262,5.10387263862276,iv,3,4.48449771504262,5.10387263862276,
6,127,-III,4,4.24741679995754,4.63261366843135,-III,4,4.24741679995754,4.63261366843135,
6,128,-VII,4,5.05060801643946,4.54185506003589,-VII,4,5.05060801643946,4.54185506003589,
6,129,-VII,3,4.61706358527403,4.74971826929582,IV,3,4.64256969429831,4.74971826929582,0.0255061090242759
6,130,iv,3,4.48449771504262,5.10387263862276,iv,3,5.46219925379846,5.01949039804628,
