Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,22,V,3,2.23327777453401,4.74550527928736,V,3,2.23327777453401,4.74550527928736,
1,23,v,4,7.20118959987561,3.55538393952124,v,4,7.20118959987561,3.55538393952124,
1,24,I,2,3.22994510526757,5.15673517520348,I,2,3.22994510526757,5.15673517520348,
1,25,v,3,4.24295546203928,5.08440116272744,v,3,4.24295546203928,5.08440116272744,
1,26,I,4,1.55601965149858,4.2727725019177,I,4,1.55601965149858,4.2727725019177,
1,27,-iio,5,7.6322507882883,4.31872871169223,III+,5,7.6322507882883,4.31872871169223,0
1,28,I,2,1.59123854051622,4.42280013920355,I,1,6.51105976559577,3.84591513173924,
1,29,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
1,30,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
1,31,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
1,32,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
2,82,I,4,0.778698615182763,3.09615551917975,I,4,0.778698615182763,3.09615551917975,
2,83,v,6,2.43432335334861,4.08387555776038,v,6,2.43432335334861,4.08387555776038,
2,84,I,6,1.46873864540885,3.97647397929936,I,6,1.46873864540885,3.97647397929936,
2,85,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
2,86,I,7,2.95435086482524,3.82106652921648,I,7,2.95435086482524,3.82106652921648,
2,87,-iio,6,8.07454882026621,3.6449364100339,III+,6,8.07454882026621,3.6449364100339,0
2,88,I,2,1.59123854051622,4.42280013920355,I,1,6.51105976559577,3.84591513173924,
2,89,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
2,90,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
2,91,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
2,92,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
3,22,V,3,2.23327777453401,4.74550527928736,V,3,2.23327777453401,4.74550527928736,
3,23,v,4,7.20118959987561,3.55538393952124,v,4,7.20118959987561,3.55538393952124,
3,24,I,2,3.22994510526757,5.15673517520348,I,2,3.22994510526757,5.15673517520348,
3,25,v,3,4.24295546203928,5.08440116272744,v,3,4.24295546203928,5.08440116272744,
3,26,I,4,1.55601965149858,4.2727725019177,I,4,1.55601965149858,4.2727725019177,
3,27,-iio,5,7.6322507882883,4.31872871169223,#iv,5,7.62754570449012,4.31872871169223,0.00470508379818657
3,28,I,2,1.59123854051622,4.42280013920355,I,1,6.10625937494331,5.10346643188609,
3,29,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
3,30,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
3,31,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
3,32,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
4,82,I,4,0.778698615182763,3.09615551917975,I,4,0.778698615182763,3.09615551917975,
4,83,v,6,2.43432335334861,4.08387555776038,v,6,2.43432335334861,4.08387555776038,
4,84,I,6,1.46873864540885,3.97647397929936,I,6,1.46873864540885,3.97647397929936,
4,85,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
4,86,I,7,2.95435086482524,3.82106652921648,I,7,2.95435086482524,3.82106652921648,
4,87,-iio,6,8.07454882026621,3.6449364100339,#iv,6,8.06984373646802,3.6449364100339,0.00470508379818746
4,88,I,2,1.59123854051622,4.42280013920355,I,1,6.10625937494331,5.10346643188609,
4,89,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
4,90,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
4,91,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
4,92,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
5,10,v,5,4.0064749366895,3.81530373161467,v,5,4.0064749366895,3.81530373161467,
5,11,I,4,0.778698615182763,3.09615551917975,I,4,0.778698615182763,3.09615551917975,
5,12,v,6,2.43432335334861,4.08387555776038,v,6,2.43432335334861,4.08387555776038,
5,13,v,6,4.32242357438251,3.97647397929936,v,6,4.32242357438251,3.97647397929936,
5,14,I,4,3.68996113002276,4.51755098379847,I,4,3.68996113002276,4.51755098379847,
5,15,v,4,3.38193832805905,4.8280176019814,-VII,4,3.39134791445092,4.8280176019814,0.00940958639187084
5,16,ii,4,6.40772385518111,3.09615551917975,ii,5,6.37306397523382,3.73432627358632,
5,17,V,3,3.79297373850803,4.66032752221571,V,3,4.41751480350696,5.12796418159292,
5,18,vi,3,5.50144339252531,4.42469693063141,vi,3,5.30760706045767,4.71709827613,
5,19,ii,3,3.61554981739459,5.10471660862921,ii,3,3.61554981739459,5.10471660862921,
5,20,-VII,4,5.97645908707266,4.57991337603526,-VII,4,5.97645908707266,4.57991337603526,
,,,,,,,,,,
6,76,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
6,77,I,7,2.95435086482524,3.82106652921648,I,7,2.95435086482524,3.82106652921648,
6,78,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
6,79,v,7,4.61022455551284,3.82106652921648,v,7,4.61022455551284,3.82106652921648,
6,80,I,4,3.68996113002276,4.51755098379847,I,4,3.68996113002276,4.51755098379847,
6,81,v,4,3.38193832805905,4.8280176019814,-VII,4,3.39134791445092,4.8280176019814,0.00940958639187084
6,82,I,4,0.778698615182763,3.09615551917975,I,5,1.31987475079006,3.73432627358632,
6,83,v,6,2.43432335334861,4.08387555776038,v,5,3.92930672120032,4.02903106507954,
6,84,I,6,1.46873864540885,3.97647397929936,I,5,1.45144110890803,3.73450149024946,
6,85,v,6,1.16356858516898,3.6449364100339,v,5,3.22825868134108,4.30081757200998,
6,86,I,7,2.95435086482524,3.82106652921648,I,5,1.47422073818956,4.15566295219877,
,,,,,,,,,,
7,16,ii,4,6.40772385518111,3.09615551917975,ii,4,6.40772385518111,3.09615551917975,
7,17,V,3,3.79297373850803,4.66032752221571,V,3,3.79297373850803,4.66032752221571,
7,18,vi,3,5.50144339252531,4.42469693063141,vi,3,5.50144339252531,4.42469693063141,
7,19,ii,3,3.61554981739459,5.10471660862921,ii,3,3.61554981739459,5.10471660862921,
7,20,-VII,4,5.97645908707266,4.57991337603526,-VII,4,5.97645908707266,4.57991337603526,
7,21,vi,3,4.51942320437711,4.79388529964399,I,3,4.5306139767381,4.79388529964399,0.0111907723609841
7,22,V,3,2.23327777453401,4.74550527928736,V,3,4.9784533512145,5.04967868813462,
7,23,v,4,7.20118959987561,3.55538393952124,v,3,6.06676235164246,5.17439323754425,
7,24,I,2,3.22994510526757,5.15673517520348,I,3,3.61728666471514,4.50954185079856,
7,25,v,3,4.24295546203928,5.08440116272744,v,3,4.24295546203928,5.08440116272744,
7,26,I,4,1.55601965149858,4.2727725019177,I,4,1.55601965149858,4.2727725019177,
,,,,,,,,,,
8,44,ii,4,5.54617493523904,4.58808346384391,ii,4,5.54617493523904,4.58808346384391,
8,45,V,3,3.65327790844034,5.18111159094211,V,3,3.65327790844034,5.18111159094211,
8,46,vi,4,5.00832161633079,4.68501773987391,vi,4,5.00832161633079,4.68501773987391,
8,47,ii,4,3.34174973379158,4.85028345227384,ii,4,3.34174973379158,4.85028345227384,
8,48,-VII,5,6.23841035852961,4.16048625679645,-VII,5,6.23841035852961,4.16048625679645,
8,49,vi,3,4.51942320437711,4.79388529964399,I,3,4.5306139767381,4.79388529964399,0.0111907723609841
8,50,V,3,2.23327777453401,4.74550527928736,V,3,4.9784533512145,5.04967868813462,
8,51,ii,4,6.11183543213806,3.55538393952124,ii,3,5.05144137963721,5.17439323754425,
8,52,V,3,3.06145188437683,4.95393891399602,V,3,3.21882167209083,4.9576598116482,
8,53,vi,4,5.13039850133141,4.66850458308687,vi,4,5.18099619950892,4.66716839078085,
8,54,ii,4,2.73622843855634,4.81484278113077,ii,4,2.73622843855634,4.81484278113077,
,,,,,,,,,,
9,32,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
9,33,v,5,1.50118446453327,4.03660418591852,v,5,1.50118446453327,4.03660418591852,
9,34,I,6,2.61669596287984,4.26430300269225,I,6,2.61669596287984,4.26430300269225,
9,35,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
9,36,ii,7,6.37792844789989,3.82106652921648,ii,7,6.37792844789989,3.82106652921648,
9,37,-II,3,6.61990606307467,4.66032752221571,iio,3,6.63511488029737,4.66032752221571,0.0152088172226987
9,38,I,2,2.44801756356929,5.00207118480482,I,2,2.85602234814467,5.14577070393796,
9,39,I,3,2.99106725818027,5.14171082509327,I,3,1.19668888996257,4.02359810555224,
9,40,ii,4,5.60650276911683,4.73496028029042,ii,4,3.31214106704444,4.98055889866646,
9,41,V,3,3.41358134965122,5.1667263229452,V,5,3.96318166942055,4.51633761118885,
9,42,-VII,4,6.12186955755515,4.81243928666559,-VII,4,6.12186955755515,4.81243928666559,
,,,,,,,,,,
10,82,I,4,0.778698615182763,3.09615551917975,I,4,0.778698615182763,3.09615551917975,
10,83,v,6,2.43432335334861,4.08387555776038,v,6,2.43432335334861,4.08387555776038,
10,84,I,6,1.46873864540885,3.97647397929936,I,6,1.46873864540885,3.97647397929936,
10,85,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
10,86,I,7,2.95435086482524,3.82106652921648,I,7,2.95435086482524,3.82106652921648,
10,87,-iio,6,8.07454882026621,3.6449364100339,-viio,6,8.09292734958107,3.6449364100339,0.0183785293148535
10,88,I,2,1.59123854051622,4.42280013920355,I,1,4.06433058657555,5.33034869865022,
10,89,v,2,6.28160129256417,4.51673050109517,v,2,5.93743043854524,5.20311272550754,
10,90,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
10,91,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
10,92,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
11,82,I,4,0.778698615182763,3.09615551917975,I,4,0.778698615182763,3.09615551917975,
11,83,v,6,2.43432335334861,4.08387555776038,v,6,2.43432335334861,4.08387555776038,
11,84,I,6,1.46873864540885,3.97647397929936,I,6,1.46873864540885,3.97647397929936,
11,85,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
11,86,I,7,2.95435086482524,3.82106652921648,I,7,2.95435086482524,3.82106652921648,
11,87,-iio,6,8.07454882026621,3.6449364100339,-vio,6,8.09292734958107,3.6449364100339,0.0183785293148535
11,88,I,2,1.59123854051622,4.42280013920355,I,1,6.03092305676417,5.18546581200662,
11,89,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
11,90,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
11,91,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
11,92,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
12,22,V,3,2.23327777453401,4.74550527928736,V,3,2.23327777453401,4.74550527928736,
12,23,v,4,7.20118959987561,3.55538393952124,v,4,7.20118959987561,3.55538393952124,
12,24,I,2,3.22994510526757,5.15673517520348,I,2,3.22994510526757,5.15673517520348,
12,25,v,3,4.24295546203928,5.08440116272744,v,3,4.24295546203928,5.08440116272744,
12,26,I,4,1.55601965149858,4.2727725019177,I,4,1.55601965149858,4.2727725019177,
12,27,-iio,5,7.6322507882883,4.31872871169223,-viio,5,7.65062931760316,4.31872871169223,0.0183785293148544
12,28,I,2,1.59123854051622,4.42280013920355,I,1,4.06433058657555,5.33034869865022,
12,29,v,2,6.28160129256417,4.51673050109517,v,2,5.93743043854524,5.20311272550754,
12,30,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
12,31,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
12,32,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
13,22,V,3,2.23327777453401,4.74550527928736,V,3,2.23327777453401,4.74550527928736,
13,23,v,4,7.20118959987561,3.55538393952124,v,4,7.20118959987561,3.55538393952124,
13,24,I,2,3.22994510526757,5.15673517520348,I,2,3.22994510526757,5.15673517520348,
13,25,v,3,4.24295546203928,5.08440116272744,v,3,4.24295546203928,5.08440116272744,
13,26,I,4,1.55601965149858,4.2727725019177,I,4,1.55601965149858,4.2727725019177,
13,27,-iio,5,7.6322507882883,4.31872871169223,-vio,5,7.65062931760316,4.31872871169223,0.0183785293148544
13,28,I,2,1.59123854051622,4.42280013920355,I,1,6.03092305676417,5.18546581200662,
13,29,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
13,30,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
13,31,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
13,32,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
14,82,I,4,0.778698615182763,3.09615551917975,I,4,0.778698615182763,3.09615551917975,
14,83,v,6,2.43432335334861,4.08387555776038,v,6,2.43432335334861,4.08387555776038,
14,84,I,6,1.46873864540885,3.97647397929936,I,6,1.46873864540885,3.97647397929936,
14,85,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
14,86,I,7,2.95435086482524,3.82106652921648,I,7,2.95435086482524,3.82106652921648,
14,87,-iio,6,8.07454882026621,3.6449364100339,#vo,6,8.05175510869959,3.6449364100339,0.0227937115666244
14,88,I,2,1.59123854051622,4.42280013920355,I,1,8.1086322291639,1.60499580379493,
14,89,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
14,90,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
14,91,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
14,92,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
15,82,I,4,0.778698615182763,3.09615551917975,I,4,0.778698615182763,3.09615551917975,
15,83,v,6,2.43432335334861,4.08387555776038,v,6,2.43432335334861,4.08387555776038,
15,84,I,6,1.46873864540885,3.97647397929936,I,6,1.46873864540885,3.97647397929936,
15,85,v,6,1.16356858516898,3.6449364100339,v,6,1.16356858516898,3.6449364100339,
15,86,I,7,2.95435086482524,3.82106652921648,I,7,2.95435086482524,3.82106652921648,
15,87,-iio,6,8.07454882026621,3.6449364100339,-I,6,8.05175510869959,3.6449364100339,0.0227937115666244
15,88,I,2,1.59123854051622,4.42280013920355,I,2,6.41840326696011,4.41609317849562,
15,89,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
15,90,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
15,91,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
15,92,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
16,22,V,3,2.23327777453401,4.74550527928736,V,3,2.23327777453401,4.74550527928736,
16,23,v,4,7.20118959987561,3.55538393952124,v,4,7.20118959987561,3.55538393952124,
16,24,I,2,3.22994510526757,5.15673517520348,I,2,3.22994510526757,5.15673517520348,
16,25,v,3,4.24295546203928,5.08440116272744,v,3,4.24295546203928,5.08440116272744,
16,26,I,4,1.55601965149858,4.2727725019177,I,4,1.55601965149858,4.2727725019177,
16,27,-iio,5,7.6322507882883,4.31872871169223,#vo,5,7.60945707672168,4.31872871169223,0.0227937115666252
16,28,I,2,1.59123854051622,4.42280013920355,I,1,8.1086322291639,1.60499580379493,
16,29,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
16,30,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
16,31,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
16,32,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
17,22,V,3,2.23327777453401,4.74550527928736,V,3,2.23327777453401,4.74550527928736,
17,23,v,4,7.20118959987561,3.55538393952124,v,4,7.20118959987561,3.55538393952124,
17,24,I,2,3.22994510526757,5.15673517520348,I,2,3.22994510526757,5.15673517520348,
17,25,v,3,4.24295546203928,5.08440116272744,v,3,4.24295546203928,5.08440116272744,
17,26,I,4,1.55601965149858,4.2727725019177,I,4,1.55601965149858,4.2727725019177,
17,27,-iio,5,7.6322507882883,4.31872871169223,-I,5,7.60945707672168,4.31872871169223,0.0227937115666252
17,28,I,2,1.59123854051622,4.42280013920355,I,2,6.41840326696011,4.41609317849562,
17,29,v,2,6.28160129256417,4.51673050109517,v,1,5.72868506403699,5.48532256251723,
17,30,I,2,3.00900986951094,5.12980573037565,I,2,3.00900986951094,5.12980573037565,
17,31,v,3,3.69292980482063,5.14114405299468,v,3,3.69292980482063,5.14114405299468,
17,32,I,4,2.34079650369258,4.74559144768141,I,4,2.34079650369258,4.74559144768141,
,,,,,,,,,,
18,39,I,3,2.99106725818027,5.14171082509327,I,3,2.99106725818027,5.14171082509327,
18,40,ii,4,5.60650276911683,4.73496028029042,ii,4,5.60650276911683,4.73496028029042,
18,41,V,3,3.41358134965122,5.1667263229452,V,3,3.41358134965122,5.1667263229452,
18,42,-VII,4,6.12186955755515,4.81243928666559,-VII,4,6.12186955755515,4.81243928666559,
18,43,I,3,2.96352129760662,4.7687680326356,I,3,2.96352129760662,4.7687680326356,
18,44,ii,4,5.54617493523904,4.58808346384391,-VI,4,5.56989195365677,4.58808346384391,0.0237170184177327
18,45,V,3,3.65327790844034,5.18111159094211,V,3,3.92511821929958,5.0974395448905,
18,46,vi,4,5.00832161633079,4.68501773987391,vi,4,6.05496094569813,4.46224528464119,
18,47,ii,4,3.34174973379158,4.85028345227384,ii,3,4.94941313006697,4.91118585865414,
18,48,-VII,5,6.23841035852961,4.16048625679645,-VII,3,5.65615417055055,4.96324779281579,
18,49,vi,3,4.51942320437711,4.79388529964399,vi,3,4.51942320437711,4.79388529964399,
,,,,,,,,,,
19,18,vi,3,5.50144339252531,4.42469693063141,vi,3,5.50144339252531,4.42469693063141,
