Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,4,V,3,3.54222663312924,4.5706928642619,V,3,3.54222663312924,4.5706928642619,
1,5,I,4,2.04828765181829,4.42304130524455,I,4,2.04828765181829,4.42304130524455,
1,6,IV,5,1.71681898810483,4.39586934645238,IV,5,1.71681898810483,4.39586934645238,
1,7,V,6,1.96113820847926,4.06540780392458,V,6,1.96113820847926,4.06540780392458,
1,8,I,7,1.08622076220103,3.60473684825893,I,7,1.08622076220103,3.60473684825893,
1,9,vi,8,4.55841576182042,4.84732050153211,iii,8,4.56514621535597,4.84732050153211,0.00673045353555324
1,10,IV,8,3.09451751963845,4.61134113776151,IV,8,1.48463166553722,3.61136973400958,
1,11,V,7,1.60373842131717,4.06523322216403,V,6,0.400748663602915,1.96610900556972,
1,12,I,8,1.32732690423528,3.88593906887903,I,8,0.668752133079905,2.67144125403448,
1,13,IV,9,3.2352486010304,4.2537282243803,IV,10,3.3408016102337,3.5406880747552,
1,14,I,9,2.82972000104638,3.96540751556858,I,9,3.15123758463429,3.4207940856309,
,,,,,,,,,,
2,5,I,4,2.04828765181829,4.42304130524455,I,4,2.04828765181829,4.42304130524455,
2,6,IV,5,1.71681898810483,4.39586934645238,IV,5,1.71681898810483,4.39586934645238,
2,7,V,6,1.96113820847926,4.06540780392458,V,6,1.96113820847926,4.06540780392458,
2,8,I,7,1.08622076220103,3.60473684825893,I,7,1.08622076220103,3.60473684825893,
2,9,vi,8,4.55841576182042,4.84732050153211,vi,8,4.55841576182042,4.84732050153211,
2,10,IV,8,3.09451751963845,4.61134113776151,V,8,3.02502052789065,4.61134113776151,0.0694969917478048
2,11,V,7,1.60373842131717,4.06523322216403,V,6,3.24199728412516,4.18732035111291,
2,12,I,8,1.32732690423528,3.88593906887903,I,6,1.50765670921246,3.96108861806113,
2,13,IV,9,3.2352486010304,4.2537282243803,IV,7,3.83626334327271,4.4577670094495,
2,14,I,9,2.82972000104638,3.96540751556858,I,6,1.56979359605996,4.068771676205,
2,15,V,9,3.315808338713,4.46813440412818,V,6,4.14896023197742,4.78953092795645,
,,,,,,,,,,
3,32,I,10,1.37811920994889,3.88994024173705,I,10,1.37811920994889,3.88994024173705,
3,33,vi,10,1.37528911274947,3.78242272206936,vi,10,1.37528911274947,3.78242272206936,
3,34,IV,10,0.289251300336914,1.50957985070126,IV,10,0.289251300336914,1.50957985070126,
3,35,V,10,0.251334741969381,1.35547251887355,V,10,0.251334741969381,1.35547251887355,
3,36,I,10,0.940928328144344,3.10667299479325,I,10,0.940928328144344,3.10667299479325,
3,37,IV,10,3.83662555872862,3.78242272206936,V,10,3.73824260095031,3.78242272206936,0.0983829577783188
3,38,I,10,1.0826831094615,3.44616028820629,I,7,0.88412936430222,2.9166023485339,
3,39,V,10,3.38790875469653,4.36025688802251,V,7,5.07368041576066,2.76911471544167,
3,40,I,7,2.3336837482787,3.75407660209801,I,6,2.35942187647893,4.58002561835993,
3,41,vi,7,4.41488512698039,4.70585004285702,vi,7,5.35426287795656,4.69204879412403,
3,42,IV,7,3.21350174954281,4.68967967467629,IV,5,2.99827389030941,4.74833794166894,
,,,,,,,,,,
4,60,I,7,1.12686191072155,3.50708239899303,I,7,1.12686191072155,3.50708239899303,
4,61,vi,8,2.90285963432303,4.4295236373466,vi,8,2.90285963432303,4.4295236373466,
4,62,IV,8,1.40345703905696,3.87772979665635,IV,8,1.40345703905696,3.87772979665635,
4,63,V,9,1.02401371358117,3.29324499848176,V,9,1.02401371358117,3.29324499848176,
4,64,I,10,1.37811920994889,3.88994024173705,I,10,1.37811920994889,3.88994024173705,
4,65,IV,10,3.83662555872862,3.78242272206936,V,10,3.73824260095031,3.78242272206936,0.0983829577783188
4,66,I,10,1.0826831094615,3.44616028820629,I,7,0.88412936430222,2.9166023485339,
4,67,r,10,3.73185134608655,4.36025688802251,r,7,4.60966558565663,2.76911471544167,
4,68,r,5,0.890239632112209,2.75953608184886,r,4,0.343625158643275,1.57276408793251,
,,,,,,,,,,
