Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,28,IV,7,3.11014773941065,4.94548590266376,IV,7,3.11014773941065,4.94548590266376,
1,29,V,8,4.27434187938195,4.26241175271242,V,8,4.27434187938195,4.26241175271242,
1,30,IV,7,3.93027516244698,4.16389005699589,IV,7,3.93027516244698,4.16389005699589,
1,31,V,6,2.46883297538743,4.17393026333186,V,6,2.46883297538743,4.17393026333186,
1,32,I,7,2.3572842032222,4.3767260333363,I,7,2.3572842032222,4.3767260333363,
1,33,VII,8,7.01469431382033,4.47624512013314,I+,8,7.01582301190097,4.47624512013314,0.00112869808063287
1,34,-VII,4,2.78712394529389,3.27442375682331,-VII,4,6.97068112787693,3.98463162303136,
1,35,VI,4,1.691725714423,4.47984378187733,VI,1,5.30295552646426,5.43043611074963,
1,36,II,3,1.85125310717266,4.61515356593751,II,2,3.7792717469237,5.20383512397116,
1,37,V,4,1.45726308631501,4.12556162590309,V,3,2.16282645040564,4.65004997606354,
1,38,I,4,1.45694432299822,4.22136778569717,I,4,1.45694432299822,4.22136778569717,
,,,,,,,,,,
2,21,IV,3,4.27732069811371,4.69716247658149,IV,3,4.27732069811371,4.69716247658149,
2,22,V,3,5.25697508725223,5.11577491500809,V,3,5.25697508725223,5.11577491500809,
2,23,IV,3,4.93452412980614,4.99755722214823,IV,3,4.93452412980614,4.99755722214823,
2,24,V,3,3.30051999937434,4.99467224957682,V,3,3.30051999937434,4.99467224957682,
2,25,I,4,3.24530599697302,4.99053976605677,I,4,3.24530599697302,4.99053976605677,
2,26,IV,5,3.37592490134,5.03934658427859,I,5,3.3875120723851,5.03934658427859,0.0115871710450994
2,27,I,6,1.84017268933368,3.59114831394807,I,6,2.93494529005972,4.84986645400589,
2,28,IV,7,3.11014773941065,4.94548590266376,IV,7,2.45902532185875,4.19620406790938,
2,29,V,8,4.27434187938195,4.26241175271242,V,8,1.66982923138382,3.84975665187887,
2,30,IV,7,3.93027516244698,4.16389005699589,IV,8,0.556656689717862,2.13354176677588,
2,31,V,6,2.46883297538743,4.17393026333186,V,10,1.22484541494674,3.56498447022909,
,,,,,,,,,,
3,27,I,6,1.84017268933368,3.59114831394807,I,6,1.84017268933368,3.59114831394807,
3,28,IV,7,3.11014773941065,4.94548590266376,IV,7,3.11014773941065,4.94548590266376,
3,29,V,8,4.27434187938195,4.26241175271242,V,8,4.27434187938195,4.26241175271242,
3,30,IV,7,3.93027516244698,4.16389005699589,IV,7,3.93027516244698,4.16389005699589,
3,31,V,6,2.46883297538743,4.17393026333186,V,6,2.46883297538743,4.17393026333186,
3,32,I,7,2.3572842032222,4.3767260333363,IV,7,2.37907560847348,4.3767260333363,0.0217914052512818
3,33,VII,8,7.01469431382033,4.47624512013314,VII,8,8.15222542956647,3.86727334043993,
3,34,-VII,4,2.78712394529389,3.27442375682331,-VII,1,5.51178894730833,5.34585469819151,
3,35,VI,4,1.691725714423,4.47984378187733,VI,2,3.12459684135671,5.11358207071779,
3,36,II,3,1.85125310717266,4.61515356593751,II,3,1.85125310717266,4.61515356593751,
3,37,V,4,1.45726308631501,4.12556162590309,V,4,1.45726308631501,4.12556162590309,
,,,,,,,,,,
4,28,IV,7,3.11014773941065,4.94548590266376,IV,7,3.11014773941065,4.94548590266376,
4,29,V,8,4.27434187938195,4.26241175271242,V,8,4.27434187938195,4.26241175271242,
4,30,IV,7,3.93027516244698,4.16389005699589,IV,7,3.93027516244698,4.16389005699589,
4,31,V,6,2.46883297538743,4.17393026333186,V,6,2.46883297538743,4.17393026333186,
4,32,I,7,2.3572842032222,4.3767260333363,I,7,2.3572842032222,4.3767260333363,
4,33,VII,8,7.01469431382033,4.47624512013314,vii,8,6.98328947771664,4.47624512013314,0.0314048361036878
4,34,-VII,4,2.78712394529389,3.27442375682331,-VII,4,8.21184774605485,2.93288333664236,
4,35,VI,4,1.691725714423,4.47984378187733,VI,1,5.30295552646426,5.43043611074963,
4,36,II,3,1.85125310717266,4.61515356593751,II,2,3.7792717469237,5.20383512397116,
4,37,V,4,1.45726308631501,4.12556162590309,V,3,2.16282645040564,4.65004997606354,
4,38,I,4,1.45694432299822,4.22136778569717,I,4,1.45694432299822,4.22136778569717,
,,,,,,,,,,
5,68,V,4,1.45726308631501,4.12556162590309,V,4,1.45726308631501,4.12556162590309,
5,69,I,4,1.45694432299822,4.22136778569717,I,4,1.45694432299822,4.22136778569717,
5,70,IV,6,5.22121418144272,4.57689429036668,IV,6,5.22121418144272,4.57689429036668,
5,71,I,4,3.0150923556397,4.95029148707911,I,4,3.0150923556397,4.95029148707911,
5,72,IV,5,2.94524336256649,5.07768102001209,IV,5,2.94524336256649,5.07768102001209,
5,73,V,6,4.21899171408553,4.3293934378592,IV,6,4.18295013052484,4.3293934378592,0.0360415835606958
5,74,I,6,2.38679687831066,4.51775982695877,I,6,2.46097799041146,4.61660454869122,
5,75,vi,7,4.04120587538516,4.57520310344321,vi,7,4.34752121135402,4.30321279962606,
5,76,IV,6,1.79418317496354,4.3957653971529,IV,6,3.42433078130907,4.0808184806482,
5,77,V,7,1.2746664742158,3.73360807170296,V,5,2.6269240514756,4.67783307858428,
5,78,I,8,2.58700857320151,3.5852839406142,I,6,1.64563579084731,3.81027392363146,
,,,,,,,,,,
6,36,II,3,1.85125310717266,4.61515356593751,II,3,1.85125310717266,4.61515356593751,
6,37,V,4,1.45726308631501,4.12556162590309,V,4,1.45726308631501,4.12556162590309,
6,38,I,4,1.45694432299822,4.22136778569717,I,4,1.45694432299822,4.22136778569717,
6,39,IV,6,5.22121418144272,4.57689429036668,IV,6,5.22121418144272,4.57689429036668,
6,40,I,4,3.0150923556397,4.95029148707911,I,4,3.0150923556397,4.95029148707911,
6,41,V,5,4.43486167287045,5.07768102001209,V+,5,4.39119369843868,5.07768102001209,0.0436679744317763
6,42,I,5,2.76098463939464,4.65522358581202,I,2,1.09624423886601,3.76947128071567,
6,43,IV,6,3.70938434192961,4.97772225714859,IV,3,1.13476346201803,3.86439021332829,
6,44,I,7,2.22607093714098,4.41139466176169,I,4,1.09006285339899,3.78515462376018,
6,45,IV,8,3.44630136028503,5.05043946391473,IV,4,4.71057159665333,4.44208199511754,
6,46,I,9,1.77852892728112,4.24801081577662,I,4,3.29533146244785,5.12537891489406,
,,,,,,,,,,
7,17,I,10,1.48570305183037,4.00617108092666,I,10,1.48570305183037,4.00617108092666,
7,18,-VII,10,5.08208738162172,4.37378492465557,-VII,10,5.08208738162172,4.37378492465557,
7,19,vi,7,5.84473483218396,3.35325093702001,vi,7,5.84473483218396,3.35325093702001,
7,20,v,4,5.73390886649621,4.70741534416931,v,4,5.73390886649621,4.70741534416931,
7,21,IV,3,4.27732069811371,4.69716247658149,IV,3,4.27732069811371,4.69716247658149,
