Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,3,I,2,2.20046829427291,4.79859356102467,I,2,2.20046829427291,4.79859356102467,
1,4,IV,3,3.99727426306833,4.75856661576346,IV,3,3.99727426306833,4.75856661576346,
1,5,IV,4,2.52691792629442,4.6345447209121,IV,4,2.52691792629442,4.6345447209121,
1,6,I,5,2.25571725931611,4.56247619252646,I,5,2.25571725931611,4.56247619252646,
1,7,I,6,1.83915579387984,4.33892908406573,I,6,1.83915579387984,4.33892908406573,
1,8,VI,7,6.27655263969092,4.60455808727077,-VI,7,6.30570435744341,4.60455808727077,0.0291517177524865
1,9,II,4,1.90737127886479,4.44452741458597,II,4,6.45935587554815,4.70535256583793,
1,10,V,5,2.16481825863468,3.49350592567909,V,2,2.17740690675273,4.9820628172621,
1,11,I,5,2.25527192561195,4.39246783278016,I,3,2.08292173154547,4.8577514765489,
1,12,I,5,0.393339436224477,2.07615173861626,I,4,2.62795590919102,5.17278831543762,
1,13,I,7,2.10393175293164,4.51379303817286,I,5,3.68028502904682,4.80719909563787,
,,,,,,,,,,
2,87,I,5,0.393339436224477,2.07615173861626,I,5,0.393339436224477,2.07615173861626,
2,88,IV,10,1.95531241230223,4.067208775098,IV,10,1.95531241230223,4.067208775098,
2,89,IV,6,4.23402865106897,3.67789671218614,IV,6,4.23402865106897,3.67789671218614,
2,90,I,6,2.87454637883813,4.80812116423364,I,6,2.87454637883813,4.80812116423364,
2,91,I,7,1.8187761010606,4.21131771779093,I,7,1.8187761010606,4.21131771779093,
2,92,VI,8,6.38480934812286,4.60576304391376,-VI,8,6.41396106587535,4.60576304391376,0.0291517177524865
2,93,II,4,1.90737127886479,4.44452741458597,II,4,6.45935587554815,4.70535256583793,
2,94,V,5,2.16481825863468,3.49350592567909,V,2,2.17740690675273,4.9820628172621,
2,95,I,5,2.25527192561195,4.39246783278016,I,3,2.08292173154547,4.8577514765489,
2,96,II,5,6.66590816927093,2.07615173861626,II,4,5.5769833776448,5.17278831543762,
2,97,V,4,0.467010998204056,2.21534609869639,V,4,1.36333893148188,3.98066675710168,
