Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,46,VI,5,6.5727955916675,4.72081216031838,VI,5,6.5727955916675,4.72081216031838,
1,47,VI,2,4.25324441089968,5.21986761108557,VI,2,4.25324441089968,5.21986761108557,
1,48,I,3,4.12734558634231,5.1283372986677,I,3,4.12734558634231,5.1283372986677,
1,49,I,4,3.25244761439623,5.04613577999735,I,4,3.25244761439623,5.04613577999735,
1,50,IV,5,5.74242843142824,4.2017946117173,IV,5,5.74242843142824,4.2017946117173,
1,51,V,3,4.09115424353347,5.28991133759136,I,3,4.08897939080014,5.28991133759136,0.00217485273333207
1,52,I,4,2.46234198115903,4.74811802960503,I,4,3.58469489532622,5.08818996129692,
1,53,I,5,3.07563137849501,5.00308212174344,I,5,3.29744425729057,5.05856612613662,
1,54,I,6,3.25501811778628,4.8214736400061,I,6,2.78387421779859,4.76348851776088,
1,55,IV,7,2.54565593631833,4.12960084537075,IV,7,3.12886340253526,4.86686810125548,
1,56,V,8,2.87570122429715,4.46977743222062,V,8,4.82229441407303,3.58674350350191,
,,,,,,,,,,
2,151,I,8,1.08155075240972,3.28223037776181,I,8,1.08155075240972,3.28223037776181,
2,152,I,10,2.03821896053782,4.567942858204,I,10,2.03821896053782,4.567942858204,
2,153,V,8,3.79507765170431,4.22630844472961,V,8,3.79507765170431,4.22630844472961,
2,154,I,8,2.80331209000217,4.15674192504298,I,8,2.80331209000217,4.15674192504298,
2,155,V,8,1.83678406295352,4.14927382375484,V,8,1.83678406295352,4.14927382375484,
2,156,-III,7,6.99409838899986,3.9163140947169,VII,7,6.98521474982361,3.9163140947169,0.00888363917624879
2,157,-III,3,4.19596056529381,4.71585236196812,-III,3,7.46461381643482,3.97508027078701,
2,158,-III,3,3.49668044091403,5.08698900824243,-III,1,4.88499537211837,5.45499849349864,
2,159,-III,4,2.4867981109924,5.03314648999548,-III,2,4.17074479839866,5.35852567247071,
2,160,-VII,5,4.81499046075615,4.94713353785262,-VII,3,4.47835926572168,5.26906360934618,
2,161,-VI,4,6.15494192459307,3.64345688595483,-VI,4,6.15494192459307,3.64345688595483,
,,,,,,,,,,
3,165,v,4,5.20139522184591,4.70612414612032,v,4,5.20139522184591,4.70612414612032,
3,166,I,3,3.25864039720202,5.02525728776182,I,3,3.25864039720202,5.02525728776182,
3,167,V,4,4.45970463606372,4.61174244735928,V,4,4.45970463606372,4.61174244735928,
3,168,I,4,4.95344532808148,3.97220633955049,I,4,4.95344532808148,3.97220633955049,
3,169,V,3,4.25806771885113,5.37251590936831,V,3,4.25806771885113,5.37251590936831,
3,170,-III,4,6.32723524489595,4.96794245893405,VII,4,6.31835160571971,4.96794245893405,0.00888363917624879
3,171,-III,3,4.19596056529381,4.71585236196812,-III,3,7.46461381643482,3.97508027078701,
3,172,-III,3,3.49668044091403,5.08698900824243,-III,1,4.88499537211837,5.45499849349864,
3,173,-III,4,2.4867981109924,5.03314648999548,-III,2,4.17074479839866,5.35852567247071,
3,174,-VII,5,4.81499046075615,4.94713353785262,-VII,3,4.47835926572168,5.26906360934618,
3,175,-VI,4,6.15494192459307,3.64345688595483,-VI,4,6.15494192459307,3.64345688595483,
,,,,,,,,,,
4,158,-III,3,3.49668044091403,5.08698900824243,-III,3,3.49668044091403,5.08698900824243,
4,159,-III,4,2.4867981109924,5.03314648999548,-III,4,2.4867981109924,5.03314648999548,
4,160,-VII,5,4.81499046075615,4.94713353785262,-VII,5,4.81499046075615,4.94713353785262,
4,161,-VI,4,6.15494192459307,3.64345688595483,-VI,4,6.15494192459307,3.64345688595483,
4,162,-VII,3,3.32973098370443,4.97240788507993,-VII,3,3.32973098370443,4.97240788507993,
4,163,-VI,4,4.01343201295037,4.34429447336352,-VII,4,4.00145109751975,4.34429447336352,0.0119809154306276
4,164,v,4,3.65290878031067,4.60431068356705,v,4,4.10884995571294,4.89265771245631,
4,165,v,4,5.20139522184591,4.70612414612032,v,5,1.74575604312831,4.27716583535684,
4,166,I,3,3.25864039720202,5.02525728776182,I,3,4.13985425409494,4.81529247345679,
4,167,V,4,4.45970463606372,4.61174244735928,V,3,4.10083308656048,5.10855692101613,
4,168,I,4,4.95344532808148,3.97220633955049,I,4,4.95344532808148,3.97220633955049,
,,,,,,,,,,
5,172,-III,3,3.49668044091403,5.08698900824243,-III,3,3.49668044091403,5.08698900824243,
5,173,-III,4,2.4867981109924,5.03314648999548,-III,4,2.4867981109924,5.03314648999548,
5,174,-VII,5,4.81499046075615,4.94713353785262,-VII,5,4.81499046075615,4.94713353785262,
5,175,-VI,4,6.15494192459307,3.64345688595483,-VI,4,6.15494192459307,3.64345688595483,
5,176,-VII,3,3.32973098370443,4.97240788507993,-VII,3,3.32973098370443,4.97240788507993,
5,177,-VI,4,4.01343201295037,4.34429447336352,-VII,4,4.00145109751975,4.34429447336352,0.0119809154306276
5,178,v,4,3.65290878031067,4.60431068356705,v,4,4.10884995571294,4.89265771245631,
5,179,v,4,5.20139522184591,4.70612414612032,v,5,1.74575604312831,4.27716583535684,
5,180,I,3,3.25864039720202,5.02525728776182,I,3,4.13985425409494,4.81529247345679,
5,181,I,4,3.58806300431359,4.61174244735928,I,3,3.22919145481034,5.10855692101613,
5,182,IV,4,3.46760192997107,5.24955098316142,IV,4,3.46760192997107,5.24955098316142,
,,,,,,,,,,
6,41,I,5,2.72381317231879,4.79569493552152,I,5,2.72381317231879,4.79569493552152,
6,42,IV,6,4.55377952691937,4.72953444992686,IV,6,4.55377952691937,4.72953444992686,
6,43,-VII,4,1.50692632201951,4.2946825110498,-VII,4,1.50692632201951,4.2946825110498,
6,44,v,6,5.55151339113855,4.01279809889773,v,6,5.55151339113855,4.01279809889773,
6,45,I,3,0.416383055360635,2.13812390246487,I,3,0.416383055360635,2.13812390246487,
6,46,VI,5,6.5727955916675,4.72081216031838,II,5,6.55936867060297,4.72081216031838,0.013426921064533
6,47,VI,2,4.25324441089968,5.21986761108557,VI,2,5.18207113623221,5.08219375268844,
6,48,I,3,4.12734558634231,5.1283372986677,I,3,4.94037242293614,4.90988320873756,
6,49,I,4,3.25244761439623,5.04613577999735,I,3,4.08707511380548,4.87483158847085,
6,50,IV,5,5.74242843142824,4.2017946117173,IV,3,5.13327085036835,5.09421512507611,
6,51,V,3,4.09115424353347,5.28991133759136,V,3,4.09115424353347,5.28991133759136,
,,,,,,,,,,
7,42,IV,6,4.55377952691937,4.72953444992686,IV,6,4.55377952691937,4.72953444992686,
7,43,-VII,4,1.50692632201951,4.2946825110498,-VII,4,1.50692632201951,4.2946825110498,
7,44,v,6,5.55151339113855,4.01279809889773,v,6,5.55151339113855,4.01279809889773,
7,45,I,3,0.416383055360635,2.13812390246487,I,3,0.416383055360635,2.13812390246487,
7,46,VI,5,6.5727955916675,4.72081216031838,VI,5,6.5727955916675,4.72081216031838,
7,47,VI,2,4.25324441089968,5.21986761108557,I,2,4.23280160266701,5.21986761108557,0.0204428082326782
7,48,I,3,4.12734558634231,5.1283372986677,I,3,2.83868369810073,4.93864290978383,
7,49,I,4,3.25244761439623,5.04613577999735,I,4,1.41297561091135,4.29383720314033,
7,50,IV,5,5.74242843142824,4.2017946117173,IV,5,3.81170748767168,5.22613749105879,
7,51,V,3,4.09115424353347,5.28991133759136,V,5,4.14613455195319,4.91482372956053,
7,52,I,4,2.46234198115903,4.74811802960503,I,5,2.13953833330061,4.36172933709053,
,,,,,,,,,,
8,152,I,10,2.03821896053782,4.567942858204,I,10,2.03821896053782,4.567942858204,
8,153,V,8,3.79507765170431,4.22630844472961,V,8,3.79507765170431,4.22630844472961,
8,154,I,8,2.80331209000217,4.15674192504298,I,8,2.80331209000217,4.15674192504298,
8,155,V,8,1.83678406295352,4.14927382375484,V,8,1.83678406295352,4.14927382375484,
8,156,-III,7,6.99409838899986,3.9163140947169,-III,7,6.99409838899986,3.9163140947169,
8,157,-III,3,4.19596056529381,4.71585236196812,-VII,3,4.2390213021792,4.71585236196812,0.0430607368853915
8,158,-III,3,3.49668044091403,5.08698900824243,-III,3,3.25388859971052,4.60828651418993,
8,159,-III,4,2.4867981109924,5.03314648999548,-III,4,5.10921339423965,4.40606900960488,
8,160,-VII,5,4.81499046075615,4.94713353785262,-VII,3,4.35453004280108,5.22279744605835,
8,161,-VI,4,6.15494192459307,3.64345688595483,-VI,4,6.00855195679505,3.74226219451929,
8,162,-VII,3,3.32973098370443,4.97240788507993,-VII,3,3.32973098370443,4.97240788507993,
,,,,,,,,,,
9,157,-III,3,4.19596056529381,4.71585236196812,-III,3,4.19596056529381,4.71585236196812,
9,158,-III,3,3.49668044091403,5.08698900824243,-III,3,3.49668044091403,5.08698900824243,
9,159,-III,4,2.4867981109924,5.03314648999548,-III,4,2.4867981109924,5.03314648999548,
9,160,-VII,5,4.81499046075615,4.94713353785262,-VII,5,4.81499046075615,4.94713353785262,
9,161,-VI,4,6.15494192459307,3.64345688595483,-VI,4,6.15494192459307,3.64345688595483,
9,162,-VII,3,3.32973098370443,4.97240788507993,-III,3,3.28080261731311,4.97240788507993,0.0489283663913231
9,163,-VI,4,4.01343201295037,4.34429447336352,-VI,4,1.73453434175096,4.34832274522866,
9,164,v,4,3.65290878031067,4.60431068356705,v,4,5.67466068087836,3.85940464870141,
9,165,v,4,5.20139522184591,4.70612414612032,v,3,5.05099107789251,4.84781223797568,
9,166,I,3,3.25864039720202,5.02525728776182,I,3,3.25864039720202,5.02525728776182,
9,167,V,4,4.45970463606372,4.61174244735928,V,4,4.45970463606372,4.61174244735928,
,,,,,,,,,,
10,171,-III,3,4.19596056529381,4.71585236196812,-III,3,4.19596056529381,4.71585236196812,
10,172,-III,3,3.49668044091403,5.08698900824243,-III,3,3.49668044091403,5.08698900824243,
10,173,-III,4,2.4867981109924,5.03314648999548,-III,4,2.4867981109924,5.03314648999548,
10,174,-VII,5,4.81499046075615,4.94713353785262,-VII,5,4.81499046075615,4.94713353785262,
10,175,-VI,4,6.15494192459307,3.64345688595483,-VI,4,6.15494192459307,3.64345688595483,
10,176,-VII,3,3.32973098370443,4.97240788507993,-III,3,3.28080261731311,4.97240788507993,0.0489283663913231
10,177,-VI,4,4.01343201295037,4.34429447336352,-VI,4,1.73453434175096,4.34832274522866,
10,178,v,4,3.65290878031067,4.60431068356705,v,4,5.67466068087836,3.85940464870141,
10,179,v,4,5.20139522184591,4.70612414612032,v,3,5.05099107789251,4.84781223797568,
10,180,I,3,3.25864039720202,5.02525728776182,I,3,3.25864039720202,5.02525728776182,
10,181,I,4,3.58806300431359,4.61174244735928,I,4,3.58806300431359,4.61174244735928,
,,,,,,,,,,
11,14,I,10,1.01710282880665,3.17392560334314,I,10,1.01710282880665,3.17392560334314,
11,15,I,10,2.35813172841702,4.30381626236296,I,10,2.35813172841702,4.30381626236296,
11,16,I,10,0.96166590425344,3.34035471077118,I,10,0.96166590425344,3.34035471077118,
11,17,I,10,2.62593350182678,3.95986298042004,I,10,2.62593350182678,3.95986298042004,
11,18,-VII,10,5.16597059627265,4.52807281903693,-VII,10,5.16597059627265,4.52807281903693,
11,19,I,8,2.51752004188708,4.1803754941783,IV,8,2.57135098558913,4.1803754941783,0.0538309437020521
11,20,I,9,2.6820848102028,4.61910553719853,I,8,0.432566624910014,1.99709702469543,
11,21,-VII,7,3.378199854337,4.42780430625491,-VII,10,2.89009439402221,3.61496245453315,
11,22,I,7,0.806014716943772,2.59502025330866,I,7,3.58848956721672,1.9519623768418,
11,23,I,8,1.43023810421546,4.01042916345379,I,6,3.79618644045778,4.11915823593822,
11,24,-VII,9,2.16715534779176,4.51673700992575,-VII,5,2.89768995547615,4.70313963790313,
,,,,,,,,,,
12,151,I,8,1.08155075240972,3.28223037776181,I,8,1.08155075240972,3.28223037776181,
12,152,I,10,2.03821896053782,4.567942858204,I,10,2.03821896053782,4.567942858204,
