Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,19,-VII,5,6.33904271661414,1.73938397506707,-VII,5,6.33904271661414,1.73938397506707,
1,20,IV,5,2.30726537663505,3.25989122170439,IV,5,2.30726537663505,3.25989122170439,
1,21,IV,5,3.0883415007485,4.70842962778546,IV,5,3.0883415007485,4.70842962778546,
1,22,I,6,3.32735548197768,4.02218598392164,I,6,3.32735548197768,4.02218598392164,
1,23,-VII,5,6.33904271661414,1.73938397506707,-VII,5,6.33904271661414,1.73938397506707,
1,24,V,5,5.06002571557496,3.25989122170439,-VII,5,5.08910665757679,3.25989122170439,0.0290809420018352
1,25,IV,4,5.16404015723349,3.40820812850247,IV,4,4.35990666091439,4.66362924862223,
1,26,IV,3,2.73384402144734,4.7778420541369,IV,4,2.32642652183858,4.72513617031388,
1,27,IV,4,2.99291542705423,4.60722111680459,IV,5,3.130038195145,4.94361441073293,
1,28,I,5,3.64995998192774,4.51415855743163,I,6,3.04516943428257,4.24681349557757,
1,29,I,5,3.02685529613202,4.87541656261783,I,6,2.16383439280594,4.68288804590627,
,,,,,,,,,,
2,24,V,5,5.06002571557496,3.25989122170439,V,5,5.06002571557496,3.25989122170439,
2,25,IV,4,5.16404015723349,3.40820812850247,IV,4,5.16404015723349,3.40820812850247,
2,26,IV,3,2.73384402144734,4.7778420541369,IV,3,2.73384402144734,4.7778420541369,
2,27,IV,4,2.99291542705423,4.60722111680459,IV,4,2.99291542705423,4.60722111680459,
2,28,I,5,3.64995998192774,4.51415855743163,I,5,3.64995998192774,4.51415855743163,
2,29,I,5,3.02685529613202,4.87541656261783,V,5,2.97616305824742,4.87541656261783,0.0506922378846029
2,30,I,6,3.58311759395409,4.71843192400356,I,6,3.36093767142761,4.64569363103946,
2,31,I,6,2.34279304796272,4.80437011783394,I,6,2.96786340611819,4.94245955931721,
2,32,I,7,2.90263253696513,4.90915054044116,I,7,2.55847593709167,4.49435351381646,
2,33,-VII,8,3.92136269719166,4.8956020181267,-VII,8,5.6845268751832,4.36957262352242,
2,34,I,8,3.67603485015099,3.2515787503523,I,5,1.32326648909149,3.7426082540544,
,,,,,,,,,,
3,68,V,5,5.06002571557496,3.25989122170439,V,5,5.06002571557496,3.25989122170439,
3,69,IV,4,5.16404015723349,3.40820812850247,IV,4,5.16404015723349,3.40820812850247,
3,70,IV,3,2.73384402144734,4.7778420541369,IV,3,2.73384402144734,4.7778420541369,
3,71,IV,4,2.99291542705423,4.60722111680459,IV,4,2.99291542705423,4.60722111680459,
3,72,I,5,3.64995998192774,4.51415855743163,I,5,3.64995998192774,4.51415855743163,
3,73,I,5,3.02685529613202,4.87541656261783,V,5,2.97616305824742,4.87541656261783,0.0506922378846029
3,74,I,6,3.58311759395409,4.71843192400356,I,6,3.36093767142761,4.64569363103946,
3,75,I,6,2.34279304796272,4.80437011783394,I,6,2.96786340611819,4.94245955931721,
3,76,I,7,2.90263253696513,4.90915054044116,I,7,2.55847593709167,4.49435351381646,
3,77,I,8,2.64055037220666,4.8956020181267,I,8,2.57074740797005,4.36957262352242,
3,78,I,9,1.7324982776472,4.40492180969037,I,8,2.2868531596212,4.3807003738417,
,,,,,,,,,,
