Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,57,V,9,1.20339833821298,3.40957627545184,V,9,1.20339833821298,3.40957627545184,
1,58,I,8,0.964015133322899,3.29809806081218,I,8,0.964015133322899,3.29809806081218,
1,59,IV,8,0.857938107381607,3.14838393496756,IV,8,0.857938107381607,3.14838393496756,
1,60,V,10,1.77376047222682,3.856562163954,V,10,1.77376047222682,3.856562163954,
1,61,IV,10,2.45696706824578,4.23034400954824,IV,10,2.45696706824578,4.23034400954824,
1,62,iii,9,4.91232718523194,3.40957627545184,-III,9,4.90416386553497,3.40957627545184,0.00816331969696815
1,63,ii,5,2.10077742779342,3.5509971993713,ii,4,5.96991832124285,4.0835918579498,
1,64,V,5,1.99925470582689,3.69070890919726,V,3,3.80505200125699,5.085737674659,
1,65,ii,6,4.89800696579136,4.47365891282064,ii,3,4.88881444200663,4.98562453924697,
1,66,V,4,2.83200681392697,4.11191875877577,V,3,2.41081663459709,4.72315716752008,
1,67,IV,4,4.59622081449035,5.01730823015214,IV,4,4.59622081449035,5.01730823015214,
,,,,,,,,,,
2,189,V,9,1.20339833821298,3.40957627545184,V,9,1.20339833821298,3.40957627545184,
2,190,I,8,0.964015133322899,3.29809806081218,I,8,0.964015133322899,3.29809806081218,
2,191,IV,8,0.857938107381607,3.14838393496756,IV,8,0.857938107381607,3.14838393496756,
2,192,V,10,1.77376047222682,3.856562163954,V,10,1.77376047222682,3.856562163954,
2,193,IV,10,2.45696706824578,4.23034400954824,IV,10,2.45696706824578,4.23034400954824,
2,194,iii,9,4.91232718523194,3.40957627545184,-III,9,4.90416386553497,3.40957627545184,0.00816331969696815
2,195,r,5,4.20580033002024,3.5509971993713,r,4,3.77081919427039,4.0835918579498,
2,196,r,3,1.18062730958479,3.25603423049598,r,3,0.440342656296667,1.83828311747172,
,,,,,,,,,,
3,23,vi,5,4.6963670517972,4.85279802365587,vi,5,4.6963670517972,4.85279802365587,
3,24,ii,5,2.65577140727016,4.79337967912377,ii,5,2.65577140727016,4.79337967912377,
3,25,IV,6,4.5646763092881,3.57619010440855,IV,6,4.5646763092881,3.57619010440855,
3,26,I,4,2.74861851926878,4.56939705375201,I,4,2.74861851926878,4.56939705375201,
3,27,vi,5,4.06240595645602,4.56765162546302,vi,5,4.06240595645602,4.56765162546302,
3,28,ii,5,4.51042668022229,4.2199653934062,I,5,4.52263168742291,4.2199653934062,0.0122050072006159
3,29,IV,4,2.95520962212334,4.04245847694143,IV,4,2.56754930732713,4.52373383804229,
3,30,V,5,1.58214741021142,4.08821881999696,V,5,2.98805569539928,4.47462548665814,
3,31,I,5,1.58163712150754,4.22151478255463,I,5,1.27867284204013,3.96730850072656,
3,32,V,6,3.44330600196597,4.59186441428719,V,6,1.84033634844162,4.50445459715729,
3,33,IV,6,3.3182675715392,4.3419727206818,IV,6,3.29654563703568,3.61572996584477,
,,,,,,,,,,
