"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"IV",2,3.60816957290947,4.79707845245013
4,"IV",3,4.28207782774467,4.56688145846612
5,"I",4,2.82715348114687,4.90874159966789
6,"I",5,1.5624352305769,4.27996634051258
7,"I",6,3.95448882466117,4.74299369887033
8,"I",6,2.92806946856189,5.05929078456497
9,"I",7,2.94790312366528,4.89606776565992
10,"I",8,2.46024099243226,4.85914593816663
11,"I",9,2.62894426159099,4.8935058965101
12,"vi",10,5.33598652719861,4.20616203939983
13,"vi",8,2.77182072529243,4.70600496901276
14,"ii",9,5.26274745641537,4.46331083058729
15,"ii",5,2.0896151318894,3.95649082591557
16,"ii",6,2.70954331822318,4.51994701913857
17,"V",6,2.84690907060057,4.25962814163814
18,"V",5,3.29748293565689,4.24504606988157
19,"V",5,1.58104244758387,3.89630399552746
20,"I",6,1.64981460258156,4.06648659209328
21,"I",7,2.41369879395824,4.63292695858243
22,"I",8,2.64562405672331,4.85687592857432
23,"I",7,1.11660369339622,3.65769170274864
24,"I",10,2.38962809156984,4.31202187774974
25,"vi",9,5.99230159995218,3.83450220447119
26,"vi",6,2.80744025522675,4.66959292181078
27,"ii",7,4.99186860657212,4.7938729610011
28,"ii",5,2.0896151318894,3.95649082591557
29,"ii",6,2.70954331822318,4.51994701913857
30,"V",6,2.84690907060057,4.25962814163814
31,"V",5,3.29748293565689,4.24504606988157
32,"V",5,1.58104244758387,3.89630399552746
33,"I",6,1.64981460258156,4.06648659209328
34,"I",7,2.41369879395824,4.63292695858243
35,"V",8,4.36471448168966,4.85687592857432
36,"V",6,1.76437867649685,4.12497157630804
37,"I",7,2.68322480365182,4.65053827830349
38,"I",8,0.747850905166685,2.951074007046
39,"V",9,1.61226538706524,4.1627444186787
40,"V",10,0.685399158383098,2.62445779366475
41,"I",10,1.97182863004917,4.18868045670938
42,"I",9,0.208710493205656,1.22862426830285
43,"VI",10,6.09150313402919,4.55290340712818
44,"II",5,3.20864782181611,3.86806726925363
45,"II",5,3.06891550407707,3.56164193169922
46,"V",4,4.79660868125955,2.62343912133975
47,"V",4,2.61400779426971,4.96781412895734
48,"I",5,1.80140233829703,4.11523989941437
49,"I",6,2.6203455279052,4.7167708038139
50,"V",7,3.22573995454039,4.75780947944123
51,"V",8,2.27773353047331,4.15172487381117
52,"IV",8,4.11576467043887,4.30704209486804
53,"IV",7,1.11625513764549,3.4080901710223
54,"I",7,1.06739072656569,3.52891611174908
55,"I",9,2.50505845172274,4.16677264235334
56,"V",8,3.83536498965597,4.4921933517821
57,"V",7,1.59510046836482,3.90521383107673
58,"I",8,2.03701964139502,4.26839023384706
59,"I",8,0.514821213246232,2.31218346576282
60,"I",10,4.0220424428248,3.27419396378174
61,"I",9,2.17133597186969,4.52150657332495
62,"I",10,1.82560943210708,3.98977999939202
63,"vi",10,7.20528641613711,2.09527644492906
64,"vi",6,2.80744025522675,4.66959292181078
65,"ii",7,4.99186860657212,4.7938729610011
66,"ii",5,2.0896151318894,3.95649082591557
67,"ii",6,2.70954331822318,4.51994701913857
68,"V",6,2.84690907060057,4.25962814163814
69,"V",5,3.29748293565689,4.24504606988157
70,"V",5,1.58104244758387,3.89630399552746
71,"I",6,1.64981460258156,4.06648659209328
72,"I",7,2.41369879395824,4.63292695858243
73,"V",8,4.36471448168966,4.85687592857432
74,"V",6,1.76437867649685,4.12497157630804
75,"I",7,2.68322480365182,4.65053827830349
76,"I",8,0.747850905166685,2.951074007046
77,"V",9,1.61226538706524,4.1627444186787
78,"V",10,0.685399158383098,2.62445779366475
79,"I",10,1.97182863004917,4.18868045670938
80,"I",9,0.208710493205656,1.22862426830285
81,"VI",10,6.09150313402919,4.55290340712818
82,"II",5,3.20864782181611,3.86806726925363
83,"II",5,3.06891550407707,3.56164193169922
84,"V",4,4.79660868125955,2.62343912133975
85,"V",4,2.61400779426971,4.96781412895734
86,"I",5,1.80140233829703,4.11523989941437
87,"I",6,2.6203455279052,4.7167708038139
88,"V",7,3.22573995454039,4.75780947944123
89,"V",8,2.27773353047331,4.15172487381117
90,"I",8,3.36169986289875,4.30704209486804
91,"I",7,1.11916933417677,3.6336290223263
92,"V",8,2.94779243640067,4.76118963502756
93,"V",9,1.34616492965973,3.64231889518095
94,"I",10,1.97182863004917,4.18868045670938
95,"I",9,0.208710493205656,1.22862426830285
96,"VI",10,6.09150313402919,4.55290340712818
97,"II",5,3.20864782181611,3.86806726925363
98,"II",5,3.06891550407707,3.56164193169922
99,"V",4,4.79660868125955,2.62343912133975
100,"V",4,2.61400779426971,4.96781412895734
101,"I",5,1.80140233829703,4.11523989941437
102,"I",6,2.6203455279052,4.7167708038139
103,"r",7,3.58272239120789,4.75780947944123
104,"r",5,1.20582929795834,3.04809993476667
