"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"-VI",2,6.22124188694133,4.79430520191594
4,"-VII",3,4.38801998575167,5.03704316539279
5,"I",3,2.91852305926844,4.61493190528257
6,"-VI",4,3.26714931434636,4.88455505725758
7,"-VII",5,2.17984041790969,4.52105693194719
8,"I",5,0.345066809347659,1.69697811899339
9,"-VI",7,2.32367322466771,4.26661191176302
10,"-VII",7,0.502063352200302,2.35420286278567
11,"I",5,0.345066809347659,1.69697811899339
12,"I",10,2.17031999603781,4.05954958995351
13,"I",10,2.25073793092592,4.28748668056371
14,"I",8,1.5428195324703,4.18444085584379
15,"-VII",6,4.7012953220353,4.00503164327037
16,"-VII",6,1.85236732069922,3.91273299556097
17,"-VI",7,4.24507604020929,4.45253387082537
18,"-VI",4,1.00263789611081,3.53879054017278
19,"V",5,1.22598362399935,3.80160248602136
20,"V",6,0.59016844784058,2.46338558676149
21,"I",7,0.867685479164748,3.18538931797151
22,"I",8,4.83717414643051,2.86865974236434
23,"-VII",5,5.14734339738235,4.97011361077813
24,"-VII",5,4.30066172156736,3.03821647947072
25,"-VI",5,4.40039482210484,4.69025179554016
26,"-VI",4,1.00263789611081,3.53879054017278
27,"V",5,1.22598362399935,3.80160248602136
28,"V",6,0.59016844784058,2.46338558676149
29,"I",7,0.867685479164748,3.18538931797151
30,"IV",8,6.34052804626567,2.86865974236434
31,"I",4,2.68936418209247,4.79409628513978
32,"IV",5,3.3284205470961,5.08156358731317
33,"I",6,1.56840480623174,4.22538855964735
34,"IV",7,1.6256747447772,4.17915359654213
35,"I",8,1.49161821614534,4.0144726497651
36,"-VI",9,6.36986746568129,4.47197119569627
37,"-VII",4,4.3091892993259,3.93513073347141
38,"I",4,1.53811902569747,3.99010045637511
39,"I",5,3.39222101543969,4.42755027133843
40,"I",5,3.12318430378953,5.03442833799766
41,"I",6,2.09325135210816,4.58187781402049
42,"I",6,1.28085256646662,4.00503164327037
43,"I",8,1.71240984760921,4.37286613377786
44,"-VII",8,5.15693499807388,4.59583060330628
45,"-VII",7,2.68358968269581,4.22182244139218
46,"-VI",8,3.35292847922096,4.29332540655601
47,"-VI",4,1.00263789611081,3.53879054017278
48,"V",5,1.22598362399935,3.80160248602136
49,"V",6,0.59016844784058,2.46338558676149
50,"I",7,0.867685479164748,3.18538931797151
51,"I",8,4.83717414643051,2.86865974236434
52,"-VII",5,5.14734339738235,4.97011361077813
53,"-VII",5,4.30066172156736,3.03821647947072
54,"-VI",5,4.40039482210484,4.69025179554016
55,"-VI",4,1.00263789611081,3.53879054017278
56,"V",5,1.22598362399935,3.80160248602136
57,"V",6,0.59016844784058,2.46338558676149
58,"I",7,0.867685479164748,3.18538931797151
59,"IV",8,6.34052804626567,2.86865974236434
60,"I",4,2.68936418209247,4.79409628513978
61,"IV",5,3.3284205470961,5.08156358731317
62,"I",6,1.56840480623174,4.22538855964735
63,"IV",7,1.6256747447772,4.17915359654213
64,"I",8,1.49161821614534,4.0144726497651
65,"-VI",9,6.36986746568129,4.47197119569627
66,"-VII",4,4.3091892993259,3.93513073347141
67,"I",4,1.53811902569747,3.99010045637511
68,"-VI",5,1.88744323580964,4.42755027133843
69,"-VII",6,2.5133338347386,3.99500837430591
70,"I",5,0.345066809347659,1.69697811899339
71,"-VI",7,2.32367322466771,4.26661191176302
72,"-VII",7,0.502063352200302,2.35420286278567
73,"I",5,0.345066809347659,1.69697811899339
74,"-VI",10,2.22432498603866,4.05954958995351
75,"-VII",7,0.502063352200302,2.35420286278567
76,"I",5,0.345066809347659,1.69697811899339
