"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
13,15,"I",2.25073793092592,4.28748668056371,"-VI",2.25506229161857,4.28748668056371,0.00432436069265574
45,5,"-VII",2.68358968269581,4.22182244139218,"I",2.69013236749576,4.22182244139218,0.00654268479994613
30,4,"IV",6.34052804626567,2.86865974236434,"V",6.36108536091608,2.86865974236434,0.0205573146504099
59,4,"IV",6.34052804626567,2.86865974236434,"V",6.36108536091608,2.86865974236434,0.0205573146504099
117,4,"IV",6.34052804626567,2.86865974236434,"V",6.36108536091608,2.86865974236434,0.0205573146504099
30,6,"IV",6.34052804626567,2.86865974236434,"VI",6.38743310391478,2.86865974236434,0.0469050576491128
59,6,"IV",6.34052804626567,2.86865974236434,"VI",6.38743310391478,2.86865974236434,0.0469050576491128
117,6,"IV",6.34052804626567,2.86865974236434,"VI",6.38743310391478,2.86865974236434,0.0469050576491128
46,9,"-VI",3.35292847922096,4.29332540655601,"IV",3.30112540212304,4.29332540655601,0.0518030770979165
12,15,"I",2.17031999603781,4.05954958995351,"-VI",2.22432498603866,4.05954958995351,0.0540049900008506
74,5,"-VI",2.22432498603866,4.05954958995351,"I",2.17031999603781,4.05954958995351,0.0540049900008506
77,15,"I",2.17031999603781,4.05954958995351,"-VI",2.22432498603866,4.05954958995351,0.0540049900008506
45,9,"-VII",2.68358968269581,4.22182244139218,"IV",2.752434201423,4.22182244139218,0.0688445187271864
