"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"I",4,1.5798194038242,4.43687984018319
6,"I",5,1.2616926996204,3.88650960547304
7,"I",6,1.88979591077031,4.66416159969298
8,"-VI",7,5.46870298463203,4.53437743872899
9,"-VII",8,4.06397456173234,3.70173073777613
10,"I",6,4.0905927807288,3.43324706739347
11,"-VI",4,3.55814691903332,4.87575281376633
12,"-VII",5,1.88676885685186,4.36164056838212
13,"I",5,0.376998776321551,1.79753449722317
14,"-VI",7,2.21970617142245,4.21966114823406
15,"-VII",7,0.50087037329136,2.35055008438933
16,"I",5,0.376998776321551,1.79753449722317
17,"I",10,2.41517847373618,4.08814571642537
18,"I",10,2.08756479144468,4.40472871846985
19,"I",8,1.5428195324703,4.18444085584379
20,"I",8,2.74223869868478,4.4592705887041
21,"I",8,1.71240984760921,4.37286613377786
22,"I",8,2.85142527827566,4.732694442384
23,"-VI",8,5.4710677581388,4.98006334866006
24,"-VII",8,4.06397456173234,3.68711771316127
25,"I",6,4.0905927807288,3.43324706739347
26,"-VI",4,3.55814691903332,4.87575281376633
27,"-VII",5,1.88676885685186,4.36164056838212
28,"I",5,0.376998776321551,1.79753449722317
29,"-VI",7,2.21970617142245,4.21966114823406
30,"-VII",7,0.50087037329136,2.35055008438933
31,"I",5,0.376998776321551,1.79753449722317
32,"I",10,2.41517847373618,4.08814571642537
33,"-VI",10,6.11706363002577,4.40472871846985
34,"IV",4,4.90034924097932,4.840556496992
35,"-III",4,6.80347040752619,3.78539907005807
36,"-VII",2,4.1210860806352,5.28844281292433
37,"IV",3,3.16609549647786,4.87097204623485
38,"IV",4,3.71435195595669,4.69490272941801
39,"-VI",4,5.27976399570133,4.61249308781272
40,"IV",4,6.61006306322166,3.87037991241366
41,"-III",2,5.76844263864197,5.2156307292741
42,"-VII",2,4.1210860806352,5.28844281292433
43,"IV",3,3.16609549647786,4.87097204623485
44,"IV",4,3.71435195595669,4.69490272941801
45,"I",4,1.95186981760126,4.61249308781272
46,"I",5,3.49359751180899,4.6033135730344
47,"I",5,3.433460291212,5.06312222597078
48,"I",6,1.80509298902344,4.60291700728419
49,"I",7,2.53704101816046,4.78923633605186
50,"I",8,2.21318950328195,4.74398369496541
51,"I",9,1.44834028121628,4.14058690675584
52,"I",10,2.32751683653229,4.84835933538888
53,"I",10,1.06221624377241,3.3705306209796
54,"I",10,1.28914647829487,3.93471308342986
55,"-VI",10,7.19444270847058,2.33005953842064
56,"IV",8,5.89570685711584,3.68711771316127
57,"-III",4,6.80347040752619,3.78539907005807
58,"-VII",2,4.1210860806352,5.28844281292433
59,"IV",3,3.16609549647786,4.87097204623485
60,"IV",4,3.71435195595669,4.69490272941801
61,"-VI",4,5.27976399570133,4.61249308781272
62,"IV",4,6.61006306322166,3.87037991241366
63,"-III",2,5.76844263864197,5.2156307292741
64,"-VII",2,4.1210860806352,5.28844281292433
65,"IV",3,3.16609549647786,4.87097204623485
66,"IV",4,3.71435195595669,4.69490272941801
67,"I",4,1.95186981760126,4.61249308781272
68,"I",5,3.49359751180899,4.6033135730344
69,"I",5,3.433460291212,5.06312222597078
70,"I",6,1.80509298902344,4.60291700728419
71,"I",7,2.53704101816046,4.78923633605186
72,"-VI",8,5.18565407269385,4.74398369496541
73,"-VII",7,3.87841697751224,3.93141439290813
74,"I",6,4.0905927807288,3.43324706739347
75,"-VI",4,3.55814691903332,4.87575281376633
76,"-VII",5,1.88676885685186,4.36164056838212
77,"I",5,0.376998776321551,1.79753449722317
78,"-VI",7,2.21970617142245,4.21966114823406
79,"-VII",7,0.50087037329136,2.35055008438933
80,"I",5,0.376998776321551,1.79753449722317
81,"I",10,2.41517847373618,4.08814571642537
82,"-VI",10,6.11706363002577,4.40472871846985
83,"IV",4,4.90034924097932,4.840556496992
84,"-III",4,6.80347040752619,3.78539907005807
85,"-VII",2,4.1210860806352,5.28844281292433
86,"IV",3,3.16609549647786,4.87097204623485
87,"IV",4,3.71435195595669,4.69490272941801
88,"-VI",4,5.27976399570133,4.61249308781272
89,"IV",4,6.61006306322166,3.87037991241366
90,"-III",2,5.76844263864197,5.2156307292741
91,"-VII",2,4.1210860806352,5.28844281292433
92,"IV",3,3.16609549647786,4.87097204623485
93,"IV",4,3.71435195595669,4.69490272941801
94,"-VI",4,5.27976399570133,4.61249308781272
95,"IV",4,6.61006306322166,3.87037991241366
96,"-III",2,5.76844263864197,5.2156307292741
97,"-VII",2,4.1210860806352,5.28844281292433
98,"IV",3,3.16609549647786,4.87097204623485
99,"IV",4,3.71435195595669,4.69490272941801
100,"-VI",4,5.27976399570133,4.61249308781272
101,"IV",4,6.61006306322166,3.87037991241366
102,"-III",2,5.76844263864197,5.2156307292741
103,"-VII",2,4.1210860806352,5.28844281292433
104,"IV",3,3.16609549647786,4.87097204623485
105,"IV",4,3.71435195595669,4.69490272941801
106,"IV",4,3.67939560665782,4.61249308781272
107,"IV",4,3.0317193504795,5.00273638420673
108,"IV",5,2.95440761022214,4.72820948109654
109,"IV",6,2.40759613062846,4.58875839664195
110,"IV",7,2.81350554456284,4.33380637038776
111,"IV",7,2.2731192484554,4.42712571396602
112,"IV",8,2.25097838830537,4.44479960169336
113,"IV",9,2.25097838830537,4.44479960169336
114,"IV",10,0.952891699130771,3.26541755188499
115,"r",10,3.89363802942494,3.26541755188499
116,"r",4,0.597182772616714,2.18044769297724
