"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,83,"vi",8,4.39844252596514,4.01311901822089,"vi",8,4.39844252596514,4.01311901822089,
1,84,"vi",6,0.731673992051037,2.81164650104391,"vi",6,0.731673992051037,2.81164650104391,
1,85,"I",8,3.97237135914422,4.41933166527662,"I",8,3.97237135914422,4.41933166527662,
1,86,"V",6,3.6446817745664,4.1625237559423,"V",6,3.6446817745664,4.1625237559423,
1,87,"vi",5,4.72041297444148,4.46996086829204,"vi",5,4.72041297444148,4.46996086829204,
1,88,"IV",4,4.15571054312504,4.64159346284657,"V",4,4.14888059240067,4.64159346284657,0.00682995072436743
1,89,"V",4,2.37396623485368,4.50728224962215,"V",4,3.79811211920872,4.69552886902428,
1,90,"I",5,1.90861976417001,4.31921370193449,"I",5,3.15804468345794,4.54155704117751,
1,91,"I",6,1.95948791160843,4.53286362205435,"I",5,3.62510144836126,4.51769868378406,
1,92,"V",7,2.50435656276431,4.56440950482258,"V",5,3.78778711814066,4.99418690686476,
1,93,"vi",7,0.391583589565277,1.90950390618902,"vi",6,4.59718819948067,4.30293734422175,
,,,,,,,,,,
2,129,"vi",8,4.39844252596514,4.01311901822089,"vi",8,4.39844252596514,4.01311901822089,
2,130,"vi",6,0.731673992051037,2.81164650104391,"vi",6,0.731673992051037,2.81164650104391,
2,131,"I",8,3.97237135914422,4.41933166527662,"I",8,3.97237135914422,4.41933166527662,
2,132,"V",6,3.6446817745664,4.1625237559423,"V",6,3.6446817745664,4.1625237559423,
2,133,"vi",5,4.72041297444148,4.46996086829204,"vi",5,4.72041297444148,4.46996086829204,
2,134,"IV",4,4.15571054312504,4.64159346284657,"V",4,4.14888059240067,4.64159346284657,0.00682995072436743
2,135,"V",4,2.37396623485368,4.50728224962215,"V",4,3.79811211920872,4.69552886902428,
2,136,"I",5,1.90861976417001,4.31921370193449,"I",5,3.15804468345794,4.54155704117751,
2,137,"I",6,1.95948791160843,4.53286362205435,"I",5,3.62510144836126,4.51769868378406,
2,138,"V",7,2.50435656276431,4.56440950482258,"V",5,3.78778711814066,4.99418690686476,
2,139,"vi",7,0.391583589565277,1.90950390618902,"vi",6,4.59718819948067,4.30293734422175,
,,,,,,,,,,
3,36,"#vo",9,7.8989722689727,3.97629147119507,"#vo",9,7.8989722689727,3.97629147119507,
3,37,"vi",1,0.354130952714967,1.94089810271181,"vi",1,0.354130952714967,1.94089810271181,
3,38,"V",3,3.23762461537589,4.97931088430758,"V",3,3.23762461537589,4.97931088430758,
3,39,"I",4,4.60148136422931,4.30159669408968,"I",4,4.60148136422931,4.30159669408968,
3,40,"vi",3,4.69106393189221,5.25520707143728,"vi",3,4.69106393189221,5.25520707143728,
3,41,"IV",4,3.44942186764882,5.03434766881492,"ii",4,3.47198008796184,5.03434766881492,0.0225582203130181
3,42,"V",5,3.29970136133709,4.51980937766497,"V",5,1.13594567417718,3.58697072659405,
3,43,"vi",5,3.98179505060747,4.67163096182329,"vi",6,5.25153030745968,4.80453034722921,
3,44,"IV",6,2.72804468553152,4.44893771782241,"IV",4,4.03033814054373,4.65636036497217,
3,45,"V",6,0.93869015543488,3.3183105350891,"V",4,3.02697498987458,4.92009540534536,
3,46,"vi",7,3.46353955463815,3.13401066834122,"vi",5,3.90442662613498,4.35176947869311,
,,,,,,,,,,
4,106,"#vo",9,7.8989722689727,3.97629147119507,"#vo",9,7.8989722689727,3.97629147119507,
4,107,"vi",1,0.354130952714967,1.94089810271181,"vi",1,0.354130952714967,1.94089810271181,
4,108,"V",3,3.23762461537589,4.97931088430758,"V",3,3.23762461537589,4.97931088430758,
4,109,"I",4,4.60148136422931,4.30159669408968,"I",4,4.60148136422931,4.30159669408968,
4,110,"vi",3,4.69106393189221,5.25520707143728,"vi",3,4.69106393189221,5.25520707143728,
4,111,"IV",4,3.44942186764882,5.03434766881492,"ii",4,3.47198008796184,5.03434766881492,0.0225582203130181
4,112,"V",5,3.29970136133709,4.51980937766497,"V",5,1.13594567417718,3.58697072659405,
4,113,"vi",5,3.98179505060747,4.67163096182329,"vi",6,5.25153030745968,4.80453034722921,
4,114,"IV",6,2.72804468553152,4.44893771782241,"IV",4,4.03033814054373,4.65636036497217,
4,115,"V",6,0.93869015543488,3.3183105350891,"V",4,3.02697498987458,4.92009540534536,
4,116,"vi",7,3.46353955463815,3.13401066834122,"vi",5,3.90442662613498,4.35176947869311,
,,,,,,,,,,
5,31,"IV",8,2.72804468553152,4.44893771782241,"IV",8,2.72804468553152,4.44893771782241,
5,32,"V",6,0.93869015543488,3.3183105350891,"V",6,0.93869015543488,3.3183105350891,
5,33,"vi",7,3.46353955463815,3.13401066834122,"vi",7,3.46353955463815,3.13401066834122,
5,34,"IV",7,2.49053691821596,4.37230266265655,"IV",7,2.49053691821596,4.37230266265655,
5,35,"V",6,0.501031881800987,2.29602243479335,"V",6,0.501031881800987,2.29602243479335,
5,36,"#vo",9,7.8989722689727,3.97629147119507,"viio",9,7.93589685234813,3.97629147119507,0.0369245833754324
5,37,"vi",1,0.354130952714967,1.94089810271181,"vi",2,7.18105943081182,3.71420237971921,
5,38,"V",3,3.23762461537589,4.97931088430758,"V",1,5.03462929056627,5.45861926619094,
5,39,"I",4,4.60148136422931,4.30159669408968,"I",2,3.89172041903972,5.25616548742182,
5,40,"vi",3,4.69106393189221,5.25520707143728,"vi",3,4.69106393189221,5.25520707143728,
5,41,"IV",4,3.44942186764882,5.03434766881492,"IV",4,3.44942186764882,5.03434766881492,
,,,,,,,,,,
6,44,"IV",6,2.72804468553152,4.44893771782241,"IV",6,2.72804468553152,4.44893771782241,
6,45,"V",6,0.93869015543488,3.3183105350891,"V",6,0.93869015543488,3.3183105350891,
6,46,"vi",7,3.46353955463815,3.13401066834122,"vi",7,3.46353955463815,3.13401066834122,
6,47,"IV",7,2.49053691821596,4.37230266265655,"IV",7,2.49053691821596,4.37230266265655,
6,48,"V",6,0.501031881800987,2.29602243479335,"V",6,0.501031881800987,2.29602243479335,
6,49,"#vo",9,7.8989722689727,3.97629147119507,"viio",9,7.93589685234813,3.97629147119507,0.0369245833754324
6,50,"vi",1,0.354130952714967,1.94089810271181,"vi",2,7.18105943081182,3.71420237971921,
6,51,"V",3,3.23762461537589,4.97931088430758,"V",1,5.03462929056627,5.45861926619094,
6,52,"I",4,4.60148136422931,4.30159669408968,"I",2,3.89172041903972,5.25616548742182,
6,53,"I",3,3.59935606015199,5.25520707143728,"I",3,3.59935606015199,5.25520707143728,
6,54,"V",4,5.05228498316883,4.98534798476077,"V",4,5.05228498316883,4.98534798476077,
,,,,,,,,,,
7,101,"IV",8,2.72804468553152,4.44893771782241,"IV",8,2.72804468553152,4.44893771782241,
7,102,"V",6,0.93869015543488,3.3183105350891,"V",6,0.93869015543488,3.3183105350891,
7,103,"vi",7,3.46353955463815,3.13401066834122,"vi",7,3.46353955463815,3.13401066834122,
7,104,"IV",7,2.49053691821596,4.37230266265655,"IV",7,2.49053691821596,4.37230266265655,
7,105,"V",6,0.501031881800987,2.29602243479335,"V",6,0.501031881800987,2.29602243479335,
7,106,"#vo",9,7.8989722689727,3.97629147119507,"viio",9,7.93589685234813,3.97629147119507,0.0369245833754324
7,107,"vi",1,0.354130952714967,1.94089810271181,"vi",2,7.18105943081182,3.71420237971921,
7,108,"V",3,3.23762461537589,4.97931088430758,"V",1,5.03462929056627,5.45861926619094,
