"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"i",1,3.53531957968047,4.04565444768758
3,"i",2,1.85125750979379,4.58062289472694
4,"-VI",3,4.45079382709899,4.25057238803604
5,"iv",4,4.28457263140715,4.60402358266971
6,"v",4,3.92575538222494,5.15272194562297
7,"i",4,0.686014930260131,2.81577273182595
8,"i",5,0.586941136826734,2.47266690920368
9,"i",5,4.24290907693654,3.14302159043562
10,"i",5,1.74969508105592,4.46703732838325
11,"-VI",6,4.21295921469098,4.55017208876511
12,"-III",6,4.53067467498117,3.88850568765211
13,"IV",5,4.26704459161422,3.47421967236893
14,"IV",4,4.00148010389348,3.62323472210398
15,"i",4,3.06696869640025,4.88281284501635
16,"i",4,3.75096281847644,4.28914151576157
17,"i",4,2.36910111374832,4.73417111557328
18,"i",5,0.958102933230954,3.43879031072327
19,"-VI",6,3.72675073644856,4.61895526129454
20,"-III",6,4.53067467498117,3.88850568765211
21,"IV",5,4.26704459161422,3.47421967236893
22,"IV",4,4.00148010389348,3.62323472210398
23,"i",4,3.06696869640025,4.88281284501635
24,"i",4,3.75096281847644,4.28914151576157
25,"i",4,2.36910111374832,4.73417111557328
26,"i",5,0.958102933230954,3.43879031072327
27,"-VI",6,3.72675073644856,4.61895526129454
28,"-III",6,4.53067467498117,3.88850568765211
29,"IV",5,4.26704459161422,3.47421967236893
30,"IV",4,4.00148010389348,3.62323472210398
31,"-VI",4,5.65186026641804,4.88281284501635
32,"v",3,5.04525565308869,4.67341705535473
33,"IV",3,4.47500772922027,4.56976700086127
34,"-III",3,5.55120210126955,5.10035725836887
35,"-VI",3,5.05835402275423,4.84487349280442
36,"-III",3,1.41511980776221,4.29249554469957
37,"IV",4,3.95182345583346,4.10019330206576
38,"-VI",4,4.57937188272755,4.40349282066715
39,"-VII",4,3.05716134814372,4.07400195920357
40,"I",4,1.76784209089094,3.77094145926063
41,"v",5,6.09559082475423,4.3361346822207
42,"iv",3,5.69439283867453,4.22489091814145
43,"-VI",3,5.21097590779582,5.02749383802914
44,"-VII",3,3.8860145743606,4.94448414494436
45,"I",3,3.61124016299373,4.85593879187935
46,"v",4,5.78560831301195,4.58884385153441
47,"iv",3,5.69439283867453,4.22489091814145
48,"-VI",3,5.21097590779582,5.02749383802914
49,"-VII",3,3.8860145743606,4.94448414494436
50,"i",3,3.65424020268101,4.85593879187935
51,"i",4,2.74963915577552,4.63744620201583
52,"i",5,2.75306170089723,4.70146234632111
53,"i",6,1.22428525374022,3.78679743938573
54,"-VI",7,3.29129445082612,4.00269086320326
55,"-III",7,4.87953420358211,3.6642804211296
56,"IV",5,4.26704459161422,3.47421967236893
57,"IV",4,4.00148010389348,3.62323472210398
58,"i",4,3.06696869640025,4.88281284501635
59,"i",4,3.75096281847644,4.28914151576157
60,"i",4,2.36910111374832,4.73417111557328
61,"i",5,0.958102933230954,3.43879031072327
62,"-VI",6,3.72675073644856,4.61895526129454
63,"-III",6,4.53067467498117,3.88850568765211
64,"IV",5,4.26704459161422,3.47421967236893
65,"IV",4,4.00148010389348,3.62323472210398
66,"-VI",4,5.65186026641804,4.88281284501635
67,"v",3,5.04525565308869,4.67341705535473
68,"IV",3,4.47500772922027,4.56976700086127
69,"-III",3,5.55120210126955,5.10035725836887
70,"-VI",3,5.05835402275423,4.84487349280442
71,"-III",3,1.41511980776221,4.29249554469957
72,"IV",4,3.95182345583346,4.10019330206576
73,"-VI",4,4.57937188272755,4.40349282066715
74,"-VII",4,3.05716134814372,4.07400195920357
75,"I",4,1.76784209089094,3.77094145926063
76,"v",5,6.09559082475423,4.3361346822207
77,"iv",3,5.69439283867453,4.22489091814145
78,"-VI",3,5.21097590779582,5.02749383802914
79,"-VII",3,3.8860145743606,4.94448414494436
80,"I",3,3.61124016299373,4.85593879187935
81,"v",4,5.78560831301195,4.58884385153441
82,"iv",3,5.69439283867453,4.22489091814145
83,"-VI",3,5.21097590779582,5.02749383802914
84,"-VII",3,3.8860145743606,4.94448414494436
85,"I",3,3.61124016299373,4.85593879187935
86,"v",4,5.78560831301195,4.58884385153441
87,"iv",3,5.69439283867453,4.22489091814145
88,"-VI",3,5.21097590779582,5.02749383802914
89,"-VII",3,3.8860145743606,4.94448414494436
90,"I",3,3.61124016299373,4.85593879187935
91,"v",4,5.78560831301195,4.58884385153441
92,"iv",3,5.69439283867453,4.22489091814145
93,"-VI",3,5.21097590779582,5.02749383802914
94,"-VII",3,3.8860145743606,4.94448414494436
95,"i",3,3.65424020268101,4.85593879187935
96,"i",4,2.74963915577552,4.63744620201583
97,"i",5,2.75306170089723,4.70146234632111
98,"i",6,1.22428525374022,3.78679743938573
99,"-VI",7,3.29129445082612,4.00269086320326
100,"-III",7,4.87953420358211,3.6642804211296
101,"IV",5,4.26704459161422,3.47421967236893
102,"IV",4,4.00148010389348,3.62323472210398
103,"i",4,3.06696869640025,4.88281284501635
104,"v",4,5.19466892047468,4.28914151576157
105,"iv",3,5.53688297480378,2.88006597585563
106,"-VI",3,3.42380721570166,4.80147669838451
107,"-VII",4,4.48901656247494,3.88046263227055
108,"i",3,3.65424020268101,4.85593879187935
109,"v",4,3.92866969816986,4.63744620201583
110,"iv",4,2.69729214264641,4.33548582649722
111,"-VI",5,1.52366390982439,4.31831892868454
112,"-VII",4,6.32175707407652,1.45167563556955
113,"i",3,3.65424020268101,4.85593879187935
114,"v",4,3.92866969816986,4.63744620201583
115,"iv",4,2.69729214264641,4.33548582649722
116,"-VI",5,1.52366390982439,4.31831892868454
117,"-VII",4,6.32175707407652,1.45167563556955
118,"i",3,3.65424020268101,4.85593879187935
119,"v",4,3.92866969816986,4.63744620201583
120,"iv",4,2.69729214264641,4.33548582649722
121,"-VI",5,1.52366390982439,4.31831892868454
122,"-VII",4,6.32175707407652,1.45167563556955
123,"i",3,3.65424020268101,4.85593879187935
124,"v",4,3.92866969816986,4.63744620201583
125,"iv",4,2.69729214264641,4.33548582649722
126,"-VI",5,1.52366390982439,4.31831892868454
127,"-VII",4,6.32175707407652,1.45167563556955
128,"i",3,3.65424020268101,4.85593879187935
129,"v",4,3.92866969816986,4.63744620201583
130,"iv",4,2.69729214264641,4.33548582649722
131,"-VI",5,1.52366390982439,4.31831892868454
132,"-VII",4,6.32175707407652,1.45167563556955
133,"r",3,3.07541686131796,4.85593879187935
134,"r",4,1.2892800324643,3.2921480482689
