"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,18,"V",5,3.21991062113715,4.54200843397108,"V",5,3.21991062113715,4.54200843397108,
1,19,"V",5,1.58779253302532,3.90891407039308,"V",5,1.58779253302532,3.90891407039308,
1,20,"I",6,1.65722343680425,4.07857360938463,"I",6,1.65722343680425,4.07857360938463,
1,21,"I",7,2.41369879395824,4.63292695858243,"I",7,2.41369879395824,4.63292695858243,
1,22,"VII",8,6.00730444236819,4.83459734122513,"VII",8,6.00730444236819,4.83459734122513,
1,23,"iii",3,7.07878435515903,1.9248441472317,"III",3,7.06898340006763,1.9248441472317,0.00980095509139911
1,24,"VII",2,3.77192531555509,5.21369030520593,"VII",2,6.75387586876137,4.91822302103348,
1,25,"VII",2,5.1757397807727,3.72150751830355,"VII",1,4.23844180511674,5.36912024190488,
1,26,"iii",2,3.87577583271614,5.04524729926462,"iii",2,3.87577583271614,5.04524729926462,
1,27,"V",3,1.72453509951397,4.54197856558812,"V",3,1.72453509951397,4.54197856558812,
1,28,"#vo",3,6.75139218287665,4.86708114287746,"#vo",3,6.75139218287665,4.86708114287746,
,,,,,,,,,,
2,45,"V",5,3.21991062113715,4.54200843397108,"V",5,3.21991062113715,4.54200843397108,
2,46,"V",5,1.58779253302532,3.90891407039308,"V",5,1.58779253302532,3.90891407039308,
2,47,"I",6,1.65722343680425,4.07857360938463,"I",6,1.65722343680425,4.07857360938463,
2,48,"I",7,2.41369879395824,4.63292695858243,"I",7,2.41369879395824,4.63292695858243,
2,49,"VII",8,6.00730444236819,4.83459734122513,"VII",8,6.00730444236819,4.83459734122513,
2,50,"iii",3,7.07878435515903,1.9248441472317,"III",3,7.06898340006763,1.9248441472317,0.00980095509139911
2,51,"VII",2,3.77192531555509,5.21369030520593,"VII",2,6.75387586876137,4.91822302103348,
2,52,"VII",2,5.1757397807727,3.72150751830355,"VII",1,4.23844180511674,5.36912024190488,
2,53,"iii",2,3.87577583271614,5.04524729926462,"iii",2,3.87577583271614,5.04524729926462,
2,54,"V",3,1.72453509951397,4.54197856558812,"V",3,1.72453509951397,4.54197856558812,
2,55,"#vo",3,6.75139218287665,4.86708114287746,"#vo",3,6.75139218287665,4.86708114287746,
,,,,,,,,,,
3,21,"I",7,2.41369879395824,4.63292695858243,"I",7,2.41369879395824,4.63292695858243,
3,22,"VII",8,6.00730444236819,4.83459734122513,"VII",8,6.00730444236819,4.83459734122513,
3,23,"iii",3,7.07878435515903,1.9248441472317,"iii",3,7.07878435515903,1.9248441472317,
3,24,"VII",2,3.77192531555509,5.21369030520593,"VII",2,3.77192531555509,5.21369030520593,
3,25,"VII",2,5.1757397807727,3.72150751830355,"VII",2,5.1757397807727,3.72150751830355,
3,26,"iii",2,3.87577583271614,5.04524729926462,"V",2,3.83898798985178,5.04524729926462,0.0367878428643573
3,27,"V",3,1.72453509951397,4.54197856558812,"V",3,2.12382517371949,4.85985973364305,
3,28,"#vo",3,6.75139218287665,4.86708114287746,"#vo",3,7.25215148739188,4.09424284126531,
3,29,"vi",1,0.308757484621594,1.75594872760067,"vi",1,0.308757484621594,1.75594872760067,
3,30,"II",3,5.62857952849004,4.72045366677361,"II",3,5.62857952849004,4.72045366677361,
3,31,"II",2,3.68586912725513,5.15330626499268,"II",2,3.68586912725513,5.15330626499268,
,,,,,,,,,,
4,48,"I",7,2.41369879395824,4.63292695858243,"I",7,2.41369879395824,4.63292695858243,
4,49,"VII",8,6.00730444236819,4.83459734122513,"VII",8,6.00730444236819,4.83459734122513,
4,50,"iii",3,7.07878435515903,1.9248441472317,"iii",3,7.07878435515903,1.9248441472317,
4,51,"VII",2,3.77192531555509,5.21369030520593,"VII",2,3.77192531555509,5.21369030520593,
4,52,"VII",2,5.1757397807727,3.72150751830355,"VII",2,5.1757397807727,3.72150751830355,
4,53,"iii",2,3.87577583271614,5.04524729926462,"V",2,3.83898798985178,5.04524729926462,0.0367878428643573
4,54,"V",3,1.72453509951397,4.54197856558812,"V",3,2.12382517371949,4.85985973364305,
4,55,"#vo",3,6.75139218287665,4.86708114287746,"#vo",3,7.25215148739188,4.09424284126531,
4,56,"vi",1,0.308757484621594,1.75594872760067,"vi",1,0.308757484621594,1.75594872760067,
4,57,"II",3,5.62857952849004,4.72045366677361,"II",3,5.62857952849004,4.72045366677361,
4,58,"II",2,3.68586912725513,5.15330626499268,"II",2,3.68586912725513,5.15330626499268,
,,,,,,,,,,
5,23,"iii",3,7.07878435515903,1.9248441472317,"iii",3,7.07878435515903,1.9248441472317,
5,24,"VII",2,3.77192531555509,5.21369030520593,"VII",2,3.77192531555509,5.21369030520593,
5,25,"VII",2,5.1757397807727,3.72150751830355,"VII",2,5.1757397807727,3.72150751830355,
5,26,"iii",2,3.87577583271614,5.04524729926462,"iii",2,3.87577583271614,5.04524729926462,
5,27,"V",3,1.72453509951397,4.54197856558812,"V",3,1.72453509951397,4.54197856558812,
5,28,"#vo",3,6.75139218287665,4.86708114287746,"viio",3,6.78831676625208,4.86708114287746,0.0369245833754333
5,29,"vi",1,0.308757484621594,1.75594872760067,"vi",2,7.18105943081182,3.71420237971921,
5,30,"II",3,5.62857952849004,4.72045366677361,"II",1,4.99924080667569,5.45928919931399,
5,31,"II",2,3.68586912725513,5.15330626499268,"II",2,3.68586912725513,5.15330626499268,
5,32,"V",3,3.35065553735843,5.17910023709866,"V",3,3.35065553735843,5.17910023709866,
5,33,"I",4,4.37539950786925,4.60662256778317,"I",4,4.37539950786925,4.60662256778317,
,,,,,,,,,,
6,23,"iii",3,7.07878435515903,1.9248441472317,"iii",3,7.07878435515903,1.9248441472317,
6,24,"VII",2,3.77192531555509,5.21369030520593,"VII",2,3.77192531555509,5.21369030520593,
6,25,"VII",2,5.1757397807727,3.72150751830355,"VII",2,5.1757397807727,3.72150751830355,
6,26,"iii",2,3.87577583271614,5.04524729926462,"iii",2,3.87577583271614,5.04524729926462,
6,27,"V",3,1.72453509951397,4.54197856558812,"V",3,1.72453509951397,4.54197856558812,
6,28,"#vo",3,6.75139218287665,4.86708114287746,"#IV",3,6.78831676625208,4.86708114287746,0.0369245833754333
6,29,"vi",1,0.308757484621594,1.75594872760067,"vi",2,6.87914279252288,4.67240928908895,
6,30,"II",3,5.62857952849004,4.72045366677361,"II",1,4.99924080667569,5.45928919931399,
6,31,"II",2,3.68586912725513,5.15330626499268,"II",2,3.68586912725513,5.15330626499268,
6,32,"V",3,3.35065553735843,5.17910023709866,"V",3,3.35065553735843,5.17910023709866,
6,33,"I",4,4.37539950786925,4.60662256778317,"I",4,4.37539950786925,4.60662256778317,
,,,,,,,,,,
7,50,"iii",3,7.07878435515903,1.9248441472317,"iii",3,7.07878435515903,1.9248441472317,
7,51,"VII",2,3.77192531555509,5.21369030520593,"VII",2,3.77192531555509,5.21369030520593,
7,52,"VII",2,5.1757397807727,3.72150751830355,"VII",2,5.1757397807727,3.72150751830355,
7,53,"iii",2,3.87577583271614,5.04524729926462,"iii",2,3.87577583271614,5.04524729926462,
7,54,"V",3,1.72453509951397,4.54197856558812,"V",3,1.72453509951397,4.54197856558812,
7,55,"#vo",3,6.75139218287665,4.86708114287746,"viio",3,6.78831676625208,4.86708114287746,0.0369245833754333
7,56,"vi",1,0.308757484621594,1.75594872760067,"vi",2,7.18105943081182,3.71420237971921,
7,57,"II",3,5.62857952849004,4.72045366677361,"II",1,4.99924080667569,5.45928919931399,
7,58,"II",2,3.68586912725513,5.15330626499268,"II",2,3.68586912725513,5.15330626499268,
7,59,"V",3,3.35065553735843,5.17910023709866,"V",3,3.35065553735843,5.17910023709866,
7,60,"I",4,4.37539950786925,4.60662256778317,"I",4,4.37539950786925,4.60662256778317,
,,,,,,,,,,
8,50,"iii",3,7.07878435515903,1.9248441472317,"iii",3,7.07878435515903,1.9248441472317,
8,51,"VII",2,3.77192531555509,5.21369030520593,"VII",2,3.77192531555509,5.21369030520593,
8,52,"VII",2,5.1757397807727,3.72150751830355,"VII",2,5.1757397807727,3.72150751830355,
8,53,"iii",2,3.87577583271614,5.04524729926462,"iii",2,3.87577583271614,5.04524729926462,
8,54,"V",3,1.72453509951397,4.54197856558812,"V",3,1.72453509951397,4.54197856558812,
8,55,"#vo",3,6.75139218287665,4.86708114287746,"#IV",3,6.78831676625208,4.86708114287746,0.0369245833754333
8,56,"vi",1,0.308757484621594,1.75594872760067,"vi",2,6.87914279252288,4.67240928908895,
8,57,"II",3,5.62857952849004,4.72045366677361,"II",1,4.99924080667569,5.45928919931399,
8,58,"II",2,3.68586912725513,5.15330626499268,"II",2,3.68586912725513,5.15330626499268,
8,59,"V",3,3.35065553735843,5.17910023709866,"V",3,3.35065553735843,5.17910023709866,
