"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53024235592001,5.47617358869661
2,"I",1,1.75095762169497,4.05030002994174
3,"iii",2,5.73465265594574,4.80243430073496
4,"-iiio",3,7.21171933882545,4.57432445966759
5,"I",2,6.80547518883938,3.71542342319075
6,"I",1,4.86335977739076,5.4859456714572
7,"iii",2,5.37759594439896,5.44291077813939
8,"-iiio",3,7.02172875775516,4.93622177293571
9,"ii",2,1.16885056829573,3.71542342319075
10,"I",3,3.97027204561356,4.46574328567329
11,"IV",3,4.75516428686687,5.21868270733519
12,"I",3,3.75581204418256,5.24288510778472
13,"VII",4,6.85436733411968,5.10114143262563
14,"I",2,5.00966002237681,4.72710034840148
15,"ii",2,5.63362947381092,5.28880023071268
16,"#ivo",2,6.85566979103673,5.30904073910032
17,"V",1,3.00204340882363,5.01132491727097
18,"ii",2,5.89482952792542,5.16217057593879
19,"ii",2,4.109582823434,5.21204229409199
20,"V",3,3.11207472497984,4.99500177665277
21,"I",4,2.35301843398133,4.21276837723353
22,"V",5,4.66523768399595,5.0312558090227
23,"VII",5,7.27117654954089,4.44915218136913
24,"I",2,4.94255944421011,4.89542999308782
25,"ii",2,5.63362947381092,5.28880023071268
26,"V",2,3.88077970087109,5.30904073910032
27,"I",3,3.24292776158738,5.14623757559865
28,"I",4,3.71894289960696,5.30243392099432
29,"I",5,3.21157579576882,4.95915840331066
30,"IV",6,3.98630478205558,4.87579109657147
31,"IV",7,1.70844608792738,4.23423549009246
32,"vi",7,5.44044718525073,4.03274428079385
33,"vi",6,1.10422551525026,3.45237039326741
34,"II",7,4.95539342898575,4.65810741622118
35,"V",4,4.08119006280685,3.77136069665806
36,"V",4,2.30724979456068,4.64055344160278
37,"I",5,2.42576014046984,4.52673439096278
38,"IV",6,3.41600023294673,4.32686271852834
39,"I",6,1.58390247757907,4.09860805158365
40,"VII",7,7.39235497122022,4.58319012839367
41,"I",2,5.00966002237681,4.72710034840148
42,"ii",2,5.63362947381092,5.28880023071268
43,"#ivo",2,6.85566979103673,5.30904073910032
44,"V",1,3.00204340882363,5.01132491727097
45,"ii",2,5.89482952792542,5.16217057593879
46,"ii",2,4.109582823434,5.21204229409199
47,"V",3,3.11207472497984,4.99500177665277
48,"I",4,2.35301843398133,4.21276837723353
49,"VII",5,6.69676735370437,5.0312558090227
50,"I",3,5.86822664996921,3.22840451774578
51,"ii",2,5.63362947381092,5.28880023071268
52,"V",2,3.88077970087109,5.30904073910032
53,"I",3,3.24292776158738,5.14623757559865
54,"I",4,3.71894289960696,5.30243392099432
55,"I",5,3.21157579576882,4.95915840331066
56,"IV",6,3.98630478205558,4.87579109657147
57,"iv",7,3.21393057663526,4.23423549009246
58,"I",7,2.20801110307282,3.96836158438528
59,"I",7,2.9432660789176,4.12207229861126
60,"IV",7,2.77988755098157,4.81037987342699
61,"V",5,5.23471408406454,3.43435549250342
62,"I",4,2.47041017810385,4.75492530164949
63,"iii",5,4.45989210398304,4.99324084049635
64,"vi",6,2.66305472508281,3.9730696040826
65,"V",6,4.49580255159264,4.56345544792169
66,"-II",5,7.96158114192894,3.49088747773538
67,"I",2,3.54763191856398,5.16682517288579
68,"IV",3,5.13482155710285,4.92869970722901
69,"I",3,4.58175467100654,5.03005150266719
70,"VII",3,6.6042114595271,5.31400205175786
71,"I",2,5.00966002237681,4.72710034840148
72,"ii",2,5.63362947381092,5.28880023071268
73,"#ivo",2,6.85566979103673,5.30904073910032
74,"V",1,3.00204340882363,5.01132491727097
75,"ii",2,5.89482952792542,5.16217057593879
76,"IV",2,4.30247952165199,5.21204229409199
77,"V",3,2.83859211016945,4.71320046319774
78,"I",4,2.33560317361824,4.66594477239655
79,"VII",5,6.50447028137121,5.10395106895039
80,"I",3,6.40278611318618,2.43941773948705
81,"I",2,3.5276090052756,5.28880023071268
82,"I",3,4.58581332750498,5.28378736583634
83,"I",3,3.74872837357973,5.35282247586932
84,"IV",4,4.11157979649529,5.23013289636951
85,"IV",5,3.26074118961548,4.98438922808007
86,"I",6,3.21912598070472,5.01219166384943
87,"I",7,1.59647656105329,4.00718526167003
88,"I",8,3.69120058402916,4.97774024465143
89,"II",9,6.39623726952653,4.69301647318118
90,"V",4,3.23156758398002,4.67520639667667
91,"V",4,5.24260374448403,2.09758256552894
92,"I",4,2.52189533359916,4.5588655295274
93,"IV",5,4.5431364205157,4.449076056256
94,"I",5,2.11789669145823,4.45118033474139
95,"VII",6,7.22680831385788,4.78322895794448
96,"I",2,5.00966002237681,4.72710034840148
97,"ii",2,5.63362947381092,5.28880023071268
98,"#ivo",2,6.85566979103673,5.30904073910032
99,"V",1,3.00204340882363,5.01132491727097
100,"ii",2,5.89482952792542,5.16217057593879
101,"IV",2,4.30247952165199,5.21204229409199
102,"V",3,2.83859211016945,4.71320046319774
103,"I",4,2.33560317361824,4.66594477239655
104,"VII",5,6.50447028137121,5.10395106895039
105,"I",3,6.40278611318618,2.43941773948705
106,"I",2,3.5276090052756,5.28880023071268
107,"I",3,4.58581332750498,5.28378736583634
108,"I",3,3.74872837357973,5.35282247586932
109,"IV",4,4.11157979649529,5.23013289636951
110,"iv",5,4.25042022137343,4.98438922808007
111,"I",6,1.48961454111878,4.09173979746898
112,"V",7,2.94345933570644,4.54288385321256
113,"I",8,1.44898716326488,3.96225269219793
114,"I",6,1.04063708893797,3.59251082526956
115,"r",10,3.35906477061323,4.54086566146197
116,"r",5,1.59911822721962,3.40847440250767
