"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,46,"I",3,3.87772373705506,5.32699414691076,"I",3,3.87772373705506,5.32699414691076,
1,47,"vi",4,4.38547499743614,5.26081855165042,"vi",4,4.38547499743614,5.26081855165042,
1,48,"vi",5,2.53227306656282,4.74458621039867,"vi",5,2.53227306656282,4.74458621039867,
1,49,"IV",6,2.55519613753694,4.83796910867596,"IV",6,2.55519613753694,4.83796910867596,
1,50,"IV",7,1.81348282526906,4.08798348911256,"IV",7,1.81348282526906,4.08798348911256,
1,51,"v",8,7.52091961401174,3.55539898470263,"#ivo",8,7.51986616742175,3.55539898470263,0.00105344658998963
1,52,"V",3,4.57983036218544,4.8812768678766,"V",3,2.82241194500439,2.35434088273174,
1,53,"I",3,4.98246077540683,4.9464783823782,"I",3,2.71104231432153,4.82388395846404,
1,54,"I",3,2.73126203871369,5.22925029742816,"I",4,4.94417416061353,4.95277485991783,
1,55,"vi",4,4.92256653740887,5.08771762363531,"vi",3,4.71520671583303,5.36010830551291,
1,56,"vi",4,3.33483555396492,5.03505017436996,"vi",4,3.33483555396492,5.03505017436996,
,,,,,,,,,,
2,54,"I",3,2.73126203871369,5.22925029742816,"I",3,2.73126203871369,5.22925029742816,
2,55,"vi",4,4.92256653740887,5.08771762363531,"vi",4,4.92256653740887,5.08771762363531,
2,56,"vi",4,3.33483555396492,5.03505017436996,"vi",4,3.33483555396492,5.03505017436996,
2,57,"IV",5,3.04259124222063,5.08751916996252,"IV",5,3.04259124222063,5.08751916996252,
2,58,"IV",6,1.60204378252247,3.85681094905317,"IV",6,1.60204378252247,3.85681094905317,
2,59,"v",7,6.95255570706946,4.37688138114156,"#ivo",7,6.95150226047947,4.37688138114156,0.00105344658998963
2,60,"V",3,4.57983036218544,4.8812768678766,"V",3,2.82241194500439,2.35434088273174,
2,61,"I",3,4.98246077540683,4.9464783823782,"I",3,2.71104231432153,4.82388395846404,
2,62,"I",3,2.73126203871369,5.22925029742816,"I",4,4.94417416061353,4.95277485991783,
2,63,"IV",4,4.66676859476234,5.08771762363531,"IV",3,4.4594087731865,5.36010830551291,
2,64,"v",4,5.86370351999206,5.16552877705337,"v",4,5.86370351999206,5.16552877705337,
,,,,,,,,,,
3,101,"I",3,3.87772373705506,5.32699414691076,"I",3,3.87772373705506,5.32699414691076,
3,102,"vi",4,4.38547499743614,5.26081855165042,"vi",4,4.38547499743614,5.26081855165042,
3,103,"vi",5,2.53227306656282,4.74458621039867,"vi",5,2.53227306656282,4.74458621039867,
3,104,"IV",6,2.55519613753694,4.83796910867596,"IV",6,2.55519613753694,4.83796910867596,
3,105,"IV",7,1.81348282526906,4.08798348911256,"IV",7,1.81348282526906,4.08798348911256,
3,106,"v",8,7.52091961401174,3.55539898470263,"#ivo",8,7.51986616742175,3.55539898470263,0.00105344658998963
3,107,"V",3,4.57983036218544,4.8812768678766,"V",3,2.82241194500439,2.35434088273174,
3,108,"I",3,4.98246077540683,4.9464783823782,"I",3,2.71104231432153,4.82388395846404,
3,109,"I",3,2.73126203871369,5.22925029742816,"I",4,4.94417416061353,4.95277485991783,
3,110,"vi",4,4.92256653740887,5.08771762363531,"vi",3,4.71520671583303,5.36010830551291,
3,111,"vi",4,3.33483555396492,5.03505017436996,"vi",4,3.33483555396492,5.03505017436996,
,,,,,,,,,,
4,109,"I",3,2.73126203871369,5.22925029742816,"I",3,2.73126203871369,5.22925029742816,
4,110,"vi",4,4.92256653740887,5.08771762363531,"vi",4,4.92256653740887,5.08771762363531,
4,111,"vi",4,3.33483555396492,5.03505017436996,"vi",4,3.33483555396492,5.03505017436996,
4,112,"IV",5,3.04259124222063,5.08751916996252,"IV",5,3.04259124222063,5.08751916996252,
4,113,"IV",6,1.60204378252247,3.85681094905317,"IV",6,1.60204378252247,3.85681094905317,
4,114,"v",7,6.95255570706946,4.37688138114156,"#ivo",7,6.95150226047947,4.37688138114156,0.00105344658998963
4,115,"V",3,4.57983036218544,4.8812768678766,"V",3,2.82241194500439,2.35434088273174,
4,116,"I",3,4.98246077540683,4.9464783823782,"I",3,2.71104231432153,4.82388395846404,
4,117,"I",3,2.73126203871369,5.22925029742816,"I",4,4.94417416061353,4.95277485991783,
4,118,"vi",4,4.92256653740887,5.08771762363531,"vi",3,4.71520671583303,5.36010830551291,
