"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"IV",2,4.57945152360567,3.68763843952478
4,"ii",3,5.70621499678228,4.79246040617138
5,"V",3,3.87829569983957,4.5558979816611
6,"I",3,2.89713549008821,5.01903782613796
7,"ii",4,4.90585510647636,5.29686600198701
8,"viio",5,7.59392007018144,4.27065383994887
9,"III",2,1.54538923830066,4.44014687343737
10,"III",3,4.91490587050513,4.02441999731602
11,"IV",2,3.84874252393724,5.21143119843403
12,"ii",3,5.520372907181,4.44380992646473
13,"V",3,3.89804543796084,4.56883578685162
14,"I",3,2.89713549008821,5.01903782613796
15,"ii",4,4.90585510647636,5.29686600198701
16,"V",5,3.29513645780232,4.27065383994887
17,"I",5,1.84321412208564,4.43798655522639
18,"I",6,2.69928880307603,4.84267394048199
19,"I",7,2.04266624151256,4.36907675524247
20,"I",8,3.30519878750215,3.88771599863445
21,"I",7,3.08852996503322,4.5446896207764
22,"I",7,1.87275881986315,4.51857207022585
23,"I",8,2.00086244215277,4.59105812966468
24,"I",9,2.30499224402572,4.80500563513919
25,"V",10,4.62381762554348,4.76507322045339
26,"V",10,1.57231853716156,3.79932831775589
27,"vi",10,3.94170609504316,4.26239235198048
28,"vi",8,3.00409806332052,2.92729240593548
29,"vi",7,5.57715609598391,3.07469485460008
30,"vi",4,3.55550651014143,5.12879762161753
31,"vi",5,3.28283636426921,5.11967231807231
32,"vi",6,2.83633941050511,4.99237879574568
33,"III",7,4.65416891887607,4.50852749401729
34,"III",6,1.77072504785333,4.37535101268673
35,"IV",5,3.20889423567683,4.44788179088487
36,"ii",4,6.52979333458456,2.70594517001019
37,"V",3,3.89804543796084,4.56883578685162
38,"I",3,2.89713549008821,5.01903782613796
39,"ii",4,4.90585510647636,5.29686600198701
40,"viio",5,7.59392007018144,4.27065383994887
41,"III",2,1.54538923830066,4.44014687343737
42,"III",3,4.91490587050513,4.02441999731602
43,"IV",2,3.84874252393724,5.21143119843403
44,"ii",3,5.520372907181,4.44380992646473
45,"V",3,3.89804543796084,4.56883578685162
46,"I",3,2.89713549008821,5.01903782613796
47,"ii",4,4.90585510647636,5.29686600198701
48,"V",5,3.29513645780232,4.27065383994887
49,"I",5,1.84321412208564,4.43798655522639
50,"I",6,2.69928880307603,4.84267394048199
51,"I",7,2.04266624151256,4.36907675524247
52,"I+",8,7.82320299250295,3.88771599863445
53,"I",3,1.22774312124943,3.57772252451903
54,"I",4,4.71864369484842,4.73873502430067
55,"I",3,4.57260866902561,5.18780411788071
56,"I",3,3.70731565894407,5.34335185442716
57,"ii",4,4.55138021949587,5.22246653690241
58,"V",5,2.95087647818056,4.66185139523025
59,"vi",6,4.78069930708809,4.58070265593902
60,"vi",5,2.5346488443001,4.48931210549616
61,"vi",6,4.30420484348029,4.82313433751101
62,"vi",4,3.55550651014143,5.12879762161753
63,"vi",5,3.28283636426921,5.11967231807231
64,"II",6,4.62166741729475,4.99237879574568
65,"II",5,3.96716275519207,3.74429261657964
66,"V",4,2.7938789921914,4.9615890132713
67,"V",5,2.00978840274416,4.55049498264426
68,"IV",6,4.61293260570931,3.5066720300566
69,"ii",5,5.34761724614142,4.16491021040413
70,"V",4,3.38913714456856,4.41825357212389
71,"I",4,1.34732419780244,4.08664821301273
72,"ii",5,5.15737121102559,5.01754857706181
73,"viio",5,7.59392007018144,4.27065383994887
74,"III",2,1.54538923830066,4.44014687343737
75,"III",3,4.91490587050513,4.02441999731602
76,"IV",2,3.84874252393724,5.21143119843403
77,"ii",3,5.520372907181,4.44380992646473
78,"V",3,3.89804543796084,4.56883578685162
79,"I",3,2.89713549008821,5.01903782613796
80,"ii",4,4.90585510647636,5.29686600198701
81,"V",5,3.29513645780232,4.27065383994887
82,"r",5,3.35308044399644,4.43798655522639
83,"I",4,2.08440363159229,2.41630679210312
84,"IV",4,2.85225735024008,4.22958353391455
85,"iii",5,6.1799830278856,3.68001995565201
86,"IV",3,3.79546644681487,5.0050243077049
87,"V",4,3.42091845282376,4.9638778939583
88,"V",5,4.36372991641533,4.07682085641776
89,"I",4,3.08433396842353,4.92749641510146
90,"r",5,3.15956498182007,4.98348570433022
91,"r",5,1.20229908864335,3.03404482957122
