"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,6,"I",4,3.74996371409173,5.13823839215642,"I",4,3.74996371409173,5.13823839215642,
1,7,"I",5,1.89348737967492,4.59003735484011,"I",5,1.89348737967492,4.59003735484011,
1,8,"#io",5,7.30239810406759,4.586833121916,"#io",5,7.30239810406759,4.586833121916,
1,9,"V",2,4.14087955636012,4.13852053120057,"V",2,4.14087955636012,4.13852053120057,
1,10,"V",2,5.08430522359371,5.27426699013347,"V",2,5.08430522359371,5.27426699013347,
1,11,"I",2,4.24643240109322,5.35778938431537,"V",2,4.25042671419226,5.35778938431537,0.00399431309903786
1,12,"I",3,3.87749207391725,5.32478132345356,"I",3,3.93074497256242,5.24383098112095,
1,13,"V",4,4.33547885131244,5.24638860974726,"V",4,4.29063037409151,5.2252695964876,
1,14,"V",5,2.34477914285915,4.6707183494199,"V",5,4.11669563677514,4.80012606587996,
1,15,"V",6,3.20624492098013,4.80917000445595,"V",5,3.82144739302881,4.60135387159081,
1,16,"I",7,2.73430806064365,4.0641429739247,"I",5,2.54979404795733,4.61968504802403,
,,,,,,,,,,
2,36,"IV",6,3.68616202672861,4.59687919232896,"IV",6,3.68616202672861,4.59687919232896,
2,37,"I",6,1.7998111496186,3.92386972655094,"I",6,1.7998111496186,3.92386972655094,
2,38,"#io",7,7.34493583849115,4.85121114227217,"#io",7,7.34493583849115,4.85121114227217,
2,39,"V",2,4.14087955636012,4.13852053120057,"V",2,4.14087955636012,4.13852053120057,
2,40,"V",2,5.08430522359371,5.27426699013347,"V",2,5.08430522359371,5.27426699013347,
2,41,"V",2,4.25042671419226,5.35778938431537,"I",2,4.24643240109322,5.35778938431537,0.00399431309903786
2,42,"V",3,3.66320125704525,5.24383098112095,"V",3,4.55950824458452,5.32478132345356,
2,43,"I",4,3.61330939661597,5.12500034630356,"I",4,3.2037166732668,5.05396386139038,
2,44,"I",5,3.22764995345338,5.0775786129433,"I",5,3.04892716300001,4.94044739371389,
2,45,"V",6,3.82643241473205,5.02366715589267,"V",6,3.44817762301867,4.68190326605694,
2,46,"V",7,1.804188594055,4.15154789261641,"V",7,1.64549916158474,4.16380291670784,
,,,,,,,,,,
3,33,"V",4,2.13855836929472,4.78749370321563,"V",4,2.13855836929472,4.78749370321563,
3,34,"V",5,3.40252054407742,4.59725172075636,"V",5,3.40252054407742,4.59725172075636,
3,35,"I",5,3.19213431578355,4.86200218961277,"I",5,3.19213431578355,4.86200218961277,
3,36,"IV",6,3.68616202672861,4.59687919232896,"IV",6,3.68616202672861,4.59687919232896,
3,37,"I",6,1.7998111496186,3.92386972655094,"I",6,1.7998111496186,3.92386972655094,
3,38,"#io",7,7.34493583849115,4.85121114227217,"vo",7,7.34080795286847,4.85121114227217,0.00412788562267608
3,39,"V",2,4.14087955636012,4.13852053120057,"V",2,4.31106001843207,4.10608582993449,
3,40,"V",2,5.08430522359371,5.27426699013347,"V",2,3.29135328084207,5.27928646139678,
3,41,"V",2,4.25042671419226,5.35778938431537,"V",3,2.21565347971812,4.94287461124922,
3,42,"V",3,3.66320125704525,5.24383098112095,"V",4,3.88795753929526,4.95596914075337,
3,43,"I",4,3.61330939661597,5.12500034630356,"I",4,3.61330939661597,5.12500034630356,
,,,,,,,,,,
4,26,"IV",6,3.68616202672861,4.59687919232896,"IV",6,3.68616202672861,4.59687919232896,
4,27,"I",6,1.7998111496186,3.92386972655094,"I",6,1.7998111496186,3.92386972655094,
4,28,"vi",7,4.45848625834975,4.85121114227217,"vi",7,4.45848625834975,4.85121114227217,
4,29,"III",6,6.6951215374285,4.16887199953431,"III",6,6.6951215374285,4.16887199953431,
4,30,"vi",3,1.44742905343212,4.26733084611816,"vi",3,1.44742905343212,4.26733084611816,
4,31,"IV",4,5.62365275633957,3.86455405133774,"V",4,5.60921214740767,3.86455405133774,0.0144406089318982
4,32,"IV",3,3.41242273271804,5.13120484845989,"IV",3,2.88104684341727,4.81817134760315,
4,33,"V",4,2.13855836929472,4.78749370321563,"V",4,2.64152223180272,4.63954382239474,
4,34,"V",5,3.40252054407742,4.59725172075636,"V",5,4.70506803874103,4.49338337873583,
4,35,"I",5,3.19213431578355,4.86200218961277,"I",4,3.18771232156932,4.94731507449325,
4,36,"IV",6,3.68616202672861,4.59687919232896,"IV",5,2.84236082541845,4.72795374924959,
,,,,,,,,,,
5,16,"I",7,2.73430806064365,4.0641429739247,"I",7,2.73430806064365,4.0641429739247,
5,17,"I",7,3.13183469002542,3.60740809106798,"I",7,3.13183469002542,3.60740809106798,
5,18,"vi",7,4.50821977048225,4.95685991091627,"vi",7,4.50821977048225,4.95685991091627,
5,19,"III",6,6.2851956259521,4.34034018834334,"III",6,6.2851956259521,4.34034018834334,
5,20,"vi",3,0.38447701598744,2.01091447785568,"vi",3,0.38447701598744,2.01091447785568,
5,21,"IV",4,7.15112365836415,1.71436229554849,"V",4,7.13668304943225,1.71436229554849,0.0144406089318991
5,22,"IV",3,3.41242273271804,5.13120484845989,"IV",3,2.88104684341727,4.81817134760315,
5,23,"V",4,2.13855836929472,4.78749370321563,"V",4,2.64152223180272,4.63954382239474,
5,24,"V",5,3.40252054407742,4.59725172075636,"V",5,4.70506803874103,4.49338337873583,
5,25,"I",5,3.19213431578355,4.86200218961277,"I",4,3.18771232156932,4.94731507449325,
5,26,"IV",6,3.68616202672861,4.59687919232896,"IV",5,2.84236082541845,4.72795374924959,
,,,,,,,,,,
6,48,"I",9,2.99275443457532,3.05606311310385,"I",9,2.99275443457532,3.05606311310385,
6,49,"I",7,3.13183469002542,3.60740809106798,"I",7,3.13183469002542,3.60740809106798,
6,50,"vi",7,4.50821977048225,4.95685991091627,"vi",7,4.50821977048225,4.95685991091627,
6,51,"III",6,6.2851956259521,4.34034018834334,"III",6,6.2851956259521,4.34034018834334,
6,52,"vi",3,0.38447701598744,2.01091447785568,"vi",3,0.38447701598744,2.01091447785568,
6,53,"IV",4,7.15112365836415,1.71436229554849,"V",4,7.13668304943225,1.71436229554849,0.0144406089318991
6,54,"IV",3,3.41242273271804,5.13120484845989,"IV",3,2.88104684341727,4.81817134760315,
6,55,"V",4,2.13855836929472,4.78749370321563,"V",4,2.64152223180272,4.63954382239474,
6,56,"V",5,3.40252054407742,4.59725172075636,"V",5,4.70506803874103,4.49338337873583,
6,57,"I",5,3.19213431578355,4.86200218961277,"I",4,3.18771232156932,4.94731507449325,
6,58,"I",6,2.61989076446535,4.59687919232896,"I",5,3.84609344263228,4.72795374924959,
,,,,,,,,,,
7,23,"V",4,2.13855836929472,4.78749370321563,"V",4,2.13855836929472,4.78749370321563,
7,24,"V",5,3.40252054407742,4.59725172075636,"V",5,3.40252054407742,4.59725172075636,
7,25,"I",5,3.19213431578355,4.86200218961277,"I",5,3.19213431578355,4.86200218961277,
7,26,"IV",6,3.68616202672861,4.59687919232896,"IV",6,3.68616202672861,4.59687919232896,
7,27,"I",6,1.7998111496186,3.92386972655094,"I",6,1.7998111496186,3.92386972655094,
7,28,"vi",7,4.45848625834975,4.85121114227217,"-III",7,4.43947766348517,4.85121114227217,0.019008594864582
7,29,"III",6,6.6951215374285,4.16887199953431,"III",5,7.9516370091356,2.98929356373874,
7,30,"vi",3,1.44742905343212,4.26733084611816,"vi",2,4.71294686293935,5.09410940893997,
7,31,"IV",4,5.62365275633957,3.86455405133774,"IV",2,4.70581010905125,5.26183398829515,
7,32,"IV",3,3.41242273271804,5.13120484845989,"IV",3,3.41242273271804,5.13120484845989,
7,33,"V",4,2.13855836929472,4.78749370321563,"V",4,2.13855836929472,4.78749370321563,
,,,,,,,,,,
8,17,"I",7,3.13183469002542,3.60740809106798,"I",7,3.13183469002542,3.60740809106798,
8,18,"vi",7,4.50821977048225,4.95685991091627,"vi",7,4.50821977048225,4.95685991091627,
8,19,"III",6,6.2851956259521,4.34034018834334,"III",6,6.2851956259521,4.34034018834334,
8,20,"vi",3,0.38447701598744,2.01091447785568,"vi",3,0.38447701598744,2.01091447785568,
8,21,"IV",4,7.15112365836415,1.71436229554849,"IV",4,7.15112365836415,1.71436229554849,
8,22,"IV",3,3.41242273271804,5.13120484845989,"V",3,3.38883405601958,5.13120484845989,0.0235886766984663
8,23,"V",4,2.13855836929472,4.78749370321563,"V",4,3.98157288494143,4.63418430445151,
8,24,"V",5,3.40252054407742,4.59725172075636,"V",4,3.21719714423208,4.84346847594718,
8,25,"I",5,3.19213431578355,4.86200218961277,"I",5,2.88829375903301,4.6767169244993,
8,26,"IV",6,3.68616202672861,4.59687919232896,"IV",6,3.4481487315677,4.55356142859364,
8,27,"I",6,1.7998111496186,3.92386972655094,"I",6,2.19556998646627,4.00811113976699,
,,,,,,,,,,
9,27,"I",6,1.7998111496186,3.92386972655094,"I",6,1.7998111496186,3.92386972655094,
9,28,"vi",7,4.45848625834975,4.85121114227217,"vi",7,4.45848625834975,4.85121114227217,
9,29,"III",6,6.6951215374285,4.16887199953431,"III",6,6.6951215374285,4.16887199953431,
9,30,"vi",3,1.44742905343212,4.26733084611816,"vi",3,1.44742905343212,4.26733084611816,
9,31,"IV",4,5.62365275633957,3.86455405133774,"IV",4,5.62365275633957,3.86455405133774,
