"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"IV",1,4.80290618807671,4.04465863263071
3,"IV",2,3.31846947031802,5.1898900505182
4,"-VII",3,5.26810819240776,4.79972866105069
5,"-VII",3,3.20869882339464,5.07427412712527
6,"I",4,3.74996371409173,5.13823839215642
7,"I",5,1.89348737967492,4.59003735484011
8,"#io",5,7.30239810406759,4.586833121916
9,"V",2,4.14087955636012,4.13852053120057
10,"V",2,5.08430522359371,5.27426699013347
11,"I",2,4.24643240109322,5.35778938431537
12,"I",3,3.87749207391725,5.32478132345356
13,"V",4,4.33547885131244,5.24638860974726
14,"V",5,2.34477914285915,4.6707183494199
15,"V",6,3.20624492098013,4.80917000445595
16,"I",7,2.73430806064365,4.0641429739247
17,"I",7,3.13183469002542,3.60740809106798
18,"vi",7,4.50821977048225,4.95685991091627
19,"III",6,6.2851956259521,4.34034018834334
20,"vi",3,0.38447701598744,2.01091447785568
21,"IV",4,7.15112365836415,1.71436229554849
22,"IV",3,3.41242273271804,5.13120484845989
23,"V",4,2.13855836929472,4.78749370321563
24,"V",5,3.40252054407742,4.59725172075636
25,"I",5,3.19213431578355,4.86200218961277
26,"IV",6,3.68616202672861,4.59687919232896
27,"I",6,1.7998111496186,3.92386972655094
28,"vi",7,4.45848625834975,4.85121114227217
29,"III",6,6.6951215374285,4.16887199953431
30,"vi",3,1.44742905343212,4.26733084611816
31,"IV",4,5.62365275633957,3.86455405133774
32,"IV",3,3.41242273271804,5.13120484845989
33,"V",4,2.13855836929472,4.78749370321563
34,"V",5,3.40252054407742,4.59725172075636
35,"I",5,3.19213431578355,4.86200218961277
36,"IV",6,3.68616202672861,4.59687919232896
37,"I",6,1.7998111496186,3.92386972655094
38,"#io",7,7.34493583849115,4.85121114227217
39,"V",2,4.14087955636012,4.13852053120057
40,"V",2,5.08430522359371,5.27426699013347
41,"V",2,4.25042671419226,5.35778938431537
42,"V",3,3.66320125704525,5.24383098112095
43,"I",4,3.61330939661597,5.12500034630356
44,"I",5,3.22764995345338,5.0775786129433
45,"V",6,3.82643241473205,5.02366715589267
46,"V",7,1.804188594055,4.15154789261641
47,"V",8,2.39427738096887,4.26541039490966
48,"I",9,2.99275443457532,3.05606311310385
49,"I",7,3.13183469002542,3.60740809106798
50,"vi",7,4.50821977048225,4.95685991091627
51,"III",6,6.2851956259521,4.34034018834334
52,"vi",3,0.38447701598744,2.01091447785568
53,"IV",4,7.15112365836415,1.71436229554849
54,"IV",3,3.41242273271804,5.13120484845989
55,"V",4,2.13855836929472,4.78749370321563
56,"V",5,3.40252054407742,4.59725172075636
57,"I",5,3.19213431578355,4.86200218961277
58,"I",6,2.61989076446535,4.59687919232896
59,"IV",7,4.32681571653903,4.94720859120434
60,"I",7,4.17202975262254,4.60984516328483
61,"r",6,2.84241430230755,4.3989925407574
62,"r",5,0.994764364715081,2.90784113272499
