"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"V",2,4.23021452542305,3.68815118018717
4,"V",3,1.86054199515185,3.90561337399195
5,"V",4,2.4768647303092,4.47601432883335
6,"V",4,0.551167783312482,2.57151177226428
7,"I",6,2.90939429437117,4.5365328373005
8,"IV",7,4.56034452472215,4.28668528246063
9,"I",6,2.30119540444186,4.48969225995825
10,"IV",7,2.6997083581424,4.84243755709658
11,"I",7,0.703748161038207,2.88602028804534
12,"IV",8,0.728353315579184,2.92743728329859
13,"I",10,2.03431223518772,4.29090512982466
14,"IV",10,1.259143740754,3.81192479464271
15,"IV",10,4.88584382650928,3.77069600231646
16,"IV",9,2.37847069116937,4.42387207840616
17,"IV",10,2.53937407996064,4.44190556977987
18,"IV",8,3.51405346717655,2.49522807620991
19,"I",8,2.75290790580605,4.61899337970516
20,"vi",7,4.85705554565052,3.92501948079585
21,"I",5,3.88603640380398,3.96847731818066
22,"vi",5,0.995262229954244,3.31151490659495
23,"I",6,2.50956620022618,4.6563160100265
24,"IV",6,4.13722026050655,2.8740979218481
25,"I",5,3.61308301889923,3.41508612860368
26,"IV",5,4.4018712453998,4.89618652062891
27,"I",5,2.33672063560095,4.87074591187879
28,"IV",6,2.38618013634004,4.93791427717726
29,"I",7,2.10150465929486,4.67227939401893
30,"IV",8,2.27936656092204,4.76629090877176
31,"IV",9,4.11560549474211,4.88484243238407
32,"IV",9,2.37847069116937,4.42387207840616
33,"IV",10,2.53937407996064,4.44190556977987
34,"IV",8,3.51405346717655,2.49522807620991
35,"I",8,2.75290790580605,4.61899337970516
36,"vi",7,4.85705554565052,3.92501948079585
37,"I",5,3.88603640380398,3.96847731818066
38,"vi",5,0.995262229954244,3.31151490659495
39,"V",6,3.21473071653598,4.6563160100265
40,"V",6,3.63747875199837,3.84736168563816
41,"V",6,2.65588782766407,4.44518608893642
42,"V",6,1.90433937561113,4.62997856925392
43,"V",6,1.62242563714987,4.32771767961916
44,"IV",6,4.83067722397865,4.03062921119758
45,"ii",6,5.3452591550264,4.28339541826465
46,"IV",4,3.80740659434893,4.35516846032718
47,"ii",4,3.20950901082752,4.60802675962241
48,"IV",4,3.80402570820453,3.99892614769014
49,"ii",4,4.32408296899392,4.34010241319041
50,"IV",4,3.80402570820453,3.99892614769014
51,"ii",4,4.32408296899392,4.34010241319041
52,"IV",4,3.80402570820453,3.99892614769014
53,"I",4,1.69084667909365,4.34010241319041
54,"I",5,2.01033723586615,4.69808708303927
55,"vi",6,5.09710419251649,4.97357573010058
56,"IV",5,1.90938159740604,4.5315843747951
57,"I",6,3.26207605317054,4.22297578372582
58,"I",6,1.9681149795626,4.24097293977249
59,"IV",7,4.57098988643758,4.86750429342941
60,"ii",5,5.30281174025991,4.83920288878358
61,"IV",4,4.06668723238322,4.5711359180749
62,"ii",4,4.21173788238799,4.68574294875526
63,"IV",4,3.80402570820453,3.99892614769014
64,"ii",4,4.32408296899392,4.34010241319041
65,"IV",4,3.80402570820453,3.99892614769014
66,"ii",4,4.32408296899392,4.34010241319041
67,"IV",4,3.80402570820453,3.99892614769014
68,"I",4,1.69084667909365,4.34010241319041
69,"I",5,2.01033723586615,4.69808708303927
70,"vi",6,5.09710419251649,4.97357573010058
71,"IV",5,1.90938159740604,4.5315843747951
