"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53054875818109,5.47627240628701
2,"I",1,1.74864089588333,4.04693558372562
3,"I",2,2.20032183471548,4.79863444987796
4,"I",3,1.98142002549362,4.76192647539815
5,"ii",4,5.13431921265486,4.42775120632485
6,"iio",5,5.05280952050912,4.73467468309397
7,"I",3,4.78261250694576,2.03439944691222
8,"I",3,1.4619045561996,4.3748941305504
9,"ii",4,4.30876251951531,4.8124727461329
10,"iio",4,5.32769814046553,4.91806145597138
11,"I",3,4.78261250694576,2.03439944691222
12,"I",3,1.4619045561996,4.3748941305504
13,"ii",4,4.30876251951531,4.8124727461329
14,"iio",4,5.32769814046553,4.91806145597138
15,"I",3,4.78261250694576,2.03439944691222
16,"I",3,1.4619045561996,4.3748941305504
17,"ii",4,4.30876251951531,4.8124727461329
18,"iio",4,5.32769814046553,4.91806145597138
19,"I",3,4.78261250694576,2.03439944691222
20,"I",3,1.4619045561996,4.3748941305504
21,"ii",4,4.30876251951531,4.8124727461329
22,"iio",4,5.32769814046553,4.91806145597138
23,"vi",3,8.36091308745081,2.03439944691222
24,"vi",1,4.80732454153555,5.45966583293588
25,"II",2,4.65329687018809,5.38620641515249
26,"V",3,3.45821954312108,4.76711445395226
27,"V",4,2.29355094967702,4.62700607881593
28,"iii",5,5.84090918133148,3.84240213317452
29,"vi",4,2.77126713245804,4.83138202644019
30,"I",5,5.26126355642178,4.18679051153122
31,"II",4,5.59443775210796,4.25692566817914
32,"V",3,3.00089603938144,4.78485262526631
33,"V",4,1.81747147214904,4.48066511237669
34,"iii",5,5.9087981815704,3.64199817129643
35,"vi",4,2.77126713245804,4.83138202644019
36,"I",5,5.26126355642178,4.18679051153122
37,"II",4,5.59443775210796,4.25692566817914
38,"V",3,3.00089603938144,4.78485262526631
39,"V",4,1.81747147214904,4.48066511237669
40,"iii",5,5.9087981815704,3.64199817129643
41,"vi",4,2.77126713245804,4.83138202644019
42,"I",5,5.26126355642178,4.18679051153122
43,"II",4,5.59443775210796,4.25692566817914
44,"V",3,3.00089603938144,4.78485262526631
45,"ii",4,6.05601996543423,4.48066511237669
46,"-III",3,5.08984832704531,4.85965300577655
47,"V",3,6.24498166207076,3.92311402786971
48,"I",2,3.75374543243131,5.14558537919189
49,"ii",3,5.46805373482954,5.24474085164147
50,"iio",3,6.39859374169982,5.03154720143266
51,"I",3,3.19843467860747,4.54308720710289
52,"I",3,1.4619045561996,4.3748941305504
53,"ii",4,4.30876251951531,4.8124727461329
54,"iio",4,5.32769814046553,4.91806145597138
55,"vi",3,8.36091308745081,2.03439944691222
56,"vi",1,4.80732454153555,5.45966583293588
57,"II",2,4.65329687018809,5.38620641515249
58,"V",3,3.45821954312108,4.76711445395226
59,"V",4,2.29355094967702,4.62700607881593
60,"iii",5,5.84090918133148,3.84240213317452
61,"vi",4,2.77126713245804,4.83138202644019
62,"I",5,5.26126355642178,4.18679051153122
63,"II",4,5.59443775210796,4.25692566817914
64,"V",3,3.00089603938144,4.78485262526631
65,"V",4,1.81747147214904,4.48066511237669
66,"iii",5,5.9087981815704,3.64199817129643
67,"vi",4,2.77126713245804,4.83138202644019
68,"I",5,5.26126355642178,4.18679051153122
69,"II",4,5.59443775210796,4.25692566817914
70,"V",3,3.00089603938144,4.78485262526631
71,"V",4,1.81747147214904,4.48066511237669
72,"iii",5,5.9087981815704,3.64199817129643
73,"vi",4,2.77126713245804,4.83138202644019
74,"I",5,5.26126355642178,4.18679051153122
75,"II",4,5.59443775210796,4.25692566817914
76,"V",3,3.00089603938144,4.78485262526631
77,"ii",4,6.05601996543423,4.48066511237669
78,"-III",3,5.08984832704531,4.85965300577655
79,"V",3,6.24498166207076,3.92311402786971
80,"V",2,3.17540317244447,5.14558537919189
81,"V",3,3.47495071116004,5.15794512979248
82,"iii",4,5.16811086331458,4.96367410535668
83,"vi",4,3.37808484411297,4.90097016974029
84,"I",5,5.26126355642178,4.18679051153122
85,"II",4,5.59443775210796,4.25692566817914
86,"V",3,3.00089603938144,4.78485262526631
87,"V",4,1.81747147214904,4.48066511237669
88,"iii",5,5.9087981815704,3.64199817129643
89,"vi",4,2.77126713245804,4.83138202644019
90,"I",5,5.26126355642178,4.18679051153122
91,"II",4,5.59443775210796,4.25692566817914
92,"V",3,3.00089603938144,4.78485262526631
93,"V",4,1.81747147214904,4.48066511237669
94,"iii",5,5.9087981815704,3.64199817129643
95,"vi",4,2.77126713245804,4.83138202644019
96,"I",5,5.26126355642178,4.18679051153122
97,"II",4,5.59443775210796,4.25692566817914
98,"V",3,3.00089603938144,4.78485262526631
99,"V",4,1.81747147214904,4.48066511237669
100,"iii",5,5.9087981815704,3.64199817129643
101,"vi",4,2.77126713245804,4.83138202644019
102,"I",5,5.26126355642178,4.18679051153122
103,"II",4,5.59443775210796,4.25692566817914
104,"r",3,3.24732971672506,4.78485262526631
105,"r",3,0.979478098784165,2.76809248019259
