"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,39,"I",3,4.22536715126251,5.38635177564751,"I",3,4.22536715126251,5.38635177564751,
1,40,"-VI",4,5.63505845656155,5.0920520108582,"-VI",4,5.63505845656155,5.0920520108582,
1,41,"iv",4,5.31699266366785,4.81935875836421,"iv",4,5.31699266366785,4.81935875836421,
1,42,"V",3,4.76873673436942,5.09459826698086,"V",3,4.76873673436942,5.09459826698086,
1,43,"I",3,3.39693705127364,5.01983320227781,"I",3,3.39693705127364,5.01983320227781,
1,44,"I",4,4.10189486731184,5.23325562360291,"III",4,4.10119099384513,5.23325562360291,0.000703873466712857
1,45,"I",4,4.28941073169387,5.15832179766745,"I",4,6.6015265208736,3.21704207512089,
1,46,"-VI",4,5.30682788829225,5.18658953622938,"-VI",2,5.88043333324509,5.3868272023956,
1,47,"I",5,5.72057371524331,4.04313928642857,"I",2,4.6772963259272,5.3141802550441,
1,48,"I",3,4.55699499118909,5.22816632900898,"I",3,4.55699499118909,5.22816632900898,
1,49,"I",3,4.22536715126251,5.38635177564751,"I",3,4.22536715126251,5.38635177564751,
,,,,,,,,,,
2,57,"I",3,4.22536715126251,5.38635177564751,"I",3,4.22536715126251,5.38635177564751,
2,58,"-VI",4,5.63505845656155,5.0920520108582,"-VI",4,5.63505845656155,5.0920520108582,
2,59,"iv",4,5.31699266366785,4.81935875836421,"iv",4,5.31699266366785,4.81935875836421,
2,60,"V",3,4.76873673436942,5.09459826698086,"V",3,4.76873673436942,5.09459826698086,
2,61,"I",3,3.39693705127364,5.01983320227781,"I",3,3.39693705127364,5.01983320227781,
2,62,"I",4,4.10189486731184,5.23325562360291,"III",4,4.10119099384513,5.23325562360291,0.000703873466712857
2,63,"I",4,4.28941073169387,5.15832179766745,"I",4,6.6015265208736,3.21704207512089,
2,64,"-VI",4,5.30682788829225,5.18658953622938,"-VI",2,5.88043333324509,5.3868272023956,
2,65,"I",5,5.72057371524331,4.04313928642857,"I",2,4.6772963259272,5.3141802550441,
2,66,"I",3,4.55699499118909,5.22816632900898,"I",3,4.55699499118909,5.22816632900898,
2,67,"I",3,4.22536715126251,5.38635177564751,"I",3,4.22536715126251,5.38635177564751,
,,,,,,,,,,
3,38,"I",3,4.55699499118909,5.22816632900898,"I",3,4.55699499118909,5.22816632900898,
3,39,"I",3,4.22536715126251,5.38635177564751,"I",3,4.22536715126251,5.38635177564751,
3,40,"-VI",4,5.63505845656155,5.0920520108582,"-VI",4,5.63505845656155,5.0920520108582,
3,41,"iv",4,5.31699266366785,4.81935875836421,"iv",4,5.31699266366785,4.81935875836421,
3,42,"V",3,4.76873673436942,5.09459826698086,"V",3,4.76873673436942,5.09459826698086,
3,43,"I",3,3.39693705127364,5.01983320227781,"V",3,3.39171232063191,5.01983320227781,0.0052247306417299
3,44,"I",4,4.10189486731184,5.23325562360291,"I",4,3.60147128812663,4.41271134971054,
3,45,"I",4,4.28941073169387,5.15832179766745,"I",4,2.17547742349289,4.80144825454795,
3,46,"-VI",4,5.30682788829225,5.18658953622938,"-VI",5,5.48943090056788,5.11342393315796,
3,47,"I",5,5.72057371524331,4.04313928642857,"I",5,6.25334598665509,3.20220471360047,
3,48,"I",3,4.55699499118909,5.22816632900898,"I",3,4.55699499118909,5.22816632900898,
,,,,,,,,,,
4,56,"I",3,4.55699499118909,5.22816632900898,"I",3,4.55699499118909,5.22816632900898,
4,57,"I",3,4.22536715126251,5.38635177564751,"I",3,4.22536715126251,5.38635177564751,
4,58,"-VI",4,5.63505845656155,5.0920520108582,"-VI",4,5.63505845656155,5.0920520108582,
4,59,"iv",4,5.31699266366785,4.81935875836421,"iv",4,5.31699266366785,4.81935875836421,
4,60,"V",3,4.76873673436942,5.09459826698086,"V",3,4.76873673436942,5.09459826698086,
4,61,"I",3,3.39693705127364,5.01983320227781,"V",3,3.39171232063191,5.01983320227781,0.0052247306417299
4,62,"I",4,4.10189486731184,5.23325562360291,"I",4,3.60147128812663,4.41271134971054,
4,63,"I",4,4.28941073169387,5.15832179766745,"I",4,2.17547742349289,4.80144825454795,
4,64,"-VI",4,5.30682788829225,5.18658953622938,"-VI",5,5.48943090056788,5.11342393315796,
4,65,"I",5,5.72057371524331,4.04313928642857,"I",5,6.25334598665509,3.20220471360047,
4,66,"I",3,4.55699499118909,5.22816632900898,"I",3,4.55699499118909,5.22816632900898,
,,,,,,,,,,
5,40,"-VI",4,5.63505845656155,5.0920520108582,"-VI",4,5.63505845656155,5.0920520108582,
5,41,"iv",4,5.31699266366785,4.81935875836421,"iv",4,5.31699266366785,4.81935875836421,
5,42,"V",3,4.76873673436942,5.09459826698086,"V",3,4.76873673436942,5.09459826698086,
5,43,"I",3,3.39693705127364,5.01983320227781,"I",3,3.39693705127364,5.01983320227781,
5,44,"I",4,4.10189486731184,5.23325562360291,"I",4,4.10189486731184,5.23325562360291,
5,45,"I",4,4.28941073169387,5.15832179766745,"iii",4,4.26773953928566,5.15832179766745,0.0216711924082151
5,46,"-VI",4,5.30682788829225,5.18658953622938,"-VI",5,7.6760267854982,4.00470421421065,
5,47,"I",5,5.72057371524331,4.04313928642857,"I",1,5.00692694795162,5.44398958677769,
5,48,"I",3,4.55699499118909,5.22816632900898,"I",2,4.30967428784993,5.42967117152029,
5,49,"I",3,4.22536715126251,5.38635177564751,"I",3,4.22536715126251,5.38635177564751,
5,50,"-VI",4,5.63505845656155,5.0920520108582,"-VI",4,5.63505845656155,5.0920520108582,
,,,,,,,,,,
6,58,"-VI",4,5.63505845656155,5.0920520108582,"-VI",4,5.63505845656155,5.0920520108582,
6,59,"iv",4,5.31699266366785,4.81935875836421,"iv",4,5.31699266366785,4.81935875836421,
6,60,"V",3,4.76873673436942,5.09459826698086,"V",3,4.76873673436942,5.09459826698086,
6,61,"I",3,3.39693705127364,5.01983320227781,"I",3,3.39693705127364,5.01983320227781,
6,62,"I",4,4.10189486731184,5.23325562360291,"I",4,4.10189486731184,5.23325562360291,
6,63,"I",4,4.28941073169387,5.15832179766745,"iii",4,4.26773953928566,5.15832179766745,0.0216711924082151
6,64,"-VI",4,5.30682788829225,5.18658953622938,"-VI",5,7.6760267854982,4.00470421421065,
6,65,"I",5,5.72057371524331,4.04313928642857,"I",1,5.00692694795162,5.44398958677769,
6,66,"I",3,4.55699499118909,5.22816632900898,"I",2,4.30967428784993,5.42967117152029,
6,67,"I",3,4.22536715126251,5.38635177564751,"I",3,4.22536715126251,5.38635177564751,
6,68,"-VI",4,5.63505845656155,5.0920520108582,"-VI",4,5.63505845656155,5.0920520108582,
,,,,,,,,,,
7,21,"I",10,0.487948486943598,2.16456348332385,"I",10,0.487948486943598,2.16456348332385,
7,22,"I",10,0.487948486943598,2.16456348332385,"I",10,0.487948486943598,2.16456348332385,
7,23,"i",10,7.73492513635799,2.16456348332385,"i",10,7.73492513635799,2.16456348332385,
7,24,"i",5,2.27151567497021,4.53863815029076,"i",5,2.27151567497021,4.53863815029076,
