"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"V",2,3.96088151639943,4.79670005186907
4,"IV",3,3.11883586301051,4.44549684995747
5,"I",4,2.24381023680754,4.33168427785954
6,"V",5,1.82065471554845,4.29357796836327
7,"IV",6,0.9438121997596,3.19852812970894
8,"I",7,1.93759115341234,4.09963812805593
9,"V",8,1.47651075193938,3.90796390336444
10,"IV",9,0.827259497943102,2.832909753263
11,"V",10,4.50355300045309,2.98036103210264
12,"I",6,1.53807712255131,3.90101325257379
13,"V",7,2.23284610187718,4.70565126642826
14,"IV",7,1.6124334418105,3.86719261844685
15,"V",8,1.64711253025409,4.06453271968375
16,"I",9,1.71973748514591,4.2652475112634
17,"V",10,1.55534783916646,4.08397604258831
18,"IV",10,0.161694620095557,0.935721941035186
19,"V",10,0.623320376963004,2.50718107952333
20,"I",10,0.471185773676603,2.17623866975691
21,"V",10,0.534881051846409,2.24056232559866
22,"IV",10,0.161694620095557,0.935721941035186
23,"V",10,0.623320376963004,2.50718107952333
24,"vi",10,5.13019942394241,2.17623866975691
25,"I",5,4.84702939164667,3.24607473828212
26,"ii",5,5.67915171953077,3.99764388372243
27,"IV",3,4.68935655166954,4.90083766539692
28,"V",3,2.67304959648003,4.50398402619283
29,"IV",4,4.10329848971933,4.84506572679484
30,"V",4,0.227092865500793,1.33315364894555
31,"I",6,2.91557665628865,4.78270466499969
32,"V",7,3.82366746786566,4.92339065064372
33,"IV",6,2.49189046786773,4.22188951445263
34,"V",7,1.30222239937303,3.71460461735576
35,"I",8,2.11838361625673,4.34880346683501
36,"V",9,1.55534783916646,4.08397604258831
37,"IV",10,0.954813065982788,3.04434307888056
38,"V",10,0.623320376963004,2.50718107952333
39,"I",10,0.471185773676603,2.17623866975691
40,"V",10,0.534881051846409,2.24056232559866
41,"vi",10,6.24889034009558,0.935721941035186
42,"IV",6,4.3913254241703,4.54219456119733
43,"I",6,3.7769562220525,3.45277221332309
44,"V",5,2.44856166269805,4.59269554826344
45,"IV",5,6.8924666538677,0.651160137065074
46,"I",5,2.11418350150081,4.45682426365498
47,"V",6,3.63989648146972,4.17899741315157
48,"IV",6,1.98468821137196,4.12168503380448
49,"V",7,3.8834394827441,3.91521391270754
50,"I",6,1.53807712255131,3.90101325257379
51,"V",7,2.23284610187718,4.70565126642826
52,"IV",7,1.6124334418105,3.86719261844685
53,"V",8,1.64711253025409,4.06453271968375
54,"I",9,1.71973748514591,4.2652475112634
55,"V",10,1.55534783916646,4.08397604258831
56,"IV",10,0.161694620095557,0.935721941035186
57,"V",10,0.623320376963004,2.50718107952333
58,"I",10,0.471185773676603,2.17623866975691
59,"V",10,0.534881051846409,2.24056232559866
60,"IV",10,0.161694620095557,0.935721941035186
61,"V",10,0.623320376963004,2.50718107952333
62,"I",10,0.471185773676603,2.17623866975691
63,"V",10,0.534881051846409,2.24056232559866
64,"IV",10,0.161694620095557,0.935721941035186
65,"V",10,0.623320376963004,2.50718107952333
66,"vi",10,5.13019942394241,2.17623866975691
67,"I",5,4.84702939164667,3.24607473828212
68,"ii",5,5.67915171953077,3.99764388372243
69,"IV",3,4.68935655166954,4.90083766539692
70,"V",3,2.67304959648003,4.50398402619283
71,"IV",4,4.10329848971933,4.84506572679484
72,"V",4,0.227092865500793,1.33315364894555
73,"I",6,2.91557665628865,4.78270466499969
74,"V",7,3.82366746786566,4.92339065064372
75,"IV",6,2.49189046786773,4.22188951445263
76,"V",7,1.30222239937303,3.71460461735576
77,"I",8,2.11838361625673,4.34880346683501
78,"V",9,1.55534783916646,4.08397604258831
