"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,26,"I",10,1.50083766052025,3.91560379135814,"I",10,1.50083766052025,3.91560379135814,
1,27,"I",9,0.707478793139092,2.78194726746581,"I",9,0.707478793139092,2.78194726746581,
1,28,"I",10,1.25236711336584,3.2729410517075,"I",10,1.25236711336584,3.2729410517075,
1,29,"I",10,2.59757754780936,4.43160823508156,"I",10,2.59757754780936,4.43160823508156,
1,30,"V",10,5.0210624012861,4.27021250349019,"V",10,5.0210624012861,4.27021250349019,
1,31,"V",9,2.48580886092933,4.37443489416227,"I",9,2.48705257046963,4.37443489416227,0.00124370954030217
1,32,"V",10,3.50808220221722,4.78729409706403,"V",10,2.63277837962058,4.1443389076851,
1,33,"V",7,0.151596649410682,0.926337201662917,"V",9,3.6176580824331,2.41651133819756,
1,34,"I",10,2.81070869745571,3.3697687593339,"I",9,2.14850901422991,4.37491857617346,
1,35,"I",10,1.08057463951374,3.28795056964122,"I",7,2.99885630156544,4.05883280060109,
1,36,"iii",10,5.52327424765121,3.6661559937062,"iii",7,5.67357783621221,4.75266652134457,
,,,,,,,,,,
2,65,"I",7,1.51652693689085,4.17718003063855,"I",7,1.51652693689085,4.17718003063855,
2,66,"I",8,2.13172584134916,4.49148031765462,"I",8,2.13172584134916,4.49148031765462,
2,67,"I",9,1.16213095935919,3.61004946393117,"I",9,1.16213095935919,3.61004946393117,
2,68,"I",10,1.14850879353554,3.68480648179833,"I",10,1.14850879353554,3.68480648179833,
2,69,"V",10,5.26506277653188,3.82663006958689,"V",10,5.26506277653188,3.82663006958689,
2,70,"V",9,2.48580886092933,4.37443489416227,"I",9,2.48705257046963,4.37443489416227,0.00124370954030217
2,71,"V",10,3.50808220221722,4.78729409706403,"V",10,2.63277837962058,4.1443389076851,
2,72,"V",7,0.151596649410682,0.926337201662917,"V",9,3.6176580824331,2.41651133819756,
2,73,"I",10,2.81070869745571,3.3697687593339,"I",9,2.14850901422991,4.37491857617346,
2,74,"I",10,1.08057463951374,3.28795056964122,"I",7,2.99885630156544,4.05883280060109,
2,75,"iii",10,5.52327424765121,3.6661559937062,"iii",7,5.67357783621221,4.75266652134457,
,,,,,,,,,,
3,111,"I",6,3.35921692276808,4.39560287574081,"I",6,3.35921692276808,4.39560287574081,
3,112,"I",6,1.89434350588825,4.62965342721123,"I",6,1.89434350588825,4.62965342721123,
3,113,"I",6,0.651586992444956,2.802321431669,"I",6,0.651586992444956,2.802321431669,
3,114,"I",8,1.32029428916701,3.81985914539405,"I",8,1.32029428916701,3.81985914539405,
3,115,"I",8,0.534139952284722,2.41883789260983,"I",8,0.534139952284722,2.41883789260983,
3,116,"vi",9,5.41128541019101,3.06984062056547,"ii",9,5.40716824667942,3.06984062056547,0.00411716351158997
3,117,"V",8,5.14197490287424,1.93276683318318,"V",9,2.30849827577471,3.49152421187435,
3,118,"V",8,2.24919546640243,4.18209717505763,"V",9,3.99582326385911,3.92971224769155,
3,119,"I",8,3.42416277499878,3.81403095489435,"I",6,1.04264376670019,3.3192352235336,
3,120,"I",6,3.35921692276808,4.39560287574081,"I",7,1.73456204020907,4.40715194641511,
3,121,"I",6,1.89434350588825,4.62965342721123,"I",6,1.82043370659113,4.57610312886112,
,,,,,,,,,,
4,120,"I",6,3.35921692276808,4.39560287574081,"I",6,3.35921692276808,4.39560287574081,
4,121,"I",6,1.89434350588825,4.62965342721123,"I",6,1.89434350588825,4.62965342721123,
4,122,"I",6,0.651586992444956,2.802321431669,"I",6,0.651586992444956,2.802321431669,
4,123,"I",8,1.32029428916701,3.81985914539405,"I",8,1.32029428916701,3.81985914539405,
4,124,"I",8,0.534139952284722,2.41883789260983,"I",8,0.534139952284722,2.41883789260983,
4,125,"vi",9,5.41128541019101,3.06984062056547,"ii",9,5.40716824667942,3.06984062056547,0.00411716351158997
4,126,"V",8,5.14197490287424,1.93276683318318,"V",9,2.30849827577471,3.49152421187435,
4,127,"V",8,2.24919546640243,4.18209717505763,"V",9,3.99582326385911,3.92971224769155,
4,128,"I",8,3.42416277499878,3.81403095489435,"I",6,1.04264376670019,3.3192352235336,
4,129,"I",6,3.35921692276808,4.39560287574081,"I",7,1.73456204020907,4.40715194641511,
4,130,"I",6,1.89434350588825,4.62965342721123,"I",6,1.82043370659113,4.57610312886112,
,,,,,,,,,,
5,129,"I",6,3.35921692276808,4.39560287574081,"I",6,3.35921692276808,4.39560287574081,
5,130,"I",6,1.89434350588825,4.62965342721123,"I",6,1.89434350588825,4.62965342721123,
5,131,"I",6,0.651586992444956,2.802321431669,"I",6,0.651586992444956,2.802321431669,
5,132,"I",8,1.32029428916701,3.81985914539405,"I",8,1.32029428916701,3.81985914539405,
5,133,"I",8,0.534139952284722,2.41883789260983,"I",8,0.534139952284722,2.41883789260983,
5,134,"vi",9,5.41128541019101,3.06984062056547,"ii",9,5.40716824667942,3.06984062056547,0.00411716351158997
5,135,"V",8,5.14197490287424,1.93276683318318,"V",9,2.30849827577471,3.49152421187435,
5,136,"V",8,2.24919546640243,4.18209717505763,"V",9,3.99582326385911,3.92971224769155,
5,137,"I",8,3.42416277499878,3.81403095489435,"I",6,1.04264376670019,3.3192352235336,
5,138,"I",6,3.35921692276808,4.39560287574081,"I",7,1.73456204020907,4.40715194641511,
5,139,"I",6,1.89434350588825,4.62965342721123,"I",6,1.82043370659113,4.57610312886112,
,,,,,,,,,,
6,138,"I",6,3.35921692276808,4.39560287574081,"I",6,3.35921692276808,4.39560287574081,
6,139,"I",6,1.89434350588825,4.62965342721123,"I",6,1.89434350588825,4.62965342721123,
6,140,"I",6,0.651586992444956,2.802321431669,"I",6,0.651586992444956,2.802321431669,
6,141,"I",8,1.32029428916701,3.81985914539405,"I",8,1.32029428916701,3.81985914539405,
6,142,"I",8,0.534139952284722,2.41883789260983,"I",8,0.534139952284722,2.41883789260983,
6,143,"vi",9,5.41128541019101,3.06984062056547,"ii",9,5.40716824667942,3.06984062056547,0.00411716351158997
6,144,"V",8,5.14197490287424,1.93276683318318,"V",9,2.30849827577471,3.49152421187435,
6,145,"V",8,2.24919546640243,4.18209717505763,"V",9,3.99582326385911,3.92971224769155,
6,146,"r",8,3.36856781879976,3.81403095489435,"r",6,3.49329612212635,3.3192352235336,
6,147,"r",4,0.814901989235584,2.56626526964329,"r",5,1.83082024096934,3.02525208939166,
,,,,,,,,,,
7,40,"IV",3,5.35058925357193,5.14648762192394,"IV",3,5.35058925357193,5.14648762192394,
7,41,"V",2,3.55076005733975,5.17075324074557,"V",2,3.55076005733975,5.17075324074557,
7,42,"V",3,3.08546595781555,5.08018591626204,"V",3,3.08546595781555,5.08018591626204,
7,43,"I",4,2.40345414252831,4.56836434357034,"I",4,2.40345414252831,4.56836434357034,
7,44,"I",5,2.68354523281545,4.77394617796174,"I",5,2.68354523281545,4.77394617796174,
7,45,"vi",6,4.32110270074858,4.69481317625502,"V",6,4.31684989941904,4.69481317625502,0.00425280132953798
7,46,"vi",6,1.91704115624273,4.33324685525263,"vi",6,4.5448852484359,4.30705307111622,
7,47,"V",7,5.36838047841249,4.50453356347338,"V",5,2.8647364159645,4.67732320632778,
7,48,"IV",5,3.49421460221373,4.11538328158705,"IV",6,1.86413202285674,4.07090946599596,
7,49,"IV",5,3.33895984129717,4.09070912201677,"IV",7,1.69818676178709,3.89233289478545,
7,50,"V",5,3.56813975816014,4.07728574612256,"V",7,4.45936240422453,2.23503344127478,
,,,,,,,,,,
8,79,"IV",3,5.35058925357193,5.14648762192394,"IV",3,5.35058925357193,5.14648762192394,
8,80,"V",2,3.55076005733975,5.17075324074557,"V",2,3.55076005733975,5.17075324074557,
8,81,"V",3,3.08546595781555,5.08018591626204,"V",3,3.08546595781555,5.08018591626204,
8,82,"I",4,2.40345414252831,4.56836434357034,"I",4,2.40345414252831,4.56836434357034,
8,83,"I",5,2.68354523281545,4.77394617796174,"I",5,2.68354523281545,4.77394617796174,
8,84,"vi",6,4.32110270074858,4.69481317625502,"V",6,4.31684989941904,4.69481317625502,0.00425280132953798
8,85,"vi",6,1.91704115624273,4.33324685525263,"vi",6,4.5448852484359,4.30705307111622,
8,86,"V",7,5.36838047841249,4.50453356347338,"V",5,2.8647364159645,4.67732320632778,
8,87,"IV",5,3.49421460221373,4.11538328158705,"IV",6,1.86413202285674,4.07090946599596,
8,88,"IV",5,3.33895984129717,4.09070912201677,"IV",7,1.69818676178709,3.89233289478545,
8,89,"V",5,3.56813975816014,4.07728574612256,"V",7,4.45936240422453,2.23503344127478,
,,,,,,,,,,
9,57,"I",6,2.08861128370633,4.63214861988182,"I",6,2.08861128370633,4.63214861988182,
