"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"iii",1,6.83585335217583,4.04308744698792
3,"ii",2,4.02185245540214,5.26321826841021
4,"IV",3,4.37302923448434,4.66627310786357
5,"iii",3,3.45763048132251,4.66974281169075
6,"V",4,5.20373624148529,4.24138747427639
7,"V",3,3.12975045710399,5.13321156001484
8,"iii",4,4.89793290554694,4.53391261769391
9,"ii",4,6.08941697709192,4.58443653220953
10,"IV",2,4.02443487787078,5.22402898444142
11,"iii",3,3.45763048132251,4.66974281169075
12,"V",4,5.20373624148529,4.24138747427639
13,"V",3,3.12975045710399,5.13321156001484
14,"I",4,3.9240001607531,4.53391261769391
15,"iii",4,5.41682710646153,5.20088477181368
16,"IV",4,2.30245431237555,4.44674048168309
17,"I",5,2.45532261027243,4.51875559362094
18,"ii",6,5.80224785044273,3.65027731458448
19,"IV",4,4.09502933614641,4.5046399166313
20,"V",4,3.08451067240574,4.83375004798275
21,"I",5,1.98746880332288,4.26661891191584
22,"iii",6,5.66535477672753,4.95012336235278
23,"IV",4,2.63615547061873,4.55536563636539
24,"I",5,3.31353229382513,4.78297152196847
25,"ii",6,5.59403375754955,4.01107810082305
26,"IV",4,4.09502933614641,4.5046399166313
27,"V",4,3.08451067240574,4.83375004798275
28,"ii",5,6.27745770607802,4.26661891191584
29,"V",3,2.60949146093657,4.80776577908961
30,"ii",4,3.3815991713702,4.79940586691169
31,"V",5,1.29347185112678,3.7872586639601
32,"ii",6,1.81904983327242,4.23356437569208
33,"V",7,1.09748986127209,3.39388332597937
34,"ii",8,2.07010095737379,4.06331677543391
35,"iii",9,4.73927353839775,3.6073337031776
36,"III",4,4.87824010376021,4.13121678110216
37,"vi",3,1.75244404670148,4.35245281914383
38,"III",4,5.73606717237354,4.3933390797683
39,"V",3,5.84905844118126,4.44504924332414
40,"II",2,5.93927874549131,5.26977443819196
41,"vi",2,6.37189884314182,5.25314386816516
42,"III",2,5.83692803744095,5.03928456590554
43,"V",2,5.44618850158911,5.08646758238373
44,"II",2,5.93927874549131,5.26977443819196
45,"IV",2,4.29330144095238,5.25314386816516
46,"IV",3,4.35257015538649,4.92766227791184
47,"vi",3,5.39513135797571,4.94629817251873
48,"vi",3,2.00729773293398,4.47118651020378
49,"IV",4,3.15943869885615,5.05401047123677
50,"IV",5,1.71685137560106,4.2978701316722
51,"vi",6,2.73240084566529,4.36835819633738
52,"vi",4,0.498265080847023,2.29486273313717
53,"ii",7,5.37799003739916,3.14284428158088
54,"iii",5,4.6882197170502,4.51003023952192
55,"IV",4,1.16250693662313,3.37810342470651
56,"V",5,1.27915353048961,3.81981370728078
57,"V",6,2.55350511091247,4.52537867952211
58,"iii",6,5.04697061497042,4.08190463224884
59,"ii",5,6.56521095451111,3.97741467248549
60,"IV",2,4.02443487787078,5.22402898444142
61,"iii",3,3.45763048132251,4.66974281169075
62,"V",4,5.20373624148529,4.24138747427639
63,"V",3,3.12975045710399,5.13321156001484
64,"iii",4,4.89793290554694,4.53391261769391
65,"ii",4,6.08941697709192,4.58443653220953
66,"IV",2,4.02443487787078,5.22402898444142
67,"iii",3,3.45763048132251,4.66974281169075
68,"V",4,5.20373624148529,4.24138747427639
69,"V",3,3.12975045710399,5.13321156001484
70,"I",4,3.9240001607531,4.53391261769391
71,"iii",4,5.41682710646153,5.20088477181368
72,"IV",4,2.30245431237555,4.44674048168309
73,"I",5,2.45532261027243,4.51875559362094
74,"ii",6,5.80224785044273,3.65027731458448
75,"IV",4,4.09502933614641,4.5046399166313
76,"V",4,3.08451067240574,4.83375004798275
77,"I",5,1.98746880332288,4.26661891191584
78,"iii",6,5.66535477672753,4.95012336235278
79,"IV",4,2.63615547061873,4.55536563636539
80,"I",5,3.31353229382513,4.78297152196847
81,"ii",6,5.59403375754955,4.01107810082305
82,"IV",4,4.09502933614641,4.5046399166313
83,"V",4,3.08451067240574,4.83375004798275
84,"ii",5,6.27745770607802,4.26661891191584
85,"V",3,2.60949146093657,4.80776577908961
86,"ii",4,3.3815991713702,4.79940586691169
87,"V",5,1.29347185112678,3.7872586639601
88,"ii",6,1.81904983327242,4.23356437569208
89,"V",7,1.09748986127209,3.39388332597937
90,"ii",8,2.07010095737379,4.06331677543391
91,"iii",9,4.73927353839775,3.6073337031776
92,"III",4,4.87824010376021,4.13121678110216
93,"vi",3,1.75244404670148,4.35245281914383
94,"III",4,5.73606717237354,4.3933390797683
95,"V",3,5.84905844118126,4.44504924332414
96,"II",2,5.93927874549131,5.26977443819196
97,"vi",2,6.37189884314182,5.25314386816516
98,"III",2,5.83692803744095,5.03928456590554
99,"V",2,5.44618850158911,5.08646758238373
100,"II",2,5.93927874549131,5.26977443819196
101,"IV",2,4.29330144095238,5.25314386816516
102,"iii",3,5.39871193703121,4.92766227791184
103,"V",3,4.77385930059072,4.68179441130887
104,"IV",3,4.04310085809754,5.13321156001484
105,"iii",4,5.07153232651213,4.27330378611596
106,"V",3,4.33589546281665,4.77168226736783
107,"IV",4,4.33038154975556,4.6337304185664
108,"iii",4,5.07153232651213,4.27330378611596
109,"V",3,4.33589546281665,4.77168226736783
110,"IV",4,4.33038154975556,4.6337304185664
111,"iii",4,5.07153232651213,4.27330378611596
112,"V",3,4.33589546281665,4.77168226736783
113,"IV",4,4.33038154975556,4.6337304185664
114,"iii",4,5.07153232651213,4.27330378611596
115,"V",3,4.33589546281665,4.77168226736783
116,"IV",4,4.33038154975556,4.6337304185664
117,"iii",4,5.07153232651213,4.27330378611596
118,"V",3,4.33589546281665,4.77168226736783
119,"IV",4,4.33038154975556,4.6337304185664
120,"iii",4,5.07153232651213,4.27330378611596
121,"V",3,4.33589546281665,4.77168226736783
122,"IV",4,4.33038154975556,4.6337304185664
123,"iii",4,5.07153232651213,4.27330378611596
124,"V",3,4.33589546281665,4.77168226736783
125,"IV",4,4.33038154975556,4.6337304185664
126,"iii",4,5.07153232651213,4.27330378611596
127,"V",3,4.33589546281665,4.77168226736783
128,"IV",4,4.33038154975556,4.6337304185664
129,"iii",4,5.07153232651213,4.27330378611596
130,"V",3,4.33589546281665,4.77168226736783
131,"IV",4,4.33038154975556,4.6337304185664
132,"iii",4,5.07153232651213,4.27330378611596
133,"V",3,4.33589546281665,4.77168226736783
134,"IV",4,4.33038154975556,4.6337304185664
135,"iii",4,5.07153232651213,4.27330378611596
136,"V",3,4.33589546281665,4.77168226736783
137,"IV",4,4.33038154975556,4.6337304185664
138,"iii",4,5.07153232651213,4.27330378611596
139,"V",3,4.33589546281665,4.77168226736783
140,"IV",4,4.33038154975556,4.6337304185664
141,"iii",4,5.07153232651213,4.27330378611596
142,"V",3,4.33589546281665,4.77168226736783
143,"IV",4,4.33038154975556,4.6337304185664
144,"iii",4,5.07153232651213,4.27330378611596
145,"V",3,4.33589546281665,4.77168226736783
146,"IV",4,4.33038154975556,4.6337304185664
147,"iii",4,5.07153232651213,4.27330378611596
148,"V",3,4.33589546281665,4.77168226736783
149,"r",4,3.26705613885292,4.6337304185664
150,"r",3,1.98974873569411,3.68923711840337
