"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,46,"VI",3,6.33459681708074,4.9427113496542,"VI",3,6.33459681708074,4.9427113496542,
1,47,"ii",2,3.39874851448677,5.10014226430804,"ii",2,3.39874851448677,5.10014226430804,
1,48,"I",3,4.88057898266717,4.77214744992341,"I",3,4.88057898266717,4.77214744992341,
1,49,"I",3,3.61373743274054,5.26227442336321,"I",3,3.61373743274054,5.26227442336321,
1,50,"I",4,2.95754014970065,5.09082796290931,"I",4,2.95754014970065,5.09082796290931,
1,51,"IV",5,4.40988145350413,4.81837384018876,"iii",5,4.41764418529131,4.81837384018876,0.00776273178717801
1,52,"II",5,5.59820224954532,4.76675081862582,"II",5,6.19527518259019,4.38518906844405,
1,53,"VI",4,6.07940622216589,4.77495294022058,"VI",3,4.76366557103064,4.67722672306754,
1,54,"ii",2,4.89147896854201,5.22696783795969,"ii",3,5.17227017420352,4.75547132437657,
1,55,"V",2,3.48289321023118,5.16360557026002,"V",2,3.48289321023118,5.16360557026002,
1,56,"IV",3,5.01791339313188,4.9537799504807,"IV",3,5.01791339313188,4.9537799504807,
,,,,,,,,,,
2,14,"I",7,3.53023837561616,3.92137933671789,"I",7,3.53023837561616,3.92137933671789,
2,15,"i",7,6.4202218085922,4.43639298268735,"i",7,6.4202218085922,4.43639298268735,
2,16,"IV",4,3.89751414807927,4.50989679963826,"IV",4,3.89751414807927,4.50989679963826,
2,17,"I",4,6.21014379933253,4.24097194459888,"I",4,6.21014379933253,4.24097194459888,
2,18,"I",2,4.38112093020302,5.41621455166784,"I",2,4.38112093020302,5.41621455166784,
2,19,"i",3,5.39793818281659,5.36465189644138,"VI",3,5.38505277274372,5.36465189644138,0.0128854100728741
2,20,"IV",4,5.12846034990032,4.68884674109814,"IV",4,4.3502138064632,4.00063139948284,
2,21,"I",3,5.84832518215115,4.72628573133508,"I",4,5.58198762325877,4.45134264367156,
2,22,"I",2,4.38112093020302,5.41621455166784,"I",3,4.61011812851184,5.10028228790775,
2,23,"iii",3,4.93766836057915,5.36465189644138,"iii",3,4.93766836057915,5.36465189644138,
2,24,"I",4,5.25624961177252,4.69385043431631,"I",4,5.25624961177252,4.69385043431631,
,,,,,,,,,,
3,34,"I",7,3.53023837561616,3.92137933671789,"I",7,3.53023837561616,3.92137933671789,
3,35,"i",7,6.4202218085922,4.43639298268735,"i",7,6.4202218085922,4.43639298268735,
3,36,"IV",4,3.89751414807927,4.50989679963826,"IV",4,3.89751414807927,4.50989679963826,
3,37,"I",4,6.21014379933253,4.24097194459888,"I",4,6.21014379933253,4.24097194459888,
3,38,"I",2,4.38112093020302,5.41621455166784,"I",2,4.38112093020302,5.41621455166784,
3,39,"i",3,5.39793818281659,5.36465189644138,"VI",3,5.38505277274372,5.36465189644138,0.0128854100728741
3,40,"IV",4,5.12846034990032,4.68884674109814,"IV",4,4.3502138064632,4.00063139948284,
3,41,"I",3,5.84832518215115,4.72628573133508,"I",4,5.58198762325877,4.45134264367156,
3,42,"I",2,4.38112093020302,5.41621455166784,"I",3,4.61011812851184,5.10028228790775,
3,43,"iii",3,4.93766836057915,5.36465189644138,"iii",3,4.93766836057915,5.36465189644138,
3,44,"I",4,5.25624961177252,4.69385043431631,"I",4,5.25624961177252,4.69385043431631,
,,,,,,,,,,
4,61,"I",7,3.53023837561616,3.92137933671789,"I",7,3.53023837561616,3.92137933671789,
4,62,"i",7,6.4202218085922,4.43639298268735,"i",7,6.4202218085922,4.43639298268735,
4,63,"IV",4,3.89751414807927,4.50989679963826,"IV",4,3.89751414807927,4.50989679963826,
4,64,"I",4,6.21014379933253,4.24097194459888,"I",4,6.21014379933253,4.24097194459888,
4,65,"I",2,4.38112093020302,5.41621455166784,"I",2,4.38112093020302,5.41621455166784,
4,66,"i",3,5.39793818281659,5.36465189644138,"VI",3,5.38505277274372,5.36465189644138,0.0128854100728741
4,67,"IV",4,5.12846034990032,4.68884674109814,"IV",4,4.3502138064632,4.00063139948284,
4,68,"I",3,5.84832518215115,4.72628573133508,"I",4,5.58198762325877,4.45134264367156,
4,69,"I",2,4.38112093020302,5.41621455166784,"I",3,4.61011812851184,5.10028228790775,
4,70,"iii",3,4.93766836057915,5.36465189644138,"iii",3,4.93766836057915,5.36465189644138,
4,71,"I",4,5.25624961177252,4.69385043431631,"I",4,5.25624961177252,4.69385043431631,
,,,,,,,,,,
5,14,"I",7,3.53023837561616,3.92137933671789,"I",7,3.53023837561616,3.92137933671789,
5,15,"i",7,6.4202218085922,4.43639298268735,"i",7,6.4202218085922,4.43639298268735,
5,16,"IV",4,3.89751414807927,4.50989679963826,"IV",4,3.89751414807927,4.50989679963826,
5,17,"I",4,6.21014379933253,4.24097194459888,"I",4,6.21014379933253,4.24097194459888,
5,18,"I",2,4.38112093020302,5.41621455166784,"I",2,4.38112093020302,5.41621455166784,
5,19,"i",3,5.39793818281659,5.36465189644138,"-III",3,5.41228932992035,5.36465189644138,0.0143511471037563
5,20,"IV",4,5.12846034990032,4.68884674109814,"IV",4,3.43821514307844,5.04823127892284,
5,21,"I",3,5.84832518215115,4.72628573133508,"I",5,2.56163208178068,4.28355147397635,
5,22,"I",2,4.38112093020302,5.41621455166784,"I",6,2.79528997721962,4.71820303515273,
5,23,"iii",3,4.93766836057915,5.36465189644138,"iii",7,5.51915341409659,4.79163726279543,
5,24,"I",4,5.25624961177252,4.69385043431631,"I",4,5.25624961177252,4.69385043431631,
,,,,,,,,,,
6,34,"I",7,3.53023837561616,3.92137933671789,"I",7,3.53023837561616,3.92137933671789,
6,35,"i",7,6.4202218085922,4.43639298268735,"i",7,6.4202218085922,4.43639298268735,
6,36,"IV",4,3.89751414807927,4.50989679963826,"IV",4,3.89751414807927,4.50989679963826,
6,37,"I",4,6.21014379933253,4.24097194459888,"I",4,6.21014379933253,4.24097194459888,
6,38,"I",2,4.38112093020302,5.41621455166784,"I",2,4.38112093020302,5.41621455166784,
6,39,"i",3,5.39793818281659,5.36465189644138,"-III",3,5.41228932992035,5.36465189644138,0.0143511471037563
6,40,"IV",4,5.12846034990032,4.68884674109814,"IV",4,3.43821514307844,5.04823127892284,
6,41,"I",3,5.84832518215115,4.72628573133508,"I",5,2.56163208178068,4.28355147397635,
6,42,"I",2,4.38112093020302,5.41621455166784,"I",6,2.79528997721962,4.71820303515273,
6,43,"iii",3,4.93766836057915,5.36465189644138,"iii",7,5.51915341409659,4.79163726279543,
6,44,"I",4,5.25624961177252,4.69385043431631,"I",4,5.25624961177252,4.69385043431631,
,,,,,,,,,,
7,61,"I",7,3.53023837561616,3.92137933671789,"I",7,3.53023837561616,3.92137933671789,
7,62,"i",7,6.4202218085922,4.43639298268735,"i",7,6.4202218085922,4.43639298268735,
7,63,"IV",4,3.89751414807927,4.50989679963826,"IV",4,3.89751414807927,4.50989679963826,
7,64,"I",4,6.21014379933253,4.24097194459888,"I",4,6.21014379933253,4.24097194459888,
7,65,"I",2,4.38112093020302,5.41621455166784,"I",2,4.38112093020302,5.41621455166784,
7,66,"i",3,5.39793818281659,5.36465189644138,"-III",3,5.41228932992035,5.36465189644138,0.0143511471037563
7,67,"IV",4,5.12846034990032,4.68884674109814,"IV",4,3.43821514307844,5.04823127892284,
7,68,"I",3,5.84832518215115,4.72628573133508,"I",5,2.56163208178068,4.28355147397635,
7,69,"I",2,4.38112093020302,5.41621455166784,"I",6,2.79528997721962,4.71820303515273,
7,70,"iii",3,4.93766836057915,5.36465189644138,"iii",7,5.51915341409659,4.79163726279543,
7,71,"I",4,5.25624961177252,4.69385043431631,"I",4,5.25624961177252,4.69385043431631,
,,,,,,,,,,
8,3,"I",2,2.20046829427291,4.79859356102467,"I",2,2.20046829427291,4.79859356102467,
