"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,83,"I",6,3.28411357874919,4.7557149915391,"I",6,3.28411357874919,4.7557149915391,
1,84,"-VII",6,4.56522438014918,4.72187267720127,"-VII",6,4.56522438014918,4.72187267720127,
1,85,"-VII",6,2.66648043388997,4.32777656633499,"-VII",6,2.66648043388997,4.32777656633499,
1,86,"vi",7,6.18010613493431,4.51142232177422,"vi",7,6.18010613493431,4.51142232177422,
1,87,"v",3,5.46233034382565,4.79015902061377,"v",3,5.46233034382565,4.79015902061377,
1,88,"-VII",3,5.9060169840827,4.54096400127573,"-VI",3,5.9060169840827,4.54096400127573,0
1,89,"vi",2,5.50253167315395,5.31681993575118,"vi",2,5.85116355731533,5.32525526080174,
1,90,"-VII",2,5.05766396305206,5.31365371247532,"-VII",2,2.08113141845045,4.80249022588777,
1,91,"-VII",3,4.51583093602855,4.76479296102821,"-VII",3,4.5372310438773,4.86200343093372,
1,92,"vi",3,5.5988693686162,5.12512755587966,"vi",3,5.5988693686162,5.12512755587966,
1,93,"v",3,5.46233034382565,4.79015902061377,"v",3,5.46233034382565,4.79015902061377,
,,,,,,,,,,
2,89,"vi",2,5.50253167315395,5.31681993575118,"vi",2,5.50253167315395,5.31681993575118,
2,90,"-VII",2,5.05766396305206,5.31365371247532,"-VII",2,5.05766396305206,5.31365371247532,
2,91,"-VII",3,4.51583093602855,4.76479296102821,"-VII",3,4.51583093602855,4.76479296102821,
2,92,"vi",3,5.5988693686162,5.12512755587966,"vi",3,5.5988693686162,5.12512755587966,
2,93,"v",3,5.46233034382565,4.79015902061377,"v",3,5.46233034382565,4.79015902061377,
2,94,"-VII",3,5.9060169840827,4.54096400127573,"-VI",3,5.9060169840827,4.54096400127573,0
2,95,"vi",2,5.50253167315395,5.31681993575118,"vi",2,5.85116355731533,5.32525526080174,
2,96,"-VII",2,5.05766396305206,5.31365371247532,"-VII",2,2.08113141845045,4.80249022588777,
2,97,"-VII",3,4.51583093602855,4.76479296102821,"-VII",3,4.5372310438773,4.86200343093372,
2,98,"vi",3,5.5988693686162,5.12512755587966,"vi",3,5.5988693686162,5.12512755587966,
2,99,"v",3,5.46233034382565,4.79015902061377,"v",3,5.46233034382565,4.79015902061377,
,,,,,,,,,,
3,95,"vi",2,5.50253167315395,5.31681993575118,"vi",2,5.50253167315395,5.31681993575118,
3,96,"-VII",2,5.05766396305206,5.31365371247532,"-VII",2,5.05766396305206,5.31365371247532,
3,97,"-VII",3,4.51583093602855,4.76479296102821,"-VII",3,4.51583093602855,4.76479296102821,
3,98,"vi",3,5.5988693686162,5.12512755587966,"vi",3,5.5988693686162,5.12512755587966,
3,99,"v",3,5.46233034382565,4.79015902061377,"v",3,5.46233034382565,4.79015902061377,
3,100,"-VII",3,5.9060169840827,4.54096400127573,"-VI",3,5.9060169840827,4.54096400127573,0
3,101,"-III",2,4.84187064756527,5.31681993575118,"-III",2,4.67126047513503,5.32525526080174,
3,102,"-VII",3,2.20944261743099,4.90995530847906,"-VII",3,4.19004045837154,5.04161799933066,
3,103,"-VII",4,4.18089509440381,4.56560169043162,"-VII",3,3.97116884761438,4.95217901145932,
3,104,"v",4,6.06973104953794,4.42106211270906,"v",4,5.99565221728929,4.42403035040853,
3,105,"IV",3,4.899074434488,5.07096824299077,"IV",3,4.899074434488,5.07096824299077,
,,,,,,,,,,
4,140,"ii",5,1.81604208153037,4.02776659326835,"ii",5,1.81604208153037,4.02776659326835,
4,141,"ii",5,5.26193073508651,3.33756051173418,"ii",5,5.26193073508651,3.33756051173418,
4,142,"ii",3,3.52008674583182,5.04876614869834,"ii",3,3.52008674583182,5.04876614869834,
4,143,"IV",4,2.20705126504829,4.53477891343005,"IV",4,2.20705126504829,4.53477891343005,
4,144,"I",5,3.5724279574291,4.43449267056465,"I",5,3.5724279574291,4.43449267056465,
4,145,"iii",4,6.28858344335612,4.12220203655746,"-VI",4,6.29997976321292,4.12220203655746,0.011396319856809
4,146,"ii",3,4.75668619391431,4.68002322643477,"ii",3,6.08626358242053,4.9633448525215,
4,147,"V",3,3.06176894047947,4.76489418224098,"V",3,3.3060954679374,4.5489670729724,
4,148,"I",4,3.82584517746933,4.24731764045891,"I",3,2.10507343495238,4.87237066538272,
4,149,"iii",4,4.87059005295639,5.31857565892299,"iii",4,5.28069556587002,5.16617036119568,
4,150,"ii",5,1.81604208153037,4.02776659326835,"ii",4,3.72872639302006,4.47530825814262,
,,,,,,,,,,
5,43,"IV",4,4.2918785105525,4.45933964600271,"IV",4,4.2918785105525,4.45933964600271,
5,44,"IV",4,1.88589077548139,4.59073063129937,"IV",4,1.88589077548139,4.59073063129937,
5,45,"I",5,1.99206520327955,4.57230937773278,"I",5,1.99206520327955,4.57230937773278,
5,46,"I",6,3.28411357874919,4.7557149915391,"I",6,3.28411357874919,4.7557149915391,
5,47,"I",6,2.14141889472711,4.72187267720127,"I",6,2.14141889472711,4.72187267720127,
5,48,"iii",7,5.41639454551001,4.1605942107178,"-III",7,5.38779244811681,4.1605942107178,0.0286020973932049
5,49,"ii",5,1.20825939717206,3.73722232299114,"ii",6,6.20220618340488,4.25388267487809,
5,50,"V",7,2.47850306421827,3.21139463549964,"V",3,2.8497027207185,5.02395344987563,
5,51,"I",4,4.21478561482982,3.53169691143322,"I",4,3.52242906202399,4.35463986224867,
5,52,"iii",4,4.87059005295639,5.31857565892299,"iii",4,5.29497543634854,5.23252199177671,
5,53,"ii",5,1.81604208153037,4.02776659326835,"ii",4,3.72872639302006,4.47530825814262,
,,,,,,,,,,
6,87,"v",3,5.46233034382565,4.79015902061377,"v",3,5.46233034382565,4.79015902061377,
6,88,"-VII",3,5.9060169840827,4.54096400127573,"-VII",3,5.9060169840827,4.54096400127573,
6,89,"vi",2,5.50253167315395,5.31681993575118,"vi",2,5.50253167315395,5.31681993575118,
6,90,"-VII",2,5.05766396305206,5.31365371247532,"-VII",2,5.05766396305206,5.31365371247532,
6,91,"-VII",3,4.51583093602855,4.76479296102821,"-VII",3,4.51583093602855,4.76479296102821,
6,92,"vi",3,5.5988693686162,5.12512755587966,"VI",3,5.63194426175601,5.12512755587966,0.0330748931398048
6,93,"v",3,5.46233034382565,4.79015902061377,"v",3,6.9675739698952,4.61539100670201,
6,94,"-VII",3,5.9060169840827,4.54096400127573,"-VII",1,5.18777655667711,5.40514616143522,
6,95,"vi",2,5.50253167315395,5.31681993575118,"vi",2,5.50253167315395,5.31681993575118,
6,96,"-VII",2,5.05766396305206,5.31365371247532,"-VII",2,5.05766396305206,5.31365371247532,
6,97,"-VII",3,4.51583093602855,4.76479296102821,"-VII",3,4.51583093602855,4.76479296102821,
,,,,,,,,,,
7,93,"v",3,5.46233034382565,4.79015902061377,"v",3,5.46233034382565,4.79015902061377,
7,94,"-VII",3,5.9060169840827,4.54096400127573,"-VII",3,5.9060169840827,4.54096400127573,
7,95,"vi",2,5.50253167315395,5.31681993575118,"vi",2,5.50253167315395,5.31681993575118,
7,96,"-VII",2,5.05766396305206,5.31365371247532,"-VII",2,5.05766396305206,5.31365371247532,
7,97,"-VII",3,4.51583093602855,4.76479296102821,"-VII",3,4.51583093602855,4.76479296102821,
7,98,"vi",3,5.5988693686162,5.12512755587966,"VI",3,5.63194426175601,5.12512755587966,0.0330748931398048
7,99,"v",3,5.46233034382565,4.79015902061377,"v",3,6.9675739698952,4.61539100670201,
7,100,"-VII",3,5.9060169840827,4.54096400127573,"-VII",1,5.18777655667711,5.40514616143522,
7,101,"-III",2,4.84187064756527,5.31681993575118,"-III",2,4.84187064756527,5.31681993575118,
7,102,"-VII",3,2.20944261743099,4.90995530847906,"-VII",3,2.20944261743099,4.90995530847906,
7,103,"-VII",4,4.18089509440381,4.56560169043162,"-VII",4,4.18089509440381,4.56560169043162,
,,,,,,,,,,
8,81,"IV",4,1.88589077548139,4.59073063129937,"IV",4,1.88589077548139,4.59073063129937,
8,82,"I",5,1.99206520327955,4.57230937773278,"I",5,1.99206520327955,4.57230937773278,
8,83,"I",6,3.28411357874919,4.7557149915391,"I",6,3.28411357874919,4.7557149915391,
8,84,"-VII",6,4.56522438014918,4.72187267720127,"-VII",6,4.56522438014918,4.72187267720127,
8,85,"-VII",6,2.66648043388997,4.32777656633499,"-VII",6,2.66648043388997,4.32777656633499,
8,86,"vi",7,6.18010613493431,4.51142232177422,"VI",7,6.21318102807411,4.51142232177422,0.0330748931398057
