"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,163,"iv",3,3.11016507286694,4.86026575559932,"iv",3,3.11016507286694,4.86026575559932,
1,164,"IV",4,5.61719820260734,4.94671721803832,"IV",4,5.61719820260734,4.94671721803832,
1,165,"iv",3,4.48003028956695,4.73276820830125,"iv",3,4.48003028956695,4.73276820830125,
1,166,"-VI",3,5.80772585309331,4.45485913512598,"-VI",3,5.80772585309331,4.45485913512598,
1,167,"-VII",3,2.04734207256218,4.81169144122483,"-VII",3,2.04734207256218,4.81169144122483,
1,168,"-vio",4,8.1080773035881,4.25754135520082,"#vo",4,8.1080773035881,4.25754135520082,0
1,169,"i",1,6.25327743937984,5.07122703826233,"i",1,6.7002765081131,3.84710272197226,
1,170,"-VI",1,5.29609543438466,5.44992395779,"-VI",1,5.29609543438466,5.44992395779,
1,171,"-VII",2,3.81441452470341,5.24642902044712,"-VII",2,3.81441452470341,5.24642902044712,
1,172,"-vio",3,7.72500725212842,4.74614861710058,"-vio",3,7.72500725212842,4.74614861710058,
1,173,"i",1,6.25327743937984,5.07122703826233,"i",1,6.25327743937984,5.07122703826233,
,,,,,,,,,,
2,163,"iv",3,3.11016507286694,4.86026575559932,"iv",3,3.11016507286694,4.86026575559932,
2,164,"IV",4,5.61719820260734,4.94671721803832,"IV",4,5.61719820260734,4.94671721803832,
2,165,"iv",3,4.48003028956695,4.73276820830125,"iv",3,4.48003028956695,4.73276820830125,
2,166,"-VI",3,5.80772585309331,4.45485913512598,"-VI",3,5.80772585309331,4.45485913512598,
2,167,"-VII",3,2.04734207256218,4.81169144122483,"-VII",3,2.04734207256218,4.81169144122483,
2,168,"-vio",4,8.1080773035881,4.25754135520082,"#V",4,8.1080773035881,4.25754135520082,0
2,169,"i",1,6.25327743937984,5.07122703826233,"i",1,6.296025462745,5.10810239393612,
2,170,"-VI",1,5.29609543438466,5.44992395779,"-VI",1,5.29609543438466,5.44992395779,
2,171,"-VII",2,3.81441452470341,5.24642902044712,"-VII",2,3.81441452470341,5.24642902044712,
2,172,"-vio",3,7.72500725212842,4.74614861710058,"-vio",3,7.72500725212842,4.74614861710058,
2,173,"i",1,6.25327743937984,5.07122703826233,"i",1,6.25327743937984,5.07122703826233,
,,,,,,,,,,
3,163,"iv",3,3.11016507286694,4.86026575559932,"iv",3,3.11016507286694,4.86026575559932,
3,164,"IV",4,5.61719820260734,4.94671721803832,"IV",4,5.61719820260734,4.94671721803832,
3,165,"iv",3,4.48003028956695,4.73276820830125,"iv",3,4.48003028956695,4.73276820830125,
3,166,"-VI",3,5.80772585309331,4.45485913512598,"-VI",3,5.80772585309331,4.45485913512598,
3,167,"-VII",3,2.04734207256218,4.81169144122483,"-VII",3,2.04734207256218,4.81169144122483,
3,168,"-vio",4,8.1080773035881,4.25754135520082,"I+",4,8.1080773035881,4.25754135520082,0
3,169,"i",1,6.25327743937984,5.07122703826233,"i",1,6.34779069667901,4.94848743638972,
3,170,"-VI",1,5.29609543438466,5.44992395779,"-VI",1,5.29609543438466,5.44992395779,
3,171,"-VII",2,3.81441452470341,5.24642902044712,"-VII",2,3.81441452470341,5.24642902044712,
3,172,"-vio",3,7.72500725212842,4.74614861710058,"-vio",3,7.72500725212842,4.74614861710058,
3,173,"i",1,6.25327743937984,5.07122703826233,"i",1,6.25327743937984,5.07122703826233,
,,,,,,,,,,
