"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"ii",2,5.0702110213799,4.79551598980749
4,"I",3,3.0685762333265,4.97802459777637
5,"ii",4,2.4156584267687,4.96714980822935
6,"I",5,0.979918246437805,3.44733160710698
7,"I",6,4.59880215041651,4.57333817898588
8,"I",5,1.8713482578705,4.6143938985517
9,"I",6,1.76564430296833,4.50314768330626
10,"I",6,0.805599956080145,3.19140531187425
11,"IV",8,3.40401773698923,4.38035297773267
12,"IV",7,4.29212161095045,4.26126749057679
13,"V",7,3.71202942462527,4.89284134556998
14,"V",8,2.50325337510355,4.39953899076551
15,"V",9,3.02801400245609,4.53355976721527
16,"V",6,0.540492851342476,2.41350969446419
17,"I",10,2.5464046908267,4.43972484511297
18,"I",8,0.947483757562211,3.31468657019356
19,"I",10,2.81969432067227,4.72762974989861
20,"I",8,1.03566712724962,3.44577935872353
21,"I",9,1.50325757463712,3.99941383969416
22,"I",10,1.08684168221692,3.43102791388968
23,"I",10,1.84856243647045,4.23501369580487
24,"I",10,0.932390736455529,3.33098912907916
25,"IV",10,2.92025752550163,4.40620037701305
26,"IV",10,0.835732608527621,3.05271127573325
27,"V",10,3.05807961747873,3.83764396935861
28,"V",10,1.33454302154541,3.43861170323767
29,"V",10,2.4479436136017,3.99142268486645
30,"V",6,0.540492851342476,2.41350969446419
31,"I",10,2.5464046908267,4.43972484511297
32,"I",8,0.947483757562211,3.31468657019356
33,"I",10,2.81969432067227,4.72762974989861
34,"I",8,1.03566712724962,3.44577935872353
35,"ii",9,4.06965563199004,3.99941383969416
36,"V",8,3.51749095559639,3.36198382390146
37,"IV",7,4.79712100091397,4.359210631411
38,"ii",5,6.22297500586374,3.70922997420614
39,"V",3,3.23873598989406,4.89642262304932
40,"I",4,1.74862395397984,4.48878971134035
41,"I",5,3.94791796631593,4.95702482987497
42,"I",5,3.67003139012793,5.1000745322592
43,"ii",6,4.41234102854978,4.82363250472531
44,"V",6,2.15116183641737,4.34430492707004
45,"IV",7,5.34397528086522,3.39942619913894
46,"ii",5,6.22297500586374,3.70922997420614
47,"V",3,3.23873598989406,4.89642262304932
48,"I",4,1.74862395397984,4.48878971134035
49,"-VII",5,5.51389477854281,4.95702482987497
50,"I",4,2.5435263230608,4.45807359056621
51,"IV",5,4.23574075605349,4.71912716135667
52,"V",5,3.93491751771339,4.50697313093287
53,"IV",4,5.80897719613554,2.61269921384249
54,"ii",4,4.91152725651133,4.79748296267455
55,"V",4,3.48105842363507,4.61907434590543
56,"I",4,1.74862395397984,4.48878971134035
57,"-VII",5,5.51389477854281,4.95702482987497
58,"I",4,2.5435263230608,4.45807359056621
59,"IV",5,4.23574075605349,4.71912716135667
60,"V",5,3.93491751771339,4.50697313093287
61,"IV",4,5.80897719613554,2.61269921384249
62,"IV",4,3.53385707956987,4.79748296267455
63,"I",5,1.92066243855152,4.22791927798875
64,"ii",6,5.54276638138926,4.40998393480256
65,"ii",4,3.6526979268947,4.77829151705964
66,"V",5,3.71826600271537,4.38055519544836
67,"V",5,2.9104392261812,3.77305584359347
68,"V",5,3.2444803253465,4.16881752980993
69,"r",5,3.49747464900203,4.58237888498833
70,"I",4,1.93801826037048,3.12926215977674
71,"I",5,2.19380117152154,3.82171341435937
72,"I",5,2.21189348767682,4.15699647124034
73,"I",5,1.34914748781792,4.11922244194671
74,"I",6,1.24776900890942,3.62470154210637
75,"IV",7,3.80020972282893,4.58581126550549
76,"IV",8,4.44299843295996,4.07391036594269
77,"V",7,3.71202942462527,4.89284134556998
78,"V",8,2.50325337510355,4.39953899076551
