"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53054875818109,5.47621987183072
2,"I",1,1.74864089588333,4.04681765164278
3,"I",2,2.19991242016388,4.79863433798613
4,"I",3,1.98037846731788,4.76162125280532
5,"I",4,1.57880647401939,4.43626246064952
6,"vi",5,5.14977785618471,3.87054091173143
7,"iio",6,7.9658859725293,4.13611325286405
8,"I",1,4.47999671198574,5.41402250456607
9,"I",2,2.83589324187204,5.20317401625194
10,"vi",3,5.38722034602815,5.19235750080851
11,"iio",3,7.1006655324581,5.13627621195064
12,"I",1,4.47999671198574,5.41402250456607
13,"I",2,2.83589324187204,5.20317401625194
14,"vi",3,5.38722034602815,5.19235750080851
15,"iio",3,7.1006655324581,5.13627621195064
16,"I",1,4.47999671198574,5.41402250456607
17,"I",2,2.83589324187204,5.20317401625194
18,"vi",3,5.38722034602815,5.19235750080851
19,"iio",3,7.1006655324581,5.13627621195064
20,"iio",1,5.25768042834046,5.41402250456607
21,"I",2,3.48205206266345,5.22496169276651
22,"V",3,5.96022176425267,4.31977520152217
23,"-VII",2,5.12583985156172,5.36200612672978
24,"IV",3,2.45783760510692,4.5693102180723
25,"ii",4,4.85369170723969,4.54437811241372
26,"I",4,3.76054491332532,4.40343570608867
27,"V",4,4.85696299224708,4.71880871916304
28,"V",4,3.88610497402402,4.80119000164822
29,"I",4,3.40731966026713,5.07893938315226
30,"V",5,4.34664570263623,4.76101904804388
31,"-VII",5,5.61236461507512,4.89153513717266
32,"IV",4,1.41661768939761,3.92439273918701
33,"ii",5,5.17453566686929,4.00277096353574
34,"I",4,3.76054491332532,4.40343570608867
35,"V",4,4.85696299224708,4.71880871916304
36,"V",4,3.88610497402402,4.80119000164822
37,"iii",4,4.1704653074983,5.07893938315226
38,"V",5,1.79679753981871,4.35551232250352
39,"I",5,1.73164894557804,4.36314638777686
40,"V",5,4.03965740990037,4.28668126983251
41,"IV",4,4.45533953339526,4.86515724890505
42,"V",4,3.48935302523073,4.94575630094845
43,"I",5,3.0292430154197,4.93244998101131
44,"V",6,3.1491556584531,5.02287368452624
45,"IV",7,3.04224694397041,4.65952952333779
46,"V",8,2.3888014384942,4.46014393313682
47,"I",9,2.70555636838504,4.72972337437669
48,"V",10,0.556157290717782,2.28548763166082
49,"IV",10,0.38656715611364,1.83163127049103
50,"V",10,0.600774141898466,2.46194143243658
51,"I",10,0.505022648247771,2.24080288289649
52,"V",10,0.556157290717782,2.28548763166082
53,"IV",10,0.38656715611364,1.83163127049103
54,"V",10,0.600774141898466,2.46194143243658
55,"I",10,0.505022648247771,2.24080288289649
56,"V",10,0.556157290717782,2.28548763166082
57,"IV",10,0.38656715611364,1.83163127049103
58,"V",10,0.600774141898466,2.46194143243658
59,"I",10,0.505022648247771,2.24080288289649
60,"V",10,0.556157290717782,2.28548763166082
61,"IV",10,0.38656715611364,1.83163127049103
62,"V",10,0.600774141898466,2.46194143243658
63,"I",10,0.505022648247771,2.24080288289649
64,"V",10,0.556157290717782,2.28548763166082
65,"IV",10,0.38656715611364,1.83163127049103
66,"V",10,0.600774141898466,2.46194143243658
67,"I",10,0.505022648247771,2.24080288289649
68,"V",10,0.556157290717782,2.28548763166082
69,"IV",10,0.38656715611364,1.83163127049103
70,"V",10,0.600774141898466,2.46194143243658
71,"I",10,0.505022648247771,2.24080288289649
72,"V",10,0.556157290717782,2.28548763166082
73,"IV",10,0.38656715611364,1.83163127049103
74,"IV",10,4.54530947903893,2.46194143243658
75,"IV",8,1.23065245269776,3.54901929777004
76,"I",9,2.91362093902708,3.78864188268801
77,"V",6,3.68131112984894,4.54445801851326
78,"-VII",6,4.44342317546643,4.58055846893808
79,"IV",5,3.11617539859856,3.03554834088373
80,"ii",5,5.05461861608646,4.32701836397071
81,"I",4,3.76054491332532,4.40343570608867
82,"V",4,4.85696299224708,4.71880871916304
83,"V",4,3.88610497402402,4.80119000164822
84,"iii",4,4.1704653074983,5.07893938315226
85,"V",5,1.79679753981871,4.35551232250352
86,"I",5,1.73164894557804,4.36314638777686
87,"r",5,3.66136004475223,4.28668126983251
88,"r",3,1.71899785575298,3.60433635822642
