"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
19,10,"iv",6.45149942981301,4.2958545666808,"II",6.45980792724813,4.2958545666808,0.00830849743512108
37,10,"iv",6.45149942981301,4.2958545666808,"II",6.45980792724813,4.2958545666808,0.00830849743512108
75,10,"iv",6.45149942981301,4.2958545666808,"II",6.45980792724813,4.2958545666808,0.00830849743512108
85,10,"iv",6.03317537977325,4.73580129333625,"II",6.04148387720837,4.73580129333625,0.00830849743512108
84,15,"-III",5.34275125122599,5.08198263885672,"-VI",5.32273678231328,5.08198263885672,0.0200144689127031
84,6,"-III",5.34275125122599,5.08198263885672,"VI",5.30325210599929,5.08198263885672,0.0394991452266922
84,7,"-III",5.34275125122599,5.08198263885672,"iii",5.30296492084318,5.08198263885672,0.0397863303828094
25,19,"I",5.01524521968468,4.72594293931824,"iv",5.07498142416956,4.72594293931824,0.0597362044848788
43,19,"I",5.01524521968468,4.72594293931824,"iv",5.07498142416956,4.72594293931824,0.0597362044848788
81,19,"I",5.01524521968468,4.72594293931824,"iv",5.07498142416956,4.72594293931824,0.0597362044848788
91,19,"I",5.01524521968468,4.72594293931824,"iv",5.07498142416956,4.72594293931824,0.0597362044848788
47,10,"-III",5.27652704595565,5.03525747148553,"II",5.35867768883376,5.03525747148553,0.0821506428781085
84,12,"-III",5.34275125122599,5.08198263885672,"i",5.25762235341355,5.08198263885672,0.085128897812436
36,8,"-III",6.20935210252809,2.33340129966639,"vi",6.29885527010391,2.33340129966639,0.089503167575816
74,8,"-III",6.20935210252809,2.33340129966639,"vi",6.29885527010391,2.33340129966639,0.089503167575816
19,3,"iv",6.45149942981301,4.2958545666808,"ii",6.35629643113026,4.2958545666808,0.0952029986827503
37,3,"iv",6.45149942981301,4.2958545666808,"ii",6.35629643113026,4.2958545666808,0.0952029986827503
75,3,"iv",6.45149942981301,4.2958545666808,"ii",6.35629643113026,4.2958545666808,0.0952029986827503
85,3,"iv",6.03317537977325,4.73580129333625,"ii",5.9379723810905,4.73580129333625,0.0952029986827503
