"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"I",2,1.89816789494214,3.69160509208492
4,"V",3,3.70751227057879,4.60705096822207
5,"IV",4,2.58315259108343,4.03827971166936
6,"I",5,3.11837054375828,2.95467057640596
7,"I",5,4.3397057196123,3.28771707374271
8,"I",5,3.09148542950858,4.99425928583115
9,"V",6,3.99587752857325,4.42529721809248
10,"IV",6,3.69174507646999,4.5341128435702
11,"I",6,2.34420367030256,4.34361827423767
12,"I",7,2.93219727541859,4.23949462607116
13,"I",7,3.19457243587766,4.63214503162065
14,"V",7,3.78888454774401,4.72225540042099
15,"IV",6,3.69174507646999,4.5341128435702
16,"I",6,2.34420367030256,4.34361827423767
17,"I",7,2.93219727541859,4.23949462607116
18,"I",7,3.19457243587766,4.63214503162065
19,"V",7,3.78888454774401,4.72225540042099
20,"IV",6,3.69174507646999,4.5341128435702
21,"I",6,2.34420367030256,4.34361827423767
22,"I",7,2.93219727541859,4.23949462607116
23,"I",7,3.19457243587766,4.63214503162065
24,"V",7,3.78888454774401,4.72225540042099
25,"IV",6,3.69174507646999,4.5341128435702
26,"I",6,2.34420367030256,4.34361827423767
27,"I",7,2.93219727541859,4.23949462607116
28,"IV",7,3.8706658959914,4.63214503162065
29,"IV",7,2.53376647465477,4.69987572244519
30,"I",6,0.845598678744916,3.26474452232236
31,"I",7,0.520973801123266,2.40563542008732
32,"V",10,2.78934427607524,4.6415845333406
33,"IV",9,1.11354315742367,3.42888782861684
34,"I",10,1.74542133818622,3.81637973684417
35,"I",10,1.91985505049649,4.00958069097396
36,"I",10,1.00099328546202,3.09041317452944
37,"V",10,5.220281695154,2.47911591853623
38,"IV",6,3.69174507646999,4.5341128435702
39,"I",6,2.34420367030256,4.34361827423767
40,"I",7,2.93219727541859,4.23949462607116
41,"I",7,3.19457243587766,4.63214503162065
42,"V",7,3.78888454774401,4.72225540042099
43,"IV",6,3.69174507646999,4.5341128435702
44,"I",6,2.34420367030256,4.34361827423767
45,"I",7,2.93219727541859,4.23949462607116
46,"I",7,3.19457243587766,4.63214503162065
47,"V",7,3.78888454774401,4.72225540042099
48,"IV",6,3.69174507646999,4.5341128435702
49,"I",6,2.34420367030256,4.34361827423767
50,"I",7,2.93219727541859,4.23949462607116
51,"I",7,3.19457243587766,4.63214503162065
52,"V",7,3.78888454774401,4.72225540042099
53,"IV",6,3.69174507646999,4.5341128435702
54,"I",6,2.34420367030256,4.34361827423767
55,"I",7,2.93219727541859,4.23949462607116
56,"IV",7,3.8706658959914,4.63214503162065
57,"IV",7,2.53376647465477,4.69987572244519
58,"I",6,0.845598678744916,3.26474452232236
59,"I",7,0.520973801123266,2.40563542008732
60,"V",10,2.78934427607524,4.6415845333406
61,"IV",9,1.11354315742367,3.42888782861684
62,"I",10,1.74542133818622,3.81637973684417
63,"I",10,1.91985505049649,4.00958069097396
64,"I",10,1.00099328546202,3.09041317452944
65,"V",10,5.220281695154,2.47911591853623
66,"IV",6,3.69174507646999,4.5341128435702
67,"I",6,2.34420367030256,4.34361827423767
68,"I",7,2.93219727541859,4.23949462607116
69,"I",7,3.19457243587766,4.63214503162065
70,"V",7,3.78888454774401,4.72225540042099
71,"IV",6,3.69174507646999,4.5341128435702
72,"I",6,2.34420367030256,4.34361827423767
73,"I",7,2.93219727541859,4.23949462607116
74,"IV",7,3.8706658959914,4.63214503162065
75,"IV",7,2.53376647465477,4.69987572244519
76,"I",6,0.845598678744916,3.26474452232236
77,"I",7,0.520973801123266,2.40563542008732
78,"V",10,2.78934427607524,4.6415845333406
79,"IV",9,1.11354315742367,3.42888782861684
80,"I",10,1.74542133818622,3.81637973684417
81,"I",10,1.91985505049649,4.00958069097396
82,"I",10,1.00099328546202,3.09041317452944
83,"V",10,5.220281695154,2.47911591853623
84,"IV",6,3.69174507646999,4.5341128435702
85,"I",6,2.34420367030256,4.34361827423767
86,"I",7,2.93219727541859,4.23949462607116
87,"I",7,3.19457243587766,4.63214503162065
88,"V",7,3.78888454774401,4.72225540042099
89,"IV",6,3.69174507646999,4.5341128435702
90,"I",6,2.34420367030256,4.34361827423767
91,"I",7,2.93219727541859,4.23949462607116
92,"I",7,3.19457243587766,4.63214503162065
93,"V",7,3.78888454774401,4.72225540042099
94,"IV",6,3.69174507646999,4.5341128435702
95,"I",6,2.34420367030256,4.34361827423767
96,"I",7,2.93219727541859,4.23949462607116
97,"I",7,3.19457243587766,4.63214503162065
98,"V",7,3.78888454774401,4.72225540042099
99,"IV",6,3.69174507646999,4.5341128435702
100,"I",6,2.34420367030256,4.34361827423767
101,"I",7,2.93219727541859,4.23949462607116
102,"IV",7,3.8706658959914,4.63214503162065
103,"IV",7,2.53376647465477,4.69987572244519
104,"I",6,0.845598678744916,3.26474452232236
105,"I",7,0.520973801123266,2.40563542008732
106,"V",10,2.78934427607524,4.6415845333406
107,"IV",9,1.11354315742367,3.42888782861684
108,"I",10,1.74542133818622,3.81637973684417
109,"I",10,1.91985505049649,4.00958069097396
110,"IV",10,4.00362915059503,3.09041317452944
111,"IV",9,0.838128502518043,3.139433753328
112,"I",6,0.845598678744916,3.26474452232236
113,"I",7,0.520973801123266,2.40563542008732
114,"V",10,2.78934427607524,4.6415845333406
115,"IV",9,1.11354315742367,3.42888782861684
116,"I",10,1.74542133818622,3.81637973684417
117,"I",10,1.91985505049649,4.00958069097396
118,"r",10,2.95778901865518,3.09041317452944
119,"r",9,0.528653311195195,1.98142361543565
