"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,13,"I",9,2.63992866756542,3.50216615692636,"I",9,2.63992866756542,3.50216615692636,
1,14,"vi",7,5.32625415003771,3.72571447471114,"vi",7,5.32625415003771,3.72571447471114,
1,15,"vi",5,4.64768419478247,4.76922164280792,"vi",5,4.64768419478247,4.76922164280792,
1,16,"iii",4,5.14342522150327,4.99608810491238,"iii",4,5.14342522150327,4.99608810491238,
1,17,"iii",4,1.45602203359717,4.05296773745049,"iii",4,1.45602203359717,4.05296773745049,
1,18,"IV",5,4.79977274686514,4.40676128695189,"iii",5,4.79591321762791,4.40676128695189,0.00385952923722943
1,19,"ii",3,3.79922302944502,5.00419495118807,"ii",3,4.81908881626143,4.97496508171878,
1,20,"I",4,3.78464771434883,4.36776974033655,"I",3,4.51073230469896,4.41423624821754,
1,21,"vi",4,4.99794144695711,4.73997279534687,"vi",3,4.85683255080654,5.33398957445879,
1,22,"IV",4,4.07521220135269,4.75112834204878,"IV",4,2.0529740399508,4.73638785365892,
1,23,"ii",4,4.61921584751265,4.69819118609912,"ii",4,4.61921584751265,4.69819118609912,
,,,,,,,,,,
2,42,"I",9,2.63992866756542,3.50216615692636,"I",9,2.63992866756542,3.50216615692636,
2,43,"vi",7,5.32625415003771,3.72571447471114,"vi",7,5.32625415003771,3.72571447471114,
2,44,"vi",5,4.64768419478247,4.76922164280792,"vi",5,4.64768419478247,4.76922164280792,
2,45,"iii",4,5.14342522150327,4.99608810491238,"iii",4,5.14342522150327,4.99608810491238,
2,46,"iii",4,1.45602203359717,4.05296773745049,"iii",4,1.45602203359717,4.05296773745049,
2,47,"IV",5,4.79977274686514,4.40676128695189,"iii",5,4.79591321762791,4.40676128695189,0.00385952923722943
2,48,"ii",3,3.79922302944502,5.00419495118807,"ii",3,4.81908881626143,4.97496508171878,
2,49,"I",4,3.78464771434883,4.36776974033655,"I",3,4.51073230469896,4.41423624821754,
2,50,"vi",4,4.99794144695711,4.73997279534687,"vi",3,4.85683255080654,5.33398957445879,
