"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,34,"III",5,6.99716202380129,4.21524173116496,"III",5,6.99716202380129,4.21524173116496,
1,35,"IV",2,4.05448604156486,4.98109287127204,"IV",2,4.05448604156486,4.98109287127204,
1,36,"V",3,1.85393457300601,4.68844930129105,"V",3,1.85393457300601,4.68844930129105,
1,37,"I",4,1.59107310524106,4.39749055089544,"I",4,1.59107310524106,4.39749055089544,
1,38,"I",5,2.28065511420443,4.94247967585016,"I",5,2.28065511420443,4.94247967585016,
1,39,"vi",6,4.86348993143356,4.67799766506572,"V",6,4.85724139462957,4.67799766506572,0.00624853680399173
1,40,"IV",5,3.21165467921828,4.80282118251522,"IV",5,3.77639536323952,4.90682777667539,
1,41,"V",6,0.910017180324452,3.13417479922769,"V",6,1.87921285228293,4.22941730049381,
1,42,"V",7,3.12290955408737,3.17729310027893,"V",6,5.62494554120765,2.9697897452004,
1,43,"I",7,3.02434027882051,4.2140946138412,"I",4,3.17894024188106,4.94385994481825,
1,44,"IV",7,4.10794853061772,4.2767427259887,"IV",5,2.84479569975787,4.72799163535017,
,,,,,,,,,,
2,62,"III",5,6.99716202380129,4.21524173116496,"III",5,6.99716202380129,4.21524173116496,
2,63,"IV",2,4.05448604156486,4.98109287127204,"IV",2,4.05448604156486,4.98109287127204,
2,64,"V",3,1.85393457300601,4.68844930129105,"V",3,1.85393457300601,4.68844930129105,
2,65,"I",4,1.59107310524106,4.39749055089544,"I",4,1.59107310524106,4.39749055089544,
2,66,"I",5,2.28065511420443,4.94247967585016,"I",5,2.28065511420443,4.94247967585016,
2,67,"vi",6,4.86348993143356,4.67799766506572,"V",6,4.85724139462957,4.67799766506572,0.00624853680399173
2,68,"IV",5,3.21165467921828,4.80282118251522,"IV",5,3.77639536323952,4.90682777667539,
2,69,"V",6,0.910017180324452,3.13417479922769,"V",6,1.87921285228293,4.22941730049381,
2,70,"V",7,3.12290955408737,3.17729310027893,"V",6,5.62494554120765,2.9697897452004,
2,71,"I",7,3.02434027882051,4.2140946138412,"I",4,3.17894024188106,4.94385994481825,
2,72,"IV",7,4.10794853061772,4.2767427259887,"IV",5,2.84479569975787,4.72799163535017,
,,,,,,,,,,
3,103,"III",4,6.71949944566752,4.648859303937,"III",4,6.71949944566752,4.648859303937,
3,104,"IV",2,4.05448604156486,4.98109287127204,"IV",2,4.05448604156486,4.98109287127204,
3,105,"V",3,1.85393457300601,4.68844930129105,"V",3,1.85393457300601,4.68844930129105,
3,106,"I",4,1.59107310524106,4.39749055089544,"I",4,1.59107310524106,4.39749055089544,
3,107,"I",5,2.28065511420443,4.94247967585016,"I",5,2.28065511420443,4.94247967585016,
3,108,"vi",6,4.86348993143356,4.67799766506572,"V",6,4.85724139462957,4.67799766506572,0.00624853680399173
3,109,"IV",5,3.21165467921828,4.80282118251522,"IV",5,3.77639536323952,4.90682777667539,
3,110,"V",6,0.910017180324452,3.13417479922769,"V",6,1.87921285228293,4.22941730049381,
3,111,"V",7,3.12290955408737,3.17729310027893,"V",6,5.62494554120765,2.9697897452004,
3,112,"I",7,3.02434027882051,4.2140946138412,"I",4,3.17894024188106,4.94385994481825,
3,113,"IV",7,4.10794853061772,4.2767427259887,"IV",5,2.84479569975787,4.72799163535017,
,,,,,,,,,,
4,17,"vi",3,3.6119856744877,5.19971715290362,"vi",3,3.6119856744877,5.19971715290362,
4,18,"VI",4,6.08533300873082,5.23256581247635,"VI",4,6.08533300873082,5.23256581247635,
4,19,"VI",2,4.92666561060501,5.10802894214767,"VI",2,4.92666561060501,5.10802894214767,
4,20,"vi",2,6.04067428173596,5.22971882262011,"vi",2,6.04067428173596,5.22971882262011,
4,21,"vi",2,5.08157407819437,5.19910524048114,"vi",2,5.08157407819437,5.19910524048114,
4,22,"I",2,4.5935829832935,5.36820691619357,"V",2,4.57822521594488,5.36820691619357,0.0153577673486254
4,23,"I",3,2.81947180625614,4.93100374426968,"I",3,3.60769174413568,4.88473040685018,
4,24,"vi",4,4.16424776014273,4.97245065924707,"vi",4,4.61720649249724,5.05050937634962,
4,25,"vi",5,1.86569905681354,4.51506468401425,"vi",4,4.27631378780055,4.99168600907015,
4,26,"I",6,2.84624892049373,4.7235211602252,"I",4,4.67567214906495,5.01365022168219,
4,27,"I",6,0.542775029229461,2.43720535400633,"I",4,1.94051727649021,4.45940762064716,
,,,,,,,,,,
5,72,"IV",7,4.10794853061772,4.2767427259887,"IV",7,4.10794853061772,4.2767427259887,
5,73,"V",6,1.65650274821473,3.90765953193192,"V",6,1.65650274821473,3.90765953193192,
5,74,"I",7,2.88566188471269,4.17120798041689,"I",7,2.88566188471269,4.17120798041689,
5,75,"I",7,3.49323808580491,4.50387669815021,"I",7,3.49323808580491,4.50387669815021,
5,76,"vi",7,2.96933847766822,4.415424655453,"vi",7,2.96933847766822,4.415424655453,
5,77,"IV",8,3.85357534532495,4.12931289335717,"V",8,3.87470851759078,4.12931289335717,0.021133172265833
5,78,"V",6,0.910017180324452,3.13417479922769,"V",7,2.41786303383406,3.82715015125053,
5,79,"V",7,3.12290955408737,3.17729310027893,"V",7,3.58604528054374,3.56602727895753,
5,80,"I",7,3.02434027882051,4.2140946138412,"I",6,4.09947977051611,5.05174901525887,
5,81,"IV",7,4.10794853061772,4.2767427259887,"IV",4,4.14247768515723,5.22345386718974,
5,82,"V",6,1.65650274821473,3.90765953193192,"V",5,2.77345630647963,4.40048758393458,
,,,,,,,,,,
6,113,"IV",7,4.10794853061772,4.2767427259887,"IV",7,4.10794853061772,4.2767427259887,
6,114,"V",6,1.65650274821473,3.90765953193192,"V",6,1.65650274821473,3.90765953193192,
6,115,"I",7,2.88566188471269,4.17120798041689,"I",7,2.88566188471269,4.17120798041689,
6,116,"I",7,3.49323808580491,4.50387669815021,"I",7,3.49323808580491,4.50387669815021,
6,117,"vi",7,2.96933847766822,4.415424655453,"vi",7,2.96933847766822,4.415424655453,
6,118,"IV",8,3.85357534532495,4.12931289335717,"V",8,3.87470851759078,4.12931289335717,0.021133172265833
6,119,"V",6,0.910017180324452,3.13417479922769,"V",7,2.41786303383406,3.82715015125053,
6,120,"V",7,3.12290955408737,3.17729310027893,"V",7,3.58604528054374,3.56602727895753,
6,121,"I",7,3.02434027882051,4.2140946138412,"I",6,4.09947977051611,5.05174901525887,
6,122,"IV",7,4.10794853061772,4.2767427259887,"IV",4,4.14247768515723,5.22345386718974,
6,123,"V",6,1.65650274821473,3.90765953193192,"V",5,2.77345630647963,4.40048758393458,
,,,,,,,,,,
7,122,"IV",7,4.10794853061772,4.2767427259887,"IV",7,4.10794853061772,4.2767427259887,
7,123,"V",6,1.65650274821473,3.90765953193192,"V",6,1.65650274821473,3.90765953193192,
7,124,"I",7,2.88566188471269,4.17120798041689,"I",7,2.88566188471269,4.17120798041689,
7,125,"I",7,3.49323808580491,4.50387669815021,"I",7,3.49323808580491,4.50387669815021,
7,126,"vi",7,2.96933847766822,4.415424655453,"vi",7,2.96933847766822,4.415424655453,
7,127,"IV",8,3.85357534532495,4.12931289335717,"V",8,3.87470851759078,4.12931289335717,0.021133172265833
7,128,"V",6,0.910017180324452,3.13417479922769,"V",7,2.41786303383406,3.82715015125053,
7,129,"V",7,3.12290955408737,3.17729310027893,"V",7,3.58604528054374,3.56602727895753,
7,130,"I",7,3.02434027882051,4.2140946138412,"I",6,4.09947977051611,5.05174901525887,
7,131,"IV",7,4.10794853061772,4.2767427259887,"IV",4,4.14247768515723,5.22345386718974,
