"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"vi",3,5.01370285267342,4.75688363943538
5,"vi",4,2.67470834895688,4.89656267640941
6,"IV",5,2.00671500650882,4.68615546646933
7,"IV",6,0.741012040062077,2.87564365274951
8,"V",7,0.748778681397566,2.88517625841391
9,"V",8,2.06462895193104,4.07663716286049
10,"I",9,1.16415508562206,3.5793099436378
11,"I",10,0.523975871629453,2.20068559875325
12,"vi",10,1.69383584593139,4.18525470109824
13,"vi",8,0.299502794043265,1.58843393347128
14,"IV",9,0.304936616307713,1.60749261918916
15,"IV",10,0.25487217799455,1.33400913621529
16,"V",9,0.203705769243795,1.15910696578494
17,"V",10,1.16331614475377,3.38229893757961
18,"I",10,1.76818222823342,4.02703904712814
19,"I",10,0.80273704451736,2.82553711244959
20,"vi",10,1.69383584593139,4.18525470109824
21,"vi",8,0.299502794043265,1.58843393347128
22,"IV",9,0.304936616307713,1.60749261918916
23,"IV",10,0.25487217799455,1.33400913621529
24,"V",9,0.203705769243795,1.15910696578494
25,"V",10,1.16331614475377,3.38229893757961
26,"I",10,1.76818222823342,4.02703904712814
27,"I",10,0.80273704451736,2.82553711244959
28,"vi",10,1.69383584593139,4.18525470109824
29,"vi",8,0.299502794043265,1.58843393347128
30,"IV",9,0.304936616307713,1.60749261918916
31,"IV",10,0.25487217799455,1.33400913621529
32,"V",9,0.203705769243795,1.15910696578494
33,"V",10,1.16331614475377,3.38229893757961
34,"IV",10,3.3127330614728,4.02703904712814
35,"iv",6,6.98854740614716,2.64769819861335
36,"I",3,3.3808346708422,5.23997749035896
37,"I",4,4.50006517324094,5.07839235640714
38,"IV",4,4.02217763545716,5.29139702334943
39,"iv",5,2.62488724619905,4.79701462485161
40,"II",6,1.98462120337638,4.10047985138124
41,"V",3,1.26212765155455,4.07119134006944
42,"I",3,4.51754185925783,4.39722277051132
43,"I",3,4.06095779276625,5.40591223357558
44,"vi",4,4.41584252765398,5.17204246427473
45,"vi",5,2.28467024572512,4.66594823567587
46,"IV",6,3.24275496864646,4.86821515456666
47,"IV",6,1.60204378252247,3.85681094905317
48,"V",7,2.56697056699419,4.6114601331913
49,"V",8,2.29967121737737,4.57873206803581
50,"I",9,2.6864920842835,4.47476904064252
51,"I",10,0.80273704451736,2.82553711244959
52,"vi",10,1.69383584593139,4.18525470109824
53,"vi",8,0.299502794043265,1.58843393347128
54,"IV",9,0.304936616307713,1.60749261918916
55,"IV",10,0.25487217799455,1.33400913621529
56,"V",9,0.203705769243795,1.15910696578494
57,"V",10,1.16331614475377,3.38229893757961
58,"IV",10,3.3127330614728,4.02703904712814
59,"iv",6,6.98854740614716,2.64769819861335
60,"I",3,3.3808346708422,5.23997749035896
61,"I",4,4.50006517324094,5.07839235640714
62,"IV",4,4.02217763545716,5.29139702334943
63,"iv",5,2.62488724619905,4.79701462485161
64,"II",6,1.98462120337638,4.10047985138124
65,"V",3,1.26212765155455,4.07119134006944
66,"I",3,4.51754185925783,4.39722277051132
67,"I",3,4.06095779276625,5.40591223357558
68,"vi",4,4.41584252765398,5.17204246427473
69,"vi",5,2.28467024572512,4.66594823567587
70,"IV",6,3.24275496864646,4.86821515456666
71,"IV",6,1.60204378252247,3.85681094905317
72,"V",7,2.56697056699419,4.6114601331913
73,"V",8,2.29967121737737,4.57873206803581
74,"I",9,2.6864920842835,4.47476904064252
75,"I",10,0.80273704451736,2.82553711244959
76,"vi",10,1.69383584593139,4.18525470109824
77,"vi",8,0.299502794043265,1.58843393347128
78,"IV",9,0.304936616307713,1.60749261918916
79,"IV",10,0.25487217799455,1.33400913621529
80,"V",9,0.203705769243795,1.15910696578494
81,"V",10,1.16331614475377,3.38229893757961
82,"r",10,2.69036160812242,4.02703904712814
83,"r",6,0.606075672332387,2.14509288237453
