"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,26,"II",9,2.2445535606764,4.16211164715463,"II",9,2.2445535606764,4.16211164715463,
1,27,"V",7,0.647056856575063,2.61907405964291,"V",7,0.647056856575063,2.61907405964291,
1,28,"v",8,6.48786723964892,3.37367206794637,"v",8,6.48786723964892,3.37367206794637,
1,29,"I",3,3.63713196358314,4.53468903081935,"I",3,3.63713196358314,4.53468903081935,
1,30,"I",3,3.46986097238979,5.12522563260148,"I",3,3.46986097238979,5.12522563260148,
1,31,"V",4,5.07071470644086,5.15078531312378,"ii",4,5.11456078850004,5.15078531312378,0.0438460820591855
1,32,"V",4,3.81793739666571,4.76566310935719,"V",4,3.62835146211362,4.75670512109537,
1,33,"V",4,3.45997967764643,5.06576039449055,"V",4,3.52410399571776,4.91053444436845,
1,34,"V",5,2.01977566945681,4.39307265106381,"V",5,4.30310722388465,3.76997811503436,
1,35,"I",6,3.03085487623673,4.845943564452,"I",4,3.2584706029485,4.94909766220634,
1,36,"I",7,2.32795835574361,4.4294358860112,"I",5,3.22414857152876,5.07988688423353,
,,,,,,,,,,
2,42,"II",9,2.2445535606764,4.16211164715463,"II",9,2.2445535606764,4.16211164715463,
2,43,"V",7,0.647056856575063,2.61907405964291,"V",7,0.647056856575063,2.61907405964291,
2,44,"v",8,6.48786723964892,3.37367206794637,"v",8,6.48786723964892,3.37367206794637,
2,45,"I",3,3.63713196358314,4.53468903081935,"I",3,3.63713196358314,4.53468903081935,
2,46,"I",3,3.46986097238979,5.12522563260148,"I",3,3.46986097238979,5.12522563260148,
2,47,"V",4,5.07071470644086,5.15078531312378,"ii",4,5.11456078850004,5.15078531312378,0.0438460820591855
2,48,"V",4,3.81793739666571,4.76566310935719,"V",4,3.62835146211362,4.75670512109537,
2,49,"V",4,3.45997967764643,5.06576039449055,"V",4,3.52410399571776,4.91053444436845,
2,50,"V",5,2.01977566945681,4.39307265106381,"V",5,4.30310722388465,3.76997811503436,
2,51,"I",6,3.03085487623673,4.845943564452,"I",4,3.2584706029485,4.94909766220634,
2,52,"IV",7,2.81096299023529,4.4294358860112,"IV",5,3.92350793859321,5.07988688423353,
,,,,,,,,,,
3,28,"v",8,6.48786723964892,3.37367206794637,"v",8,6.48786723964892,3.37367206794637,
3,29,"I",3,3.63713196358314,4.53468903081935,"I",3,3.63713196358314,4.53468903081935,
3,30,"I",3,3.46986097238979,5.12522563260148,"I",3,3.46986097238979,5.12522563260148,
3,31,"V",4,5.07071470644086,5.15078531312378,"V",4,5.07071470644086,5.15078531312378,
3,32,"V",4,3.81793739666571,4.76566310935719,"V",4,3.81793739666571,4.76566310935719,
3,33,"V",4,3.45997967764643,5.06576039449055,"I",4,3.41533971488278,5.06576039449055,0.0446399627636525
3,34,"V",5,2.01977566945681,4.39307265106381,"V",5,4.30206728713863,4.76891914578045,
3,35,"I",6,3.03085487623673,4.845943564452,"I",5,2.97470516234045,4.94554825596366,
3,36,"I",7,2.32795835574361,4.4294358860112,"I",6,2.97180212993339,4.81461766244678,
3,37,"IV",8,3.54655884966844,4.77650355982028,"IV",7,3.24092706592195,4.36575725571837,
3,38,"IV",8,0.58093690023043,2.49292585119524,"IV",7,1.40906276630641,3.9381134354088,
,,,,,,,,,,
4,44,"v",8,6.48786723964892,3.37367206794637,"v",8,6.48786723964892,3.37367206794637,
4,45,"I",3,3.63713196358314,4.53468903081935,"I",3,3.63713196358314,4.53468903081935,
4,46,"I",3,3.46986097238979,5.12522563260148,"I",3,3.46986097238979,5.12522563260148,
4,47,"V",4,5.07071470644086,5.15078531312378,"V",4,5.07071470644086,5.15078531312378,
4,48,"V",4,3.81793739666571,4.76566310935719,"V",4,3.81793739666571,4.76566310935719,
4,49,"V",4,3.45997967764643,5.06576039449055,"I",4,3.41533971488278,5.06576039449055,0.0446399627636525
4,50,"V",5,2.01977566945681,4.39307265106381,"V",5,4.30206728713863,4.76891914578045,
4,51,"I",6,3.03085487623673,4.845943564452,"I",5,2.97470516234045,4.94554825596366,
4,52,"IV",7,2.81096299023529,4.4294358860112,"IV",6,2.94874994707097,4.81461766244678,
4,53,"I",7,0.91205810377477,3.20862520534715,"I",7,2.74876406698319,4.23018809363024,
4,54,"V",8,4.83089508942481,2.85855684815797,"V",7,3.04219517336192,3.72776912986104,
,,,,,,,,,,
5,4,"I",3,1.9015572519795,4.57932515337133,"I",3,1.9015572519795,4.57932515337133,
5,5,"I",4,3.01313750994169,4.60969252881696,"I",4,3.01313750994169,4.60969252881696,
5,6,"I",5,2.47440087651187,4.46626852740343,"I",5,2.47440087651187,4.46626852740343,
5,7,"V",6,4.51805133009118,4.75515453249244,"V",6,4.51805133009118,4.75515453249244,
5,8,"V",6,2.82852817842526,4.66777444060796,"V",6,2.82852817842526,4.66777444060796,
5,9,"V",7,2.857896045484,4.66804840776233,"IV",7,2.9129851680555,4.66804840776233,0.0550891225715033
5,10,"V",7,1.28891570588529,3.68944862655448,"V",8,2.3164550160239,3.75998360319354,
5,11,"I",8,1.68115320260127,4.18538284602275,"I",9,1.99134807401644,4.00759141219373,
5,12,"I",9,2.70311997684301,4.3292390745754,"I",7,4.76603758446293,2.52978039143546,
5,13,"I",9,2.56922837883772,4.58202423948555,"I",6,2.80474819844405,4.47265856477497,
5,14,"I",8,0.255273770397308,1.41398000555551,"I",7,2.42194603253367,4.02079452900876,
,,,,,,,,,,
6,20,"I",10,1.19188218634569,3.53815111500146,"I",10,1.19188218634569,3.53815111500146,
6,21,"IV",10,2.50453104668556,4.17746561830381,"IV",10,2.50453104668556,4.17746561830381,
6,22,"IV",8,0.58093690023043,2.49292585119524,"IV",8,0.58093690023043,2.49292585119524,
6,23,"I",10,1.33667820584312,3.84443125130477,"I",10,1.33667820584312,3.84443125130477,
6,24,"I",10,1.53811872722105,3.77752262978082,"I",10,1.53811872722105,3.77752262978082,
6,25,"II",10,4.72941454726184,3.8642209437745,"vi",10,4.79773823258778,3.8642209437745,0.0683236853259359
6,26,"II",9,2.2445535606764,4.16211164715463,"II",8,4.16576057614537,3.06501511651191,
6,27,"V",7,0.647056856575063,2.61907405964291,"V",5,0.54524325436836,2.3353183800676,
6,28,"v",8,6.48786723964892,3.37367206794637,"v",5,8.1376726659335,2.02272954250941,
6,29,"I",3,3.63713196358314,4.53468903081935,"I",3,3.63713196358314,4.53468903081935,
6,30,"I",3,3.46986097238979,5.12522563260148,"I",3,3.46986097238979,5.12522563260148,
,,,,,,,,,,
7,36,"I",7,2.32795835574361,4.4294358860112,"I",7,2.32795835574361,4.4294358860112,
7,37,"IV",8,3.54655884966844,4.77650355982028,"IV",8,3.54655884966844,4.77650355982028,
7,38,"IV",8,0.58093690023043,2.49292585119524,"IV",8,0.58093690023043,2.49292585119524,
7,39,"I",10,1.33667820584312,3.84443125130477,"I",10,1.33667820584312,3.84443125130477,
7,40,"I",10,1.53811872722105,3.77752262978082,"I",10,1.53811872722105,3.77752262978082,
7,41,"II",10,4.72941454726184,3.8642209437745,"vi",10,4.79773823258778,3.8642209437745,0.0683236853259359
7,42,"II",9,2.2445535606764,4.16211164715463,"II",8,4.16576057614537,3.06501511651191,
7,43,"V",7,0.647056856575063,2.61907405964291,"V",5,0.54524325436836,2.3353183800676,
7,44,"v",8,6.48786723964892,3.37367206794637,"v",5,8.1376726659335,2.02272954250941,
7,45,"I",3,3.63713196358314,4.53468903081935,"I",3,3.63713196358314,4.53468903081935,
7,46,"I",3,3.46986097238979,5.12522563260148,"I",3,3.46986097238979,5.12522563260148,
,,,,,,,,,,
8,4,"I",3,1.9015572519795,4.57932515337133,"I",3,1.9015572519795,4.57932515337133,
8,5,"I",4,3.01313750994169,4.60969252881696,"I",4,3.01313750994169,4.60969252881696,
8,6,"I",5,2.47440087651187,4.46626852740343,"I",5,2.47440087651187,4.46626852740343,
8,7,"V",6,4.51805133009118,4.75515453249244,"V",6,4.51805133009118,4.75515453249244,
8,8,"V",6,2.82852817842526,4.66777444060796,"V",6,2.82852817842526,4.66777444060796,
8,9,"V",7,2.857896045484,4.66804840776233,"I",7,2.93943647300386,4.66804840776233,0.0815404275198559
8,10,"V",7,1.28891570588529,3.68944862655448,"V",7,5.67638644262035,2.62597556147233,
8,11,"I",8,1.68115320260127,4.18538284602275,"I",5,2.97470516234045,4.94554825596366,
8,12,"I",9,2.70311997684301,4.3292390745754,"I",6,2.97180212993339,4.81461766244678,
8,13,"I",9,2.56922837883772,4.58202423948555,"I",7,1.91191538873882,4.36575725571837,
8,14,"I",8,0.255273770397308,1.41398000555551,"I",8,1.38781758599472,3.67714385842088,
,,,,,,,,,,
