"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"I",2,1.89816789494214,3.69160509208492
4,"V",3,3.70751227057879,4.60705096822207
5,"IV",4,2.58315259108343,4.03827971166936
6,"V",5,1.90211287739979,3.93423767636904
7,"I",6,1.13521078309964,3.55833483659706
8,"V",7,1.47484042386705,4.18364201502667
9,"IV",7,1.21710029631188,3.65178509030658
10,"V",8,0.995751883354935,3.31490253920005
11,"I",9,0.989696712952927,3.42530563973777
12,"V",10,0.907294910379715,3.23500281060889
13,"IV",10,0.359233162798578,1.73561138860308
14,"V",10,0.590047556672072,2.42511910030813
15,"vi",10,4.79290566496692,2.12453902700943
16,"iii",5,4.63474100553023,3.77206690162434
17,"IV",4,0.600800509517758,2.65185863625936
18,"V",6,2.96775638004433,4.31702251918083
19,"I",6,2.16210952114066,4.3556864074332
20,"V",7,3.68239850805079,4.79864745334808
21,"IV",6,4.45993565846937,3.18599800438776
22,"V",5,2.6084433525189,4.61860328084593
23,"vi",6,3.88173294106142,4.43380285912522
24,"iii",5,4.63474100553023,3.77206690162434
25,"IV",4,0.600800509517758,2.65185863625936
26,"V",6,2.96775638004433,4.31702251918083
27,"IV",6,4.56596901513124,4.3556864074332
28,"V",4,2.31958146266666,4.51598116583589
29,"iii",5,5.37144157100793,4.65980656668061
30,"vi",4,2.54726674511826,4.36928791210722
31,"V",5,4.97280118430753,4.28237956363943
32,"IV",4,3.44082090268911,4.37464283406223
33,"V",4,3.82410732730169,4.65367650449824
34,"iii",4,5.18654110445351,4.77385336158666
35,"vi",4,2.54726674511826,4.36928791210722
36,"V",5,4.97280118430753,4.28237956363943
37,"IV",4,3.44082090268911,4.37464283406223
38,"V",4,3.82410732730169,4.65367650449824
39,"iii",4,5.18654110445351,4.77385336158666
40,"vi",4,2.54726674511826,4.36928791210722
41,"V",5,4.97280118430753,4.28237956363943
42,"ii",4,5.74992974013597,4.37464283406223
43,"V",3,3.05445599548252,4.94842967662747
44,"V",4,3.9385547691481,4.70247553261635
45,"I",4,1.86536060094551,4.15301976663218
46,"ii",5,5.14396006124281,4.74870672421232
47,"IV",5,3.12915734132542,4.29242010804773
48,"V",5,2.0619527417167,3.75401525922596
49,"I",6,2.85080567922288,3.70855075377509
50,"ii",6,3.259025771265,4.91239227844578
51,"IV",7,2.13470653497719,4.3206588283405
52,"V",6,0.400718407167026,1.85264798524009
53,"I",9,1.85241106409942,4.12048340904792
54,"ii",10,1.48883013666031,3.92219687380702
55,"IV",10,1.73143490920805,3.95125284533141
56,"V",6,0.400718407167026,1.85264798524009
57,"I",10,1.23841290883167,3.58822038970528
58,"ii",10,1.48883013666031,3.92219687380702
59,"V",10,4.32404789588401,3.95125284533141
60,"I",5,1.76817529039417,4.43416566007539
61,"IV",6,3.27853037131435,5.00540997835362
62,"ii",7,4.13234818142727,3.99109013695872
63,"V",6,2.51150548239424,3.92111637887048
64,"I",6,1.9093608994521,4.24908643604655
65,"IV",7,3.78765431157705,4.78838069476214
66,"ii",6,1.96330089359041,4.21515039899315
67,"V",6,1.55871950103419,3.9113099103188
68,"I",7,1.29533164329116,3.73133058749982
69,"V",7,4.76624725758675,4.78838069476214
70,"IV",5,4.21088095981979,4.63881195851606
71,"V",5,3.95788131736929,4.30642218002873
72,"vi",5,4.02488145544468,4.91857713300716
