"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
31,5,"V",4.97280118430753,4.28237956363943,"I",4.97132874588528,4.28237956363943,0.00147243842225109
36,5,"V",4.97280118430753,4.28237956363943,"I",4.97132874588528,4.28237956363943,0.00147243842225109
41,5,"V",4.97280118430753,4.28237956363943,"I",4.97132874588528,4.28237956363943,0.00147243842225109
88,5,"V",4.97280118430753,4.28237956363943,"I",4.97132874588528,4.28237956363943,0.00147243842225109
93,5,"V",4.97280118430753,4.28237956363943,"I",4.97132874588528,4.28237956363943,0.00147243842225109
98,5,"V",4.97280118430753,4.28237956363943,"I",4.97132874588528,4.28237956363943,0.00147243842225109
121,13,"ii",5.42401198761032,4.00686300300726,"-VII",5.40630273530846,4.00686300300726,0.0177092523018523
20,5,"V",3.68239850805079,4.79864745334808,"I",3.71468709506566,4.79864745334808,0.0322885870148677
77,5,"V",3.68239850805079,4.79864745334808,"I",3.71468709506566,4.79864745334808,0.0322885870148677
124,8,"IV",4.10590944962435,5.22991243689656,"vi",4.1483768299921,5.22991243689656,0.0424673803677456
168,4,"ii",4.30816477956127,5.00540997835362,"V",4.35472549770043,5.00540997835362,0.046560718139153
208,9,"V",3.45878710014075,4.21515039899315,"IV",3.50997897853301,4.21515039899315,0.0511918783922516
146,4,"IV",2.65279186758212,4.46521580302073,"V",2.58890488966441,4.46521580302073,0.06388697791771
15,9,"vi",4.79290566496692,2.12453902700943,"IV",4.72579388131717,2.12453902700943,0.0671117836497439
46,13,"ii",5.14396006124281,4.74870672421232,"-VII",5.21126473006484,4.74870672421232,0.0673046688220262
103,13,"ii",5.14396006124281,4.74870672421232,"-VII",5.21126473006484,4.74870672421232,0.0673046688220262
