"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"-VII",3,5.03550147546079,4.756565239107
5,"IV",4,2.1199430935917,4.0461720611273
6,"I",5,2.15130697454391,4.35164318984455
7,"I",6,1.65056429031761,4.25230869013516
8,"I",7,3.32391701790149,4.16177991918315
9,"-VII",7,3.05410855189394,4.76373199433649
10,"IV",8,2.00872277556783,3.79394471810596
11,"I",9,1.79950550737075,4.21183614912391
12,"I",10,0.717640562628732,2.84456858868683
13,"I",10,1.56903786113113,3.76664344097196
14,"-VII",9,0.796731348472678,2.9580011072157
15,"IV",9,0.490592991756572,2.01150124198151
16,"I",10,1.32295322991505,3.6840775990784
17,"I",10,0.717640562628732,2.84456858868683
18,"I",10,1.56903786113113,3.76664344097196
19,"-VII",9,0.796731348472678,2.9580011072157
20,"IV",9,0.490592991756572,2.01150124198151
21,"I",10,1.32295322991505,3.6840775990784
22,"I",10,0.717640562628732,2.84456858868683
23,"I",10,1.56903786113113,3.76664344097196
24,"-VII",9,0.796731348472678,2.9580011072157
25,"IV",9,0.490592991756572,2.01150124198151
26,"I",10,1.32295322991505,3.6840775990784
27,"V",10,5.03969643448007,2.84456858868683
28,"IV",6,4.62798571165406,4.13650026035989
29,"V",4,3.51789729679109,4.87802339313737
30,"IV",5,2.64809602384386,4.17842688747835
31,"V",6,1.80120873327258,4.25067479869306
32,"IV",7,2.99947687887056,4.36763593716532
33,"V",7,1.69116286347657,4.14915531808744
34,"IV",8,1.76616802938859,4.15033799032713
35,"I",9,3.42467072367449,4.31210138112287
36,"-VII",9,5.47097234168301,4.2403068908734
37,"IV",5,1.64269902218721,4.04793194024559
38,"I",5,3.71895427824748,4.16112769503576
39,"-VII",5,3.09378814822683,4.82012147854577
40,"IV",6,0.803103343850998,2.95405582055274
41,"I",7,2.68150000789747,4.79823478094327
42,"-VII",8,2.61072998034164,4.63603748858449
43,"IV",6,0.0162964142827873,0.140678498059958
44,"I",10,0.545845579214986,2.40475251899307
45,"-VII",10,0.327129456250232,1.64565641895811
46,"IV",6,0.0162964142827873,0.140678498059958
47,"IV",10,4.99437719195133,2.40475251899307
48,"r",6,4.40694422891348,3.11582731846393
49,"I",4,2.46584047279724,2.52752975265157
50,"I",4,1.30261375391188,3.77155856804022
51,"-VII",5,5.43740484347332,4.28918586260299
52,"IV",4,2.1199430935917,4.0461720611273
53,"I",5,2.15130697454391,4.35164318984455
54,"I",6,1.65056429031761,4.25230869013516
55,"I",7,3.32391701790149,4.16177991918315
56,"-VII",7,3.05410855189394,4.76373199433649
57,"IV",8,2.00872277556783,3.79394471810596
58,"I",9,1.79950550737075,4.21183614912391
59,"I",10,0.717640562628732,2.84456858868683
60,"I",10,1.56903786113113,3.76664344097196
61,"-VII",9,0.796731348472678,2.9580011072157
62,"IV",9,0.490592991756572,2.01150124198151
63,"I",10,1.32295322991505,3.6840775990784
64,"V",10,5.03969643448007,2.84456858868683
65,"IV",6,4.62798571165406,4.13650026035989
66,"V",4,3.51789729679109,4.87802339313737
67,"IV",5,2.64809602384386,4.17842688747835
68,"V",6,1.80120873327258,4.25067479869306
69,"IV",7,2.99947687887056,4.36763593716532
70,"V",7,1.69116286347657,4.14915531808744
71,"IV",8,1.76616802938859,4.15033799032713
72,"I",9,3.42467072367449,4.31210138112287
73,"-VII",9,5.47097234168301,4.2403068908734
74,"IV",5,1.64269902218721,4.04793194024559
75,"I",5,3.71895427824748,4.16112769503576
76,"-VII",5,3.09378814822683,4.82012147854577
77,"IV",6,0.803103343850998,2.95405582055274
