"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
41,5,"IV",4.44888294179421,5.13084395618002,"I",4.45567350357979,5.13084395618002,0.00679056178557857
59,9,"V",5.15610991618501,4.79991541135879,"IV",5.16291535970345,4.79991541135879,0.00680544351844059
44,4,"i",4.83698332176223,4.93749767468094,"V",4.84521089282756,4.93749767468094,0.00822757106533345
78,7,"iv",5.15586028200573,5.36122866981151,"iii",5.16641626647405,5.36122866981151,0.010555984468323
76,14,"v",6.32614015963881,4.76697101557522,"-III",6.33862474541014,4.76697101557522,0.0124845857713245
72,9,"v",5.56222093907932,4.5971976602646,"IV",5.54951497588706,4.5971976602646,0.0127059631922659
15,3,"-III",5.8321583473849,4.00614153401606,"ii",5.81929510015958,4.00614153401606,0.0128632472253241
26,3,"-III",5.8321583473849,4.00614153401606,"ii",5.81929510015958,4.00614153401606,0.0128632472253241
52,3,"-III",5.8321583473849,4.00614153401606,"ii",5.81929510015958,4.00614153401606,0.0128632472253241
68,3,"-III",5.8321583473849,4.00614153401606,"ii",5.81929510015958,4.00614153401606,0.0128632472253241
78,3,"iv",5.15586028200573,5.36122866981151,"ii",5.17444343901766,5.36122866981151,0.0185831570119337
47,11,"iv",2.87746352933436,4.73623852009733,"v",2.85845181558582,4.73623852009733,0.0190117137485397
72,23,"v",5.56222093907932,4.5971976602646,"-II",5.54263132843769,4.5971976602646,0.0195896106416331
11,29,"vo",7.99947157253269,3.99418898277611,"viio",8.02084522332525,3.99418898277611,0.0213736507925661
11,33,"vo",7.99947157253269,3.99418898277611,"vio",8.02084522332525,3.99418898277611,0.0213736507925661
22,29,"vo",8.3458983954791,3.47699288703558,"viio",8.36727204627166,3.47699288703558,0.021373650792567
22,33,"vo",8.3458983954791,3.47699288703558,"vio",8.36727204627166,3.47699288703558,0.021373650792567
48,29,"vo",7.763678257623,4.11074450022835,"viio",7.78505190841556,4.11074450022835,0.021373650792567
48,33,"vo",7.763678257623,4.11074450022835,"vio",7.78505190841556,4.11074450022835,0.021373650792567
64,29,"vo",7.71151522318198,4.29730255704351,"viio",7.73288887397455,4.29730255704351,0.021373650792567
64,33,"vo",7.71151522318198,4.29730255704351,"vio",7.73288887397455,4.29730255704351,0.021373650792567
76,6,"v",6.32614015963881,4.76697101557522,"VI",6.35159038061119,4.76697101557522,0.0254502209723784
44,15,"i",4.83698332176223,4.93749767468094,"-VI",4.86340974708934,4.93749767468094,0.0264264253271058
