"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
68,15,"-III",5.30042909905761,5.02476483472303,"-VI",5.30042909905761,5.02476483472303,0
17,9,"-VII",4.63061935666231,4.17633357061064,"IV",4.62540083635319,4.17633357061064,0.00521852030911418
39,9,"-VII",4.63061935666231,4.17633357061064,"IV",4.62540083635319,4.17633357061064,0.00521852030911418
174,14,"I",2.87585811202684,3.78276197959627,"-III",2.88624219788044,3.78276197959627,0.0103840858535995
58,14,"I",2.87075893911272,3.81645993875873,"-III",2.88155227496655,3.81645993875873,0.0107933358538266
171,13,"I",4.15286090526914,4.46951786935386,"-VII",4.14013378181562,4.46951786935386,0.0127271234535211
68,11,"-III",5.30042909905761,5.02476483472303,"v",5.31970540944181,5.02476483472303,0.0192763103842006
139,8,"-VII",5.1600470337904,4.53390962631618,"vi",5.13707443917913,4.53390962631618,0.0229725946112742
122,21,"vii",6.26918549824341,5.15574432268368,"VII",6.24148490247512,5.15574432268368,0.0277005957682839
122,23,"vii",6.26918549824341,5.15574432268368,"-II",6.24148490247512,5.15574432268368,0.0277005957682839
128,21,"vii",6.26918549824341,5.15574432268368,"VII",6.24148490247512,5.15574432268368,0.0277005957682839
128,23,"vii",6.26918549824341,5.15574432268368,"-II",6.24148490247512,5.15574432268368,0.0277005957682839
134,21,"vii",6.26918549824341,5.15574432268368,"VII",6.24148490247512,5.15574432268368,0.0277005957682839
134,23,"vii",6.26918549824341,5.15574432268368,"-II",6.24148490247512,5.15574432268368,0.0277005957682839
35,9,"-VII",1.9592734809575,3.70475341419584,"IV",1.98792860250841,3.70475341419584,0.0286551215509032
184,15,"-VII",3.94037495185134,5.18742450396517,"-VI",3.9050407881115,5.18742450396517,0.0353341637398397
24,19,"-III",5.3859623763937,4.47594684651613,"iv",5.42335829063748,4.47594684651613,0.0373959142437776
46,19,"-III",5.3859623763937,4.47594684651613,"iv",5.42335829063748,4.47594684651613,0.0373959142437776
177,19,"-III",5.3859623763937,4.47594684651613,"iv",5.42335829063748,4.47594684651613,0.0373959142437776
8,8,"-VII",5.01293825175436,4.53677745013086,"vi",4.97532900354097,4.53677745013086,0.037609248213391
185,9,"i",4.40672275813296,3.74405606886528,"IV",4.44603555841236,3.74405606886528,0.0393128002793981
169,19,"-III",5.62476322429227,4.44883775553459,"iv",5.58421482631277,4.44883775553459,0.0405483979795092
169,11,"-III",5.62476322429227,4.44883775553459,"v",5.69289472093645,4.44883775553459,0.0681314966441784
103,8,"-VII",3.65097220629049,4.13352539189487,"vi",3.73108838108011,4.13352539189487,0.0801161747896177
122,10,"vii",6.26918549824341,5.15574432268368,"II",6.35686685791603,5.15574432268368,0.0876813596726231
128,10,"vii",6.26918549824341,5.15574432268368,"II",6.35686685791603,5.15574432268368,0.0876813596726231
134,10,"vii",6.26918549824341,5.15574432268368,"II",6.35686685791603,5.15574432268368,0.0876813596726231
170,14,"-VII",3.68243750122701,5.14875811674521,"-III",3.77404337458134,5.14875811674521,0.0916058733543323
8,10,"-VII",5.01293825175436,4.53677745013086,"II",5.10603760832466,4.53677745013086,0.0930993565702938
