"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,5,"-VI",3,5.0167862979426,5.02724870129425,"-VI",3,5.0167862979426,5.02724870129425,
1,6,"i",3,4.94855990237496,5.00817401972898,"i",3,4.94855990237496,5.00817401972898,
1,7,"v",3,3.06770530049815,5.02721528191311,"v",3,3.06770530049815,5.02721528191311,
1,8,"v",4,5.14840164913142,4.66725107144045,"v",4,5.14840164913142,4.66725107144045,
1,9,"-VI",3,5.0167862979426,5.02724870129425,"-VI",3,5.0167862979426,5.02724870129425,
1,10,"i",3,4.94855990237496,5.00817401972898,"v",3,4.94342026373325,5.00817401972898,0.00513963864171707
1,11,"v",3,3.06770530049815,5.02721528191311,"v",3,4.82495243337898,4.75689399048951,
1,12,"v",4,5.14840164913142,4.66725107144045,"v",3,4.16479519260228,4.94284786559108,
1,13,"-VI",3,5.0167862979426,5.02724870129425,"-VI",3,5.18075260908794,4.77723881824967,
1,14,"i",3,4.94855990237496,5.00817401972898,"i",3,4.94855990237496,5.00817401972898,
1,15,"v",3,3.06770530049815,5.02721528191311,"v",3,3.06770530049815,5.02721528191311,
,,,,,,,,,,
2,9,"-VI",3,5.0167862979426,5.02724870129425,"-VI",3,5.0167862979426,5.02724870129425,
2,10,"i",3,4.94855990237496,5.00817401972898,"i",3,4.94855990237496,5.00817401972898,
2,11,"v",3,3.06770530049815,5.02721528191311,"v",3,3.06770530049815,5.02721528191311,
2,12,"v",4,5.14840164913142,4.66725107144045,"v",4,5.14840164913142,4.66725107144045,
2,13,"-VI",3,5.0167862979426,5.02724870129425,"-VI",3,5.0167862979426,5.02724870129425,
2,14,"i",3,4.94855990237496,5.00817401972898,"v",3,4.94342026373325,5.00817401972898,0.00513963864171707
2,15,"v",3,3.06770530049815,5.02721528191311,"v",3,4.82495243337898,4.75689399048951,
2,16,"v",4,5.14840164913142,4.66725107144045,"v",3,4.16479519260228,4.94284786559108,
2,17,"-VI",3,5.0167862979426,5.02724870129425,"-VI",3,5.18075260908794,4.77723881824967,
