"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
125,8,"-VII",3.46091639367783,4.66615545656874,"vi",3.46619278879596,4.66615545656874,0.00527639511812605
20,4,"-VII",3.93841844156592,5.07727119275589,"V",3.93086136634022,5.07727119275589,0.00755707522569837
49,4,"-VII",3.93841844156592,5.07727119275589,"V",3.93086136634022,5.07727119275589,0.00755707522569837
97,4,"-VII",3.93841844156592,5.07727119275589,"V",3.93086136634022,5.07727119275589,0.00755707522569837
13,9,"I",2.66346736820238,4.66980644879313,"IV",2.65390538900806,4.66980644879313,0.00956197919431734
35,5,"IV",3.04688532695225,4.43398306200268,"I",3.06063345191182,4.43398306200268,0.013748124959565
64,5,"IV",3.04688532695225,4.43398306200268,"I",3.06063345191182,4.43398306200268,0.013748124959565
112,5,"IV",3.04688532695225,4.43398306200268,"I",3.06063345191182,4.43398306200268,0.013748124959565
126,5,"IV",4.20238102747746,2.77949780457077,"I",4.21612915243702,2.77949780457077,0.013748124959565
71,12,"-III",6.02557254318326,4.58487130634599,"i",6.01145430988376,4.58487130634599,0.0141182332995031
9,8,"-VII",4.9131591023305,4.28935531091389,"vi",4.87161628054557,4.28935531091389,0.0415428217849279
39,8,"-VII",5.10548582940504,3.93823612361749,"vi",5.06394300762011,3.93823612361749,0.0415428217849279
68,8,"-VII",5.10548582940504,3.93823612361749,"vi",5.06394300762011,3.93823612361749,0.0415428217849279
87,8,"-VII",5.10548582940504,3.93823612361749,"vi",5.06394300762011,3.93823612361749,0.0415428217849279
116,8,"-VII",5.10548582940504,3.93823612361749,"vi",5.06394300762011,3.93823612361749,0.0415428217849279
130,8,"-VII",5.10548582940504,3.93823612361749,"vi",5.06394300762011,3.93823612361749,0.0415428217849279
135,8,"-VII",4.9131591023305,4.28935531091389,"vi",4.87161628054557,4.28935531091389,0.0415428217849279
140,8,"-VII",4.9131591023305,4.28935531091389,"vi",4.87161628054557,4.28935531091389,0.0415428217849279
145,8,"-VII",4.9131591023305,4.28935531091389,"vi",4.87161628054557,4.28935531091389,0.0415428217849279
150,8,"-VII",4.9131591023305,4.28935531091389,"vi",4.87161628054557,4.28935531091389,0.0415428217849279
155,8,"-VII",4.9131591023305,4.28935531091389,"vi",4.87161628054557,4.28935531091389,0.0415428217849279
160,8,"-VII",4.9131591023305,4.28935531091389,"vi",4.87161628054557,4.28935531091389,0.0415428217849279
34,9,"-VII",4.06858089762835,5.23742225249848,"IV",4.02340395251322,5.23742225249848,0.0451769451151316
63,9,"-VII",4.06858089762835,5.23742225249848,"IV",4.02340395251322,5.23742225249848,0.0451769451151316
111,9,"-VII",4.06858089762835,5.23742225249848,"IV",4.02340395251322,5.23742225249848,0.0451769451151316
43,13,"I",2.03469178339501,4.13368113568607,"-VII",2.08595810624665,4.13368113568607,0.0512663228516388
91,13,"I",2.03469178339501,4.13368113568607,"-VII",2.08595810624665,4.13368113568607,0.0512663228516388
120,13,"I",2.03469178339501,4.13368113568607,"-VII",2.08595810624665,4.13368113568607,0.0512663228516388
20,9,"-VII",3.93841844156592,5.07727119275589,"IV",3.87416588589926,5.07727119275589,0.0642525556666556
49,9,"-VII",3.93841844156592,5.07727119275589,"IV",3.87416588589926,5.07727119275589,0.0642525556666556
97,9,"-VII",3.93841844156592,5.07727119275589,"IV",3.87416588589926,5.07727119275589,0.0642525556666556
17,5,"IV",2.32400854141279,4.38563117428523,"I",2.39390369448629,4.38563117428523,0.0698951530734977
72,13,"-III",2.9401475098341,4.99193132825318,"-VII",3.01357753610473,4.99193132825318,0.0734300262706271
18,15,"I",6.92032467621878,1.5905767944744,"-VI",6.84152786499606,1.5905767944744,0.0787968112227198
47,15,"I",5.38816169600529,3.61015303685812,"-VI",5.30936488478257,3.61015303685812,0.0787968112227198
95,15,"I",5.38816169600529,3.61015303685812,"-VI",5.30936488478257,3.61015303685812,0.0787968112227198
77,5,"-VII",2.37669580952535,4.17541746209539,"I",2.29482071769818,4.17541746209539,0.081875091827178
46,4,"IV",3.67419171721416,4.50005445408431,"V",3.58332223554716,4.50005445408431,0.0908694816669957
94,4,"IV",3.67419171721416,4.50005445408431,"V",3.58332223554716,4.50005445408431,0.0908694816669957
18,14,"I",6.92032467621878,1.5905767944744,"-III",6.82299435940998,1.5905767944744,0.0973303168087964
47,14,"I",5.38816169600529,3.61015303685812,"-III",5.2908313791965,3.61015303685812,0.0973303168087973
95,14,"I",5.38816169600529,3.61015303685812,"-III",5.2908313791965,3.61015303685812,0.0973303168087973
30,10,"-VII",6.27751656091821,2.80972140638004,"II",6.37749457543255,2.80972140638004,0.0999780145143339
59,10,"-VII",6.27751656091821,2.80972140638004,"II",6.37749457543255,2.80972140638004,0.0999780145143339
107,10,"-VII",6.27751656091821,2.80972140638004,"II",6.37749457543255,2.80972140638004,0.0999780145143339
