"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"i",1,3.53531957968047,4.04565444768758
3,"i",2,1.85125750979379,4.58062289472694
4,"i",3,1.54937638521623,4.26718523516034
5,"i",4,1.1676908441455,3.81514942629404
6,"i",5,1.70892553173893,4.33044354850012
7,"i",6,1.2699516929557,3.87633743171946
8,"i",7,1.57791230715197,4.18090574131189
9,"i",8,0.861067654152374,3.1595302183681
10,"i",9,2.08361122531646,4.54983480151689
11,"i",10,0.95398870137579,3.42174296759858
12,"iv",10,5.93837177053656,1.81239740699589
13,"iv",10,1.251089087168,3.55385473061533
14,"i",10,1.53172670859254,3.82275980112834
15,"i",6,0.304392182509965,1.60620167567066
16,"i",10,2.65227172883699,3.47940511042554
17,"i",6,0.555778778214416,2.48066697941292
18,"-VI",10,3.46677687575199,4.00325104224877
19,"-VII",6,3.58262255010565,3.36845782823
20,"-VI",6,3.8176362339551,4.35900315901602
21,"-VII",4,0.840444118940933,3.22815725341156
22,"i",6,2.32675059513952,3.524803843397
23,"i",6,2.37970619058008,4.06792396692035
24,"V",6,6.33729827911751,3.94796456511312
25,"V",3,3.1085486435578,4.69701329903918
26,"i",4,1.04474226737861,3.6499352719841
27,"i",5,2.58784758610787,4.90178779115249
28,"i",6,2.89095096827448,4.71279963051502
29,"i",6,1.24519858454646,3.84725582002137
30,"i",6,0.610614980642947,2.65747582891849
31,"i",7,0.618672886117999,2.6645565956378
32,"iv",8,4.4173301425511,2.53445786804252
33,"iv",8,1.65863026927063,4.10214321176217
34,"i",9,1.90922956380168,4.06749783567716
35,"i",6,0.304392182509965,1.60620167567066
36,"i",10,2.65227172883699,3.47940511042554
37,"i",6,0.555778778214416,2.48066697941292
38,"-VI",10,3.46677687575199,4.00325104224877
39,"-VII",6,3.58262255010565,3.36845782823
40,"-VI",6,3.8176362339551,4.35900315901602
41,"-VII",4,0.840444118940933,3.22815725341156
42,"i",6,2.32675059513952,3.524803843397
43,"i",6,2.37970619058008,4.06792396692035
44,"V",6,6.33729827911751,3.94796456511312
45,"V",3,3.1085486435578,4.69701329903918
46,"I",4,5.29368800101003,3.6499352719841
47,"ii",3,4.92341317733312,5.32389468076965
48,"IV",4,2.82898372804986,4.76005411647195
49,"I",5,1.98335174719793,3.78502786636818
50,"I",6,4.06050236811704,3.25752203660752
51,"ii",5,3.85752667126284,4.94751153355081
52,"IV",6,3.84968500719698,4.43749058802188
53,"IV",6,1.55721710811939,3.62231114448454
54,"IV",5,4.43969562839614,1.78488369618017
55,"IV",5,1.66829137727968,4.40256533307736
56,"i",6,5.15303508670295,4.61987548448285
57,"i",4,0.804093117445011,3.21723369419553
58,"i",6,1.86324753047739,4.1319485344901
59,"i",5,0.481776755169283,2.28799794355229
60,"i",7,2.92766064994657,3.94290422766087
61,"i",6,0.303840468807226,1.65855201898667
62,"iv",8,4.48018234407985,4.27109716338899
63,"iv",7,3.05767537902903,4.65232250164905
64,"i",8,2.58716486095146,4.49035419755046
65,"i",6,0.304392182509965,1.60620167567066
66,"i",10,2.65227172883699,3.47940511042554
67,"i",6,0.555778778214416,2.48066697941292
68,"-VI",10,3.46677687575199,4.00325104224877
69,"-VII",6,3.58262255010565,3.36845782823
70,"-VI",6,3.8176362339551,4.35900315901602
71,"-VII",4,0.840444118940933,3.22815725341156
72,"i",6,2.32675059513952,3.524803843397
73,"i",6,2.37970619058008,4.06792396692035
74,"I",6,6.00469663764347,3.94796456511312
75,"ii",4,6.5789245042021,4.2150960151484
76,"IV",2,4.3622615629202,5.33324627375572
77,"I",3,2.3936726628023,4.5089983781772
78,"I",4,3.03683538461911,4.84437398158893
79,"ii",5,3.85752667126284,4.94751153355081
80,"IV",6,3.84968500719698,4.43749058802188
81,"IV",6,1.55721710811939,3.62231114448454
82,"IV",5,4.43969562839614,1.78488369618017
83,"IV",5,1.66829137727968,4.40256533307736
84,"I",6,2.10000128610195,4.61987548448285
85,"ii",6,2.12972327371579,4.48007816598796
86,"IV",6,5.25080099008097,2.98438184942028
87,"I",4,3.14831282923405,4.83244997847189
88,"I",5,2.92050170018209,4.60412467719519
89,"ii",6,4.03049273148875,4.64057140053976
90,"IV",6,3.84968500719698,4.43749058802188
91,"IV",6,1.55721710811939,3.62231114448454
92,"IV",5,4.43969562839614,1.78488369618017
93,"IV",5,1.66829137727968,4.40256533307736
94,"I",6,2.10000128610195,4.61987548448285
95,"ii",6,2.12972327371579,4.48007816598796
96,"IV",6,5.25080099008097,2.98438184942028
97,"I",4,3.14831282923405,4.83244997847189
98,"I",5,2.92050170018209,4.60412467719519
99,"ii",6,4.03049273148875,4.64057140053976
100,"IV",6,3.84968500719698,4.43749058802188
101,"I",6,2.82570367941355,3.62231114448454
102,"I",5,2.49496285122739,4.52583189379234
103,"ii",6,3.99751881059996,4.72876674832681
104,"IV",6,3.84968500719698,4.43749058802188
105,"I",6,2.82570367941355,3.62231114448454
106,"I",5,2.49496285122739,4.52583189379234
107,"ii",6,3.99751881059996,4.72876674832681
108,"IV",6,3.84968500719698,4.43749058802188
109,"I",6,2.82570367941355,3.62231114448454
110,"I",5,2.49496285122739,4.52583189379234
111,"ii",6,3.99751881059996,4.72876674832681
112,"IV",6,3.84968500719698,4.43749058802188
113,"I",6,2.82570367941355,3.62231114448454
114,"I",5,2.49496285122739,4.52583189379234
115,"ii",6,3.99751881059996,4.72876674832681
116,"IV",6,3.84968500719698,4.43749058802188
117,"I",6,2.82570367941355,3.62231114448454
118,"I",5,2.49496285122739,4.52583189379234
119,"ii",6,3.99751881059996,4.72876674832681
120,"IV",6,3.84968500719698,4.43749058802188
121,"I",6,2.82570367941355,3.62231114448454
122,"I",5,2.49496285122739,4.52583189379234
123,"ii",6,3.99751881059996,4.72876674832681
124,"IV",6,3.84968500719698,4.43749058802188
125,"I",6,2.82570367941355,3.62231114448454
126,"I",5,2.49496285122739,4.52583189379234
127,"ii",6,3.99751881059996,4.72876674832681
128,"IV",6,3.84968500719698,4.43749058802188
129,"I",6,2.82570367941355,3.62231114448454
130,"r",5,3.32211291499732,4.52583189379234
131,"r",4,1.13968854718186,3.12780311224683
