"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,10,"V",5,4.29756713064975,4.70280520875752,"V",5,4.29756713064975,4.70280520875752,
1,11,"IV",5,3.44680933366994,4.35042557549758,"IV",5,3.44680933366994,4.35042557549758,
1,12,"IV",5,3.33895984129717,4.09070912201677,"IV",5,3.33895984129717,4.09070912201677,
1,13,"I",5,2.85992824289678,4.0664676235745,"I",5,2.85992824289678,4.0664676235745,
1,14,"I",5,1.8241073977596,4.1519522624308,"I",5,1.8241073977596,4.1519522624308,
1,15,"IV",6,3.91824822497608,4.81260332671921,"V",6,3.91400620665279,4.81260332671921,0.00424201832329674
1,16,"IV",6,2.54524327118584,4.76817180712426,"IV",6,2.91076843980412,4.38972657711857,
1,17,"I",7,3.11590626255682,4.92784841705763,"I",7,2.17099267220375,4.16486715663877,
1,18,"I",8,1.79018467479121,4.39317983584574,"I",8,1.85230727955972,4.2136382799585,
1,19,"vi",9,5.00059633696081,4.54457947577658,"vi",9,5.46275876198872,4.3057194892146,
1,20,"II",7,5.67751380074568,4.16159120470103,"II",5,5.29107915502258,4.33571753476919,
,,,,,,,,,,
2,52,"V",5,4.29756713064975,4.70280520875752,"V",5,4.29756713064975,4.70280520875752,
2,53,"IV",5,3.44680933366994,4.35042557549758,"IV",5,3.44680933366994,4.35042557549758,
2,54,"IV",5,3.33895984129717,4.09070912201677,"IV",5,3.33895984129717,4.09070912201677,
2,55,"I",5,2.85992824289678,4.0664676235745,"I",5,2.85992824289678,4.0664676235745,
2,56,"I",5,1.8241073977596,4.1519522624308,"I",5,1.8241073977596,4.1519522624308,
2,57,"IV",6,3.91824822497608,4.81260332671921,"V",6,3.91400620665279,4.81260332671921,0.00424201832329674
2,58,"IV",6,2.54524327118584,4.76817180712426,"IV",6,2.91076843980412,4.38972657711857,
2,59,"I",7,3.11590626255682,4.92784841705763,"I",7,2.17099267220375,4.16486715663877,
2,60,"I",8,1.79018467479121,4.39317983584574,"I",8,1.85230727955972,4.2136382799585,
2,61,"vi",9,5.00059633696081,4.54457947577658,"vi",9,5.46275876198872,4.3057194892146,
2,62,"II",7,5.67751380074568,4.16159120470103,"II",5,5.29107915502258,4.33571753476919,
,,,,,,,,,,
3,5,"I",4,1.5798194038242,4.43687984018319,"I",4,1.5798194038242,4.43687984018319,
3,6,"I",5,1.2616926996204,3.88650960547304,"I",5,1.2616926996204,3.88650960547304,
3,7,"V",6,4.57744199308426,4.65705893078204,"V",6,4.57744199308426,4.65705893078204,
3,8,"vi",7,3.65732866785443,4.5253465598292,"vi",7,3.65732866785443,4.5253465598292,
3,9,"vi",8,4.01257846166607,3.78586295911651,"vi",8,4.01257846166607,3.78586295911651,
3,10,"V",5,4.29756713064975,4.70280520875752,"ii",5,4.29207338910062,4.70280520875752,0.00549374154913096
3,11,"IV",5,3.44680933366994,4.35042557549758,"IV",5,5.63128660770575,3.50244759344143,
3,12,"IV",5,3.33895984129717,4.09070912201677,"IV",3,3.9269132345923,4.81573589098382,
3,13,"I",5,2.85992824289678,4.0664676235745,"I",4,1.60998966359294,4.33359649281702,
3,14,"I",5,1.8241073977596,4.1519522624308,"I",5,3.0361811478164,4.29346206954235,
3,15,"IV",6,3.91824822497608,4.81260332671921,"IV",5,4.00854846924496,5.11432211173917,
,,,,,,,,,,
4,47,"I",5,2.58518575398923,4.90787238397436,"I",5,2.58518575398923,4.90787238397436,
4,48,"I",6,2.73225073783057,4.7585043834775,"I",6,2.73225073783057,4.7585043834775,
4,49,"V",7,3.57644587371387,4.57096836543644,"V",7,3.57644587371387,4.57096836543644,
4,50,"vi",8,4.05630606755363,4.09326540807506,"vi",8,4.05630606755363,4.09326540807506,
4,51,"vi",8,4.08864662089756,3.69719669070176,"vi",8,4.08864662089756,3.69719669070176,
4,52,"V",5,4.29756713064975,4.70280520875752,"ii",5,4.29207338910062,4.70280520875752,0.00549374154913096
4,53,"IV",5,3.44680933366994,4.35042557549758,"IV",5,5.63128660770575,3.50244759344143,
4,54,"IV",5,3.33895984129717,4.09070912201677,"IV",3,3.9269132345923,4.81573589098382,
4,55,"I",5,2.85992824289678,4.0664676235745,"I",4,1.60998966359294,4.33359649281702,
4,56,"I",5,1.8241073977596,4.1519522624308,"I",5,3.0361811478164,4.29346206954235,
4,57,"IV",6,3.91824822497608,4.81260332671921,"IV",5,4.00854846924496,5.11432211173917,
,,,,,,,,,,
5,36,"I",5,2.8135098151953,4.5863194903837,"I",5,2.8135098151953,4.5863194903837,
5,37,"V",5,3.77303726616081,4.60302616421457,"V",5,3.77303726616081,4.60302616421457,
5,38,"I",5,1.19835109956389,3.6500191951792,"I",5,1.19835109956389,3.6500191951792,
5,39,"I",6,4.35363251869349,4.35145930229581,"I",6,4.35363251869349,4.35145930229581,
5,40,"IV",5,3.28634232866828,4.86660521401617,"IV",5,3.28634232866828,4.86660521401617,
5,41,"#ivo",6,5.8368676604507,4.33893689576127,"-III",6,5.85191627025371,4.33893689576127,0.0150486098030038
5,42,"V",5,2.17184123852463,3.49659579582759,"V",4,5.45980954112031,4.62178914087094,
5,43,"V",6,1.85096052572541,4.35746687580582,"V",3,2.83167414084799,4.79343082215246,
5,44,"I",5,1.87939177157493,4.62175441755721,"I",4,3.77186779894667,4.67979641320153,
5,45,"I",5,4.47467749743134,4.33952145612264,"I",4,3.34231761525552,5.17265098233206,
5,46,"I",4,3.67433570010299,5.25807200590028,"I",5,3.03303519573886,5.07957045583784,
,,,,,,,,,,
6,15,"IV",6,3.91824822497608,4.81260332671921,"IV",6,3.91824822497608,4.81260332671921,
6,16,"IV",6,2.54524327118584,4.76817180712426,"IV",6,2.54524327118584,4.76817180712426,
6,17,"I",7,3.11590626255682,4.92784841705763,"I",7,3.11590626255682,4.92784841705763,
6,18,"I",8,1.79018467479121,4.39317983584574,"I",8,1.79018467479121,4.39317983584574,
6,19,"vi",9,5.00059633696081,4.54457947577658,"vi",9,5.00059633696081,4.54457947577658,
6,20,"II",7,5.67751380074568,4.16159120470103,"III",7,5.72385844254066,4.16159120470103,0.0463446417949731
6,21,"V",4,2.63855691718219,4.46776446517987,"V",3,6.27254468465736,1.78519597424555,
6,22,"V",5,1.50846694493682,3.94197685974001,"V",3,4.31902425211023,4.32413076246468,
6,23,"I",6,3.62173736548191,4.18760956151801,"I",3,4.49805391115181,5.10362375758468,
6,24,"IV",5,3.09410853016025,4.76152917054139,"IV",3,4.47773472552534,5.32566295347733,
6,25,"I",6,1.50874908624669,4.0302931221609,"I",4,2.61292543585453,4.77269785329438,
,,,,,,,,,,
7,57,"IV",6,3.91824822497608,4.81260332671921,"IV",6,3.91824822497608,4.81260332671921,
7,58,"IV",6,2.54524327118584,4.76817180712426,"IV",6,2.54524327118584,4.76817180712426,
7,59,"I",7,3.11590626255682,4.92784841705763,"I",7,3.11590626255682,4.92784841705763,
7,60,"I",8,1.79018467479121,4.39317983584574,"I",8,1.79018467479121,4.39317983584574,
7,61,"vi",9,5.00059633696081,4.54457947577658,"vi",9,5.00059633696081,4.54457947577658,
7,62,"II",7,5.67751380074568,4.16159120470103,"III",7,5.72385844254066,4.16159120470103,0.0463446417949731
7,63,"V",4,2.63855691718219,4.46776446517987,"V",3,6.27254468465736,1.78519597424555,
7,64,"V",5,1.50846694493682,3.94197685974001,"V",3,4.31902425211023,4.32413076246468,
7,65,"I",6,3.62173736548191,4.18760956151801,"I",3,4.49805391115181,5.10362375758468,
7,66,"IV",5,3.09410853016025,4.76152917054139,"IV",3,4.47773472552534,5.32566295347733,
7,67,"I",6,1.50874908624669,4.0302931221609,"I",4,2.61292543585453,4.77269785329438,
,,,,,,,,,,
8,22,"V",5,1.50846694493682,3.94197685974001,"V",5,1.50846694493682,3.94197685974001,
8,23,"I",6,3.62173736548191,4.18760956151801,"I",6,3.62173736548191,4.18760956151801,
8,24,"IV",5,3.09410853016025,4.76152917054139,"IV",5,3.09410853016025,4.76152917054139,
8,25,"I",6,1.50874908624669,4.0302931221609,"I",6,1.50874908624669,4.0302931221609,
8,26,"I",7,3.39768138144834,4.60409711123288,"I",7,3.39768138144834,4.60409711123288,
8,27,"vi",7,4.2787153195714,4.70873552778631,"V",7,4.22819944671093,4.70873552778631,0.0505158728604744
8,28,"II",7,5.46059861147076,4.34309074830871,"II",7,5.89172951482713,4.32611295697644,
8,29,"V",4,2.63855691718219,4.46776446517987,"V",4,2.08886286608239,4.16807603137541,
8,30,"V",5,1.50846694493682,3.94197685974001,"V",5,3.94887941726285,3.90857065995644,
