"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"V",2,4.23021452542305,3.68815118018717
4,"V",3,1.86054199515185,3.90561337399195
5,"I",4,2.42102157967396,4.47692676097953
6,"I",5,2.10062816772945,4.60624260700552
7,"I",6,2.78618079891313,4.43773986410878
8,"I",6,1.08315206047903,3.69548238466923
9,"V",7,4.4854522716221,4.28569339774644
10,"V",7,1.10173070223499,3.50072245848389
11,"V",8,2.89955504839172,4.54516274031418
12,"V",7,0.151596649410682,0.926337201662917
13,"I",10,2.19816088277499,4.00267676806082
14,"I",10,1.25702387626738,3.61769411975988
15,"IV",10,2.6458784963502,4.20948663899813
16,"IV",8,0.712173904544469,2.81751596792143
17,"I",10,1.55571412102255,4.06640309067246
18,"I",10,1.78739160744012,3.9543288330957
19,"I",10,4.1610187040366,4.09002445114151
20,"V",8,4.95207211033223,3.58484782351298
21,"I",7,2.51902372939438,4.38561409467667
22,"I",7,3.04261469796399,3.93843318878153
23,"I",7,2.26656881373777,4.22045211795293
24,"I",8,2.34658935327662,4.62590134158178
25,"V",9,3.47533660293275,4.13903744210885
26,"V",9,2.48446273471249,4.58981564197233
27,"V",10,3.49897045566082,3.76081073186726
28,"V",7,0.151596649410682,0.926337201662917
29,"I",10,2.63031457304237,4.64670802645987
30,"I",10,1.25702387626738,3.61769411975988
31,"IV",10,2.6458784963502,4.20948663899813
32,"IV",8,0.712173904544469,2.81751596792143
33,"I",10,1.55571412102255,4.06640309067246
34,"I",10,1.78739160744012,3.9543288330957
35,"I",10,4.1610187040366,4.09002445114151
36,"V",8,4.95207211033223,3.58484782351298
37,"I",7,2.51902372939438,4.38561409467667
38,"I",7,3.04261469796399,3.93843318878153
39,"IV",7,2.50801295097558,4.22045211795293
40,"IV",8,1.95040619606709,4.40418017042728
41,"I",9,1.64209651397401,4.12708364168476
42,"I",8,0.390932513026998,1.9019864098277
43,"IV",10,2.08031398688061,4.34966549732963
44,"IV",9,0.445410594342087,2.1173002436091
45,"I",10,2.56479773705364,4.52660289747126
46,"V",10,2.74194318617487,4.19215012488798
47,"V",10,3.20304933845373,4.35133775614827
48,"I",8,1.59429191499451,3.90826501410685
49,"I",6,1.62270877795234,4.3296480867333
50,"V",7,3.90669363298654,4.72675574342315
51,"V",7,1.60348741723318,4.13926713771322
52,"V",8,3.2784815140173,4.45630386116855
53,"V",8,1.59499250320319,3.87146797961272
54,"I",9,2.50668606865046,4.15085028597562
55,"I",9,2.61439245018539,4.73104447877775
56,"IV",10,3.97093687920489,4.23500746458133
57,"IV",8,0.712173904544469,2.81751596792143
58,"I",10,1.55571412102255,4.06640309067246
59,"I",10,1.78739160744012,3.9543288330957
60,"I",10,4.1610187040366,4.09002445114151
61,"V",8,4.95207211033223,3.58484782351298
62,"I",7,2.51902372939438,4.38561409467667
63,"I",7,3.04261469796399,3.93843318878153
64,"IV",7,2.50801295097558,4.22045211795293
65,"IV",8,1.95040619606709,4.40418017042728
66,"I",9,1.64209651397401,4.12708364168476
67,"I",8,0.390932513026998,1.9019864098277
68,"I",10,3.08279761129259,4.34966549732963
69,"V",8,4.95207211033223,3.58484782351298
70,"I",7,2.51902372939438,4.38561409467667
71,"I",7,3.04261469796399,3.93843318878153
72,"IV",7,2.50801295097558,4.22045211795293
73,"IV",8,1.95040619606709,4.40418017042728
74,"I",9,1.64209651397401,4.12708364168476
75,"I",8,0.390932513026998,1.9019864098277
76,"IV",10,2.08031398688061,4.34966549732963
77,"IV",9,0.445410594342087,2.1173002436091
78,"I",10,2.56479773705364,4.52660289747126
79,"V",10,2.74194318617487,4.19215012488798
80,"V",10,3.20304933845373,4.35133775614827
81,"I",8,1.59429191499451,3.90826501410685
82,"I",6,1.62270877795234,4.3296480867333
83,"V",7,3.90669363298654,4.72675574342315
84,"V",7,1.60348741723318,4.13926713771322
85,"V",8,3.2784815140173,4.45630386116855
86,"V",8,1.59499250320319,3.87146797961272
87,"I",9,2.50668606865046,4.15085028597562
88,"I",9,2.61439245018539,4.73104447877775
89,"IV",10,3.97093687920489,4.23500746458133
90,"IV",8,0.712173904544469,2.81751596792143
91,"I",10,1.55571412102255,4.06640309067246
92,"I",10,1.78739160744012,3.9543288330957
93,"I",10,4.1610187040366,4.09002445114151
94,"V",8,4.95207211033223,3.58484782351298
95,"I",7,2.51902372939438,4.38561409467667
96,"I",7,3.04261469796399,3.93843318878153
97,"I",7,2.26656881373777,4.22045211795293
98,"V",8,3.26721841252235,4.62590134158178
99,"I",9,1.2006836896418,3.43328066570733
100,"I",8,0.253352086818924,1.40983156754968
101,"r",10,2.92257669657838,3.83137414116209
102,"r",7,0.621672401623232,2.18018358998103
