"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"I",4,1.5798194038242,4.43687984018319
6,"I",5,1.2616926996204,3.88650960547304
7,"I",6,1.88979591077031,4.66416159969298
8,"I",7,1.81512987220358,4.54667432115197
9,"I",8,1.43140257348363,4.23491769009239
10,"I",9,2.14614613476184,4.76682565760099
11,"I",10,1.36223039848611,4.05482808882525
12,"I",10,0.527795331693743,2.33452379125556
13,"I",10,0.527795331693743,2.33452379125556
14,"I",10,0.527795331693743,2.33452379125556
15,"I",10,0.527795331693743,2.33452379125556
16,"V",10,5.50566085808335,2.33452379125556
17,"V",10,2.00701275217366,4.2633028439103
18,"ii",10,4.81671308866714,4.25357067214508
19,"ii",5,1.1075667004854,3.58387443170071
20,"V",6,2.82209254845398,3.18134096960198
21,"V",5,0.652415001154829,2.49037769841948
22,"ii",7,3.90411455721552,3.625835888085
23,"V",5,2.60045732624319,4.02292083614846
24,"I",5,2.85535218639287,4.87424057689552
25,"I",6,2.87889323466416,5.09799724647748
26,"I",7,3.88970720328821,4.46808526223392
27,"I",6,2.62172764628962,4.86561461699579
28,"I",7,2.59475021548749,4.64594954704115
29,"I",8,1.3178244843681,3.9970238815585
30,"I",9,2.51644821284441,4.82823465053175
31,"I",10,1.19958595314541,3.87567943569589
32,"IV",10,3.49836053594715,4.88632648733346
33,"IV",10,0.89089714771931,3.15740354956819
34,"V",10,3.17819160521667,3.84641082868222
35,"V",10,1.44981471891703,3.54195261706516
36,"V",10,2.79486884928238,4.05759571446198
37,"V",6,0.541363167780535,2.41484188124087
38,"V",8,3.63355822638372,3.10976264684902
39,"V",7,0.72723071638232,2.95802575758497
40,"V",9,1.72332182945341,4.23810123773502
41,"I",9,3.4809399552063,3.41270728960253
42,"I",9,2.57391871065797,4.2946890499785
43,"I",9,2.54154910391909,4.52931529123244
44,"I",10,0.977115964944099,3.23201740494661
45,"I",10,1.10345027145524,3.37462115100628
46,"I",10,0.908908461295283,3.00580317347573
47,"I",10,1.84734870656009,4.2354970730784
48,"I",10,0.932390736455529,3.33098912907916
49,"V",10,3.89023688543399,4.39926886684469
50,"V",10,1.57231853716156,3.79932831775589
51,"ii",10,4.81671308866714,4.25357067214508
52,"ii",5,1.1075667004854,3.58387443170071
53,"V",6,2.82209254845398,3.18134096960198
54,"V",5,0.652415001154829,2.49037769841948
55,"ii",7,3.90411455721552,3.625835888085
56,"V",5,2.60045732624319,4.02292083614846
57,"I",5,2.85535218639287,4.87424057689552
58,"I",6,2.87889323466416,5.09799724647748
59,"I",7,3.88970720328821,4.46808526223392
60,"I",6,2.62172764628962,4.86561461699579
61,"I",7,2.59475021548749,4.64594954704115
62,"I",8,1.3178244843681,3.9970238815585
63,"I",9,2.51644821284441,4.82823465053175
64,"I",10,1.19958595314541,3.87567943569589
65,"IV",10,3.49836053594715,4.88632648733346
66,"IV",10,0.89089714771931,3.15740354956819
67,"V",10,3.17819160521667,3.84641082868222
68,"V",10,1.44981471891703,3.54195261706516
69,"V",10,2.79486884928238,4.05759571446198
70,"V",6,0.541363167780535,2.41484188124087
71,"V",8,3.63355822638372,3.10976264684902
72,"V",7,0.72723071638232,2.95802575758497
73,"I",9,2.79386453232926,4.23810123773502
74,"I",9,1.25436884793553,3.76457084460063
75,"r",10,3.87035926357345,4.22767630863883
76,"r",6,0.701268044903796,2.36201600694226
77,"IV",6,4.66359798174129,2.66927493340057
78,"IV",4,3.36343027696497,4.3965686520663
79,"IV",4,5.12106357685143,4.42134124873708
