"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"I",4,1.5798194038242,4.43687984018319
6,"I",5,1.2616926996204,3.88650960547304
7,"IV",6,4.25242462894803,4.65790615310204
8,"I",7,2.92337835978767,4.76095285239106
9,"IV",8,3.4386793530872,4.12282881242745
10,"V",8,3.79531851371421,4.46549435934398
11,"I",6,3.10749078563973,4.60091438375191
12,"IV",6,2.96844341236737,4.78570834600247
13,"IV",7,3.45667508270902,3.97738326137464
14,"V",6,2.43312084693305,4.42276503327186
15,"I",7,2.19854420741864,4.29362655392689
16,"I",8,3.41352951458457,4.61655754255638
17,"IV",8,3.38155912713104,4.61848990844873
18,"I",7,4.06328254420355,4.83257513871356
19,"IV",6,3.32062512255506,4.41876373239416
20,"V",6,4.11595071221089,3.72926164411622
21,"I",6,3.10749078563973,4.60091438375191
22,"IV",6,2.96844341236737,4.78570834600247
23,"IV",7,3.45667508270902,3.97738326137464
24,"V",6,2.43312084693305,4.42276503327186
25,"I",7,2.19854420741864,4.29362655392689
26,"I",8,3.41352951458457,4.61655754255638
27,"I",8,2.37222644522953,4.61848990844873
28,"V",8,4.28319692198343,3.88457156721602
29,"IV",7,2.87078139983502,3.7104124235009
30,"I",7,2.338651863408,3.7813451911316
31,"IV",7,4.26619764820861,4.13596247039757
32,"V",6,2.81357063725418,4.630827215628
33,"I",7,1.75552964740814,4.21093886490882
34,"IV",7,3.51239988960137,3.47841145489237
35,"IV",7,4.27669345674153,2.86164645023584
36,"V",6,2.43312084693305,4.42276503327186
37,"I",7,2.19854420741864,4.29362655392689
38,"I",8,3.41352951458457,4.61655754255638
39,"IV",8,3.38155912713104,4.61848990844873
40,"V",7,2.79249026884244,4.83257513871356
41,"V",7,4.04371778727921,3.63597483825545
42,"I",7,2.6829990155363,4.51859198842268
43,"I",8,1.32642614668338,3.49359990044538
44,"IV",9,1.5634336439651,3.98507390869037
45,"ii",10,6.4718240401396,3.07500266651129
46,"ii",5,3.88557011256362,4.08907054164571
47,"V",4,2.24167673721057,4.43119240611838
48,"V",5,2.88955106885391,3.20641337488642
49,"I",5,2.25292804081742,4.35603835085987
50,"I",6,2.42942688331675,4.76177132545055
51,"IV",7,3.22781717518051,4.90747804229402
52,"V",8,3.18382817445694,4.46760682906794
53,"V",8,1.75562060138079,3.83920237292071
54,"I",7,0.72204908822869,2.7835973222426
55,"I",9,1.40923384569863,3.83866231149982
56,"IV",10,2.61627115026146,4.14060126662413
57,"ii",10,6.20050815982223,3.62698784790256
58,"ii",5,3.88557011256362,4.08907054164571
59,"V",4,2.24167673721057,4.43119240611838
60,"V",5,2.88955106885391,3.20641337488642
61,"I",5,2.25292804081742,4.35603835085987
62,"I",6,2.42942688331675,4.76177132545055
63,"I",7,2.93738417219871,4.90747804229402
64,"I",8,2.62263883045796,4.46693225734957
65,"IV",8,2.90844188546764,4.12391079148537
66,"I",8,4.25272205998773,3.53740044035054
67,"IV",7,3.52174417279131,4.00698846093112
68,"V",7,3.75244603825417,4.50746209888147
69,"I",6,3.10749078563973,4.60091438375191
70,"IV",6,2.96844341236737,4.78570834600247
71,"IV",7,3.45667508270902,3.97738326137464
72,"V",6,2.43312084693305,4.42276503327186
73,"I",7,2.19854420741864,4.29362655392689
74,"I",8,3.41352951458457,4.61655754255638
75,"I",8,2.37222644522953,4.61848990844873
76,"IV",8,2.65235021897155,3.88457156721602
77,"I",8,2.03471756876178,4.08408729878022
78,"IV",8,1.7338061334384,4.22118921041269
79,"V",9,4.43345246651598,3.60771102089482
80,"I",6,3.10749078563973,4.60091438375191
81,"IV",6,2.96844341236737,4.78570834600247
82,"IV",7,3.45667508270902,3.97738326137464
83,"V",6,2.43312084693305,4.42276503327186
84,"I",7,2.19854420741864,4.29362655392689
85,"I",8,3.41352951458457,4.61655754255638
86,"IV",8,3.38155912713104,4.61848990844873
87,"V",7,2.79249026884244,4.83257513871356
88,"V",7,4.04371778727921,3.63597483825545
89,"I",7,2.6829990155363,4.51859198842268
90,"I",8,1.32642614668338,3.49359990044538
91,"IV",9,1.5634336439651,3.98507390869037
92,"ii",10,6.4718240401396,3.07500266651129
93,"ii",5,3.88557011256362,4.08907054164571
94,"V",4,2.24167673721057,4.43119240611838
95,"V",5,2.88955106885391,3.20641337488642
96,"I",5,2.25292804081742,4.35603835085987
97,"I",6,2.42942688331675,4.76177132545055
98,"IV",7,3.22781717518051,4.90747804229402
99,"V",8,3.18382817445694,4.46760682906794
100,"V",8,1.75562060138079,3.83920237292071
101,"I",7,0.72204908822869,2.7835973222426
102,"I",9,1.40923384569863,3.83866231149982
103,"IV",10,2.61627115026146,4.14060126662413
104,"ii",10,6.20050815982223,3.62698784790256
105,"ii",5,3.88557011256362,4.08907054164571
106,"V",4,2.24167673721057,4.43119240611838
107,"I",5,1.02671054486246,3.20641337488642
108,"I",6,3.62787163463163,4.83808492444809
109,"I",6,3.72718633064025,4.70980170342729
110,"r",6,2.70824179843214,4.61872132019329
111,"r",5,0.521540717826108,2.08038686727811
